pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
1247837,1,0,4,1,0,8,6,0,0,1,1,1,2,2,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,3,0,4,0,0,0,3,5,1,1,2,2
8465608,1,0,0,5,0,5,6,0,0,1,2,2,2,2,0,0,0,0,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,3,0,1,0,0,0,0,2,0,1,2,2
5048259,1,0,3,1,0,1,22,0,0,2,18,18,18,18,0,0,0,0,6,0,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,2,7,1,1,1,2
1604660,1,0,2,1,0,11,22,0,0,1,20,20,24,24,0,0,0,0,8,24,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,2,2,1,9,1,1,2,1,1,1,1,2,2,3,3,3,2,1,9,0,0,25,4,0,1,10,10,4,1,1,2
4511013,3,0,0,2,0,1,0,4,0,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,0,0,1,0,1,2,2
1320558,3,0,6,7,0,11,28,16,0,2,0,0,38,30,0,0,1,1,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,3,2,4,4,3,1,1,72,0,4,500,0,0,36,42,3,1,2,1
4902269,1,0,1,1,0,3,4,0,0,1,4,4,4,4,0,0,0,0,3,3,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,9,1,2,9,1,4,4,2,4,4,4,4,4,1,1,9,1,0,1,0,0,0,0,1,1,1,2,3
4270105,3,0,1,7,0,5,0,5,0,1,1,1,2,2,1,1,0,0,3,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,0,0,0,0,0,0,1,1,1,2,2
5282654,1,0,1,5,0,6,9,0,0,1,5,5,4,4,0,0,1,1,0,0,1,1,2,1,2,2,2,1,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,7,0,1,0,0,0,0,2,1,1,2,3
5652720,1,0,1,7,0,3,6,0,0,1,1,1,1,1,0,0,0,0,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,0,0,4,0,0,0,0,0,0,2,2,3
