pseudocode,state,district,block,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
6612062,"KERALA","KOZHIKODE","CHELANNUR",1,,,"Nanmanda (Ct)","Nanmanda","CHELANNUR",2,3,1,7,8,673315,2,2,3,0,2,19,0,0,0,0,0,1,1,9,198,1,22,18,3,3,5,3
2489527,"KERALA","KOZHIKODE","KOZHIKKODE URC SOUTH",2,"Kozhikode_Municipal Corporations","Arikkad North",,,,6,3,1,10,1,673027,2,2,3,0,2,8,19,0,0,2,0,1,2,2,194,1,0,0,4,8,16,16
1322177,"KERALA","KOZHIKODE","KUNNUMMAL",1,,,"Kavilumpara","Kavilumpara","KUNNUMMAL",2,3,1,7,8,673513,2,2,3,0,1,19,0,0,0,0,0,1,1,9,178,1,18,11,1,3,0,0
3599026,"KERALA","KOZHIKODE","KOZHIKKODE URC SOUTH",2,"Kozhikode_Municipal Corporations","Thiruvannur",,,,4,3,5,7,1,673029,2,2,3,0,2,8,0,0,0,0,0,1,9,0,195,1,0,0,0,0,0,0
6769312,"KERALA","KOZHIKODE","THUNERI",1,,,"Chekkiad (Ct)","Chekkiad","THUNERI",2,3,1,7,1,673509,2,2,3,0,2,8,0,0,0,0,0,1,1,2,187,1,0,0,0,0,4,6
7156810,"KERALA","KOZHIKODE","PANTHALAYANI",1,,,"Moodadi","Moodadi","PANTHALAYANI",6,3,1,10,1,673529,2,2,3,0,2,8,19,0,0,2,0,1,1,2,200,1,16,17,9,9,0,0
6600843,"KERALA","KOZHIKODE","KUNNAMANGALAM",1,,,"Kuruvattur (Ct)","Kuruvattur","KUNNAMANGALAM",3,3,1,12,1,673571,2,2,3,0,2,8,19,0,0,2,2,1,1,2,195,1,19,20,7,4,0,0
1179015,"KERALA","KOZHIKODE","KOZHIKKODE URC SOUTH",2,"Kozhikode_Municipal Corporations","Meenchanda",,,,3,3,1,12,1,673018,2,2,3,0,2,19,8,0,0,2,2,1,1,2,191,1,34,16,13,5,5,2
1011272,"KERALA","KOZHIKODE","MELADY",2,"Payyoli_Municipality","Kovvappuram",,,,2,3,1,7,1,673522,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,8,6,1,2,4,2
8999144,"KERALA","KOZHIKODE","VATAKARA",1,,,"Azhiyur (Ct)","Azhiyur","VADAKARA",2,3,1,7,4,673309,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,11,9,6,4,0,0
3590699,"KERALA","KOZHIKODE","KUNNAMANGALAM",2,"","",,,,2,3,1,7,1,673602,2,2,3,0,2,8,19,0,0,0,0,1,1,2,186,1,5,8,4,4,19,19
4913574,"KERALA","KOZHIKODE","KUNNAMANGALAM",1,,,"Kuruvattur (Ct)","Kuruvattur","KUNNAMANGALAM",2,3,1,7,4,673611,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,15,9,3,3,0,0
6753375,"KERALA","KOZHIKODE","KUNNUMMAL",1,,,"Narippatta","Naripetta","KUNNUMMAL",2,3,1,7,4,673507,2,2,3,0,2,8,19,0,0,0,0,1,1,2,188,1,13,17,0,0,7,6
7007461,"KERALA","KOZHIKODE","BALUSSERY",1,,,"Balusseri (Ct)","Balusseri","BALUSSERI",3,3,1,12,1,673612,2,2,3,0,2,8,19,0,0,2,2,1,2,2,192,1,0,0,0,0,0,0
4285587,"KERALA","KOZHIKODE","KOZHIKKODE URC SOUTH",2,"Kozhikode_Municipal Corporations","Palayam",,,,2,3,1,7,1,673004,2,2,3,0,2,8,0,0,0,0,0,1,2,1,195,1,0,0,0,1,0,0
2477442,"KERALA","KOZHIKODE","KOZHIKODE URC",2,"Kozhikode_Municipal Corporations","Chevarambalam",,,,2,3,1,7,1,673009,2,2,3,0,2,8,0,0,0,0,0,1,1,1,195,1,6,2,0,4,1,2
2517947,"KERALA","KOZHIKODE","CHELANNUR",1,,,"Chelannur (Ct)","Chelannur","CHELANNUR",2,3,1,7,1,673616,2,2,3,0,2,8,19,0,0,0,0,1,1,2,198,1,2,8,0,0,0,0
5945290,"KERALA","KOZHIKODE","KOZHIKODE URC",2,"Kozhikode_Municipal Corporations","Velloyil",,,,2,3,1,7,1,673011,2,2,3,0,2,8,0,0,0,0,0,1,2,2,195,1,0,0,0,0,1,1
6970637,"KERALA","KOZHIKODE","KUNNAMANGALAM",2,"","",,,,3,3,1,12,1,673582,1,2,3,0,2,8,19,0,0,2,2,1,1,2,198,1,8,24,0,2,12,4
6330126,"KERALA","KOZHIKODE","BALUSSERY",1,,,"Ulliyeri (Ct)","Uliyeri","BALUSSERI",2,3,1,7,1,673323,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,12,7,1,3,0,0
2382786,"KERALA","KOZHIKODE","KOZHIKODE",1,,,"Kadalundi (Og)","Kadalundi","KOZHIKODE",2,3,1,5,1,673301,2,2,3,0,2,8,0,0,0,0,0,1,1,2,0,1,12,10,1,3,0,0
9567724,"KERALA","KOZHIKODE","KODUVALLY",1,,,"Puthur","Omassery","KODUVALLY",2,3,1,7,1,673582,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,27,40,5,3,1,8
3944401,"KERALA","KOZHIKODE","KOZHIKODE",1,,,"Pantheeramkavu (Ct)","Olavanna","KOZHIKODE",3,3,1,12,1,673014,2,2,3,0,2,8,19,0,0,2,2,1,1,2,220,1,0,0,1,0,12,15
1577177,"KERALA","KOZHIKODE","KODUVALLY",1,,,"Kodencheri","Kodencheri","KODUVALLY",2,3,1,7,1,673580,2,2,3,0,2,8,19,0,0,0,0,1,1,2,186,1,4,9,1,0,0,0
8227192,"KERALA","KOZHIKODE","KODUVALLY",1,,,"Puthur","Omassery","KODUVALLY",2,3,1,7,1,673582,2,2,3,0,2,8,19,0,0,0,0,1,2,2,0,1,0,0,0,0,17,16
2561345,"KERALA","KOZHIKODE","VATAKARA",1,,,"Onchiam","Onchiyam","VADAKARA",2,3,1,5,1,673102,2,2,3,0,2,8,0,0,0,0,0,1,1,2,188,1,4,8,0,0,0,0
5466155,"KERALA","KOZHIKODE","VATAKARA",1,,,"Chorode (Ct)","Chorode","VADAKARA",10,3,8,12,1,673104,2,2,3,0,2,8,19,0,0,2,2,1,9,0,0,1,0,0,0,0,0,0
7503983,"KERALA","KOZHIKODE","KODUVALLY",1,,,"Raroth","Kattippara","KODUVALLY",2,3,1,7,1,673573,2,2,3,0,2,8,19,0,0,0,0,1,1,2,198,1,19,23,7,4,2,1
3969338,"KERALA","KOZHIKODE","PANTHALAYANI",1,,,"Chengottukavu","Chengottukavu","PANTHALAYANI",2,3,1,7,1,673306,2,2,3,0,2,8,19,0,0,0,0,1,1,2,196,1,21,20,6,0,0,0
5999679,"KERALA","KOZHIKODE","BALUSSERY",1,,,"Kottur","Kottur","BALUSSERI",3,3,1,12,1,673614,2,2,3,0,2,8,19,0,0,2,2,1,1,2,0,2,0,0,0,1,3,3
