pseudocode,balavatika_located_yn,special_training,material_training,free_text_books_pr,free_uniform_pr,free_text_books_up,free_uniform_up,acad_inspections,crc_coordinator,block_level_officers,district_officers,smc_exists,smc_smdc_same,smc_smdc_meetings,grants_receipt,grants_expenditure
8360869,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6300278,2,9,1,1,1,1,1,0,0,0,0,1,9,0,0,0
4260175,2,9,1,1,1,2,2,10,8,4,0,1,9,2,0,0
8429090,2,9,2,1,1,1,1,3,4,3,0,1,9,1,0,0
5377616,2,9,1,1,1,1,1,0,0,0,0,1,9,0,0,0
7139256,2,9,1,2,2,1,1,0,0,0,0,1,9,0,0,0
8567436,2,9,2,1,1,1,1,2,4,0,2,1,1,4,0,0
1295008,2,9,1,1,1,2,2,0,5,1,0,1,9,1,0,0
5577438,2,9,1,1,1,2,2,2,4,2,0,1,9,7,10500,10500
2313448,2,9,1,1,1,1,1,0,0,0,0,1,9,0,0,0
2433595,2,9,1,1,1,2,2,1,8,1,0,1,9,8,15000,15000
4647353,2,9,1,1,1,2,2,4,20,10,0,1,9,1,0,0
5303258,2,9,1,1,1,2,2,3,4,4,0,1,9,3,5000,5000
5186219,2,9,1,1,1,2,2,2,5,1,0,1,9,9,0,0
3461947,2,9,2,1,1,2,2,2,7,2,1,1,9,6,0,0
5885368,2,9,1,1,1,1,1,1,8,1,0,2,9,0,0,0
5992974,0,9,2,2,2,1,1,0,0,0,0,1,9,0,0,0
6330126,2,9,2,1,1,1,1,3,10,6,1,1,9,3,22500,12000
1577804,2,9,1,1,1,1,1,2,12,12,1,1,9,12,0,0
8388855,0,9,1,2,2,1,2,0,0,0,0,1,9,0,0,0
5826721,0,9,1,2,2,2,2,0,0,0,0,9,1,0,0,0
9879705,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8683381,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6629499,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8505685,2,9,1,1,1,2,2,3,5,2,0,1,9,2,0,0
1718084,2,9,2,1,1,2,2,3,6,6,1,1,9,13,10500,10500
5169360,2,9,2,1,1,2,2,5,8,2,0,1,9,5,5000,5000
2227503,2,9,2,1,1,2,2,0,0,0,0,1,9,0,25000,25000
7791192,2,9,2,1,1,2,2,0,0,0,0,1,9,0,0,0
1521989,2,9,1,1,1,2,2,0,0,0,0,1,9,0,5000,5000
9162777,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
3333889,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
7807238,0,9,1,2,2,2,2,0,0,0,0,9,1,0,15000,15000
8559511,0,9,2,2,2,1,1,0,0,0,0,1,9,0,0,0
3804575,0,9,1,2,2,1,1,6,15,10,3,1,9,8,205000,205000
1557146,2,9,2,1,1,1,1,0,0,0,0,1,9,2,971000,971000
1047715,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2082928,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6347907,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3367277,2,9,2,1,1,2,2,1,5,0,0,1,9,7,5000,5000
4945204,2,9,1,1,1,2,2,3,9,2,1,1,9,9,5000,5000
2606268,2,9,2,1,1,2,2,1,7,0,0,1,9,5,5000,0
3245292,2,9,2,1,1,2,2,2,4,2,0,1,9,8,5000,5000
9625467,2,9,1,1,1,2,2,4,14,2,0,1,9,5,0,0
5667244,2,9,2,1,1,2,2,0,0,0,0,1,9,0,0,0
8055704,2,9,1,1,1,2,2,3,5,5,0,1,9,2,0,0
1548633,2,9,1,1,1,2,2,0,0,0,0,2,9,0,0,0
6790620,2,9,2,1,1,2,2,1,5,1,0,1,9,2,0,0
1181929,2,9,1,1,1,1,1,2,6,2,0,1,9,6,0,0
9607460,2,9,2,1,1,2,2,1,3,1,0,1,9,0,0,0
8560946,2,9,1,1,1,1,1,8,6,6,0,1,9,15,5000,5000
8072357,0,9,1,2,2,1,1,1,4,1,0,1,9,7,6000,6000
7007461,2,9,2,1,1,1,1,5,10,8,2,1,1,4,0,0
5828974,0,9,1,2,2,1,2,4,9,3,2,1,1,4,25000,25000
6071217,2,9,1,1,1,1,1,0,0,0,0,1,9,0,0,0
4721286,0,9,2,2,2,1,1,0,0,0,0,1,1,0,0,0
7123439,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
