pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn
1007487,7,0,7,0,1,1,0,5,4,2,1,2,5,0,6,5,0,0,0,0,0,0,2,0,0,4,0,1,0,2,0,0,0,0,0,0,0
1011272,20,7,13,0,4,0,0,16,15,4,1,3,9,8,17,5,12,1,0,0,0,0,2,0,2,10,1,7,0,1,0,0,1,0,0,0,3
1012559,5,0,5,0,1,0,0,4,5,0,0,3,2,0,2,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1014147,8,0,8,0,8,0,0,0,8,0,0,2,6,0,6,4,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,5,0,1,0,0,6
1016117,5,0,5,0,0,0,0,5,4,0,1,2,3,0,3,5,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,3,0,0,2
1016397,10,1,9,0,2,0,0,8,10,0,0,4,4,2,4,6,0,0,0,0,0,0,0,4,2,2,0,5,0,3,0,0,0,0,0,0,3
1024091,11,4,7,0,1,0,0,10,11,0,0,8,2,1,11,11,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,2
1031605,12,3,9,0,0,1,0,11,10,2,0,9,3,0,12,10,0,0,0,0,0,0,2,0,1,3,0,1,0,1,0,0,0,7,0,0,11
1041015,40,17,23,0,15,5,0,20,39,0,1,2,5,33,38,0,8,0,16,15,0,1,0,0,4,2,0,28,8,2,0,0,0,0,0,0,14
1047715,60,9,51,0,8,2,1,49,44,15,1,10,27,23,55,23,12,8,5,0,11,1,0,0,55,11,2,37,2,6,1,0,0,1,0,0,3
1052500,5,1,4,0,0,0,0,5,4,0,1,2,2,1,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
1056126,4,1,3,0,3,0,0,1,4,0,0,4,0,0,2,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2
1058216,9,0,9,0,2,0,0,7,4,5,0,0,5,4,9,6,0,0,0,0,0,0,0,3,0,2,0,6,0,0,0,0,0,1,0,0,6
1075878,28,10,18,0,8,4,0,16,28,0,0,4,11,13,21,7,11,0,10,0,0,0,0,0,3,6,0,17,1,3,0,0,0,1,0,0,4
1078702,13,4,9,0,0,0,0,13,12,0,1,10,2,1,13,11,0,2,0,0,0,0,0,0,7,10,0,2,0,0,0,0,0,1,0,0,13
