year_id,upper_pri_boy_c6_c8_current_rptr,pri_boy_c1_c5_previous,pri_c2_c6_current,upper_pri_girl_c6_c8_current_rptr,pri_girl_c1_c5_current_rptr,upper_pri_boy_c7_c9_current,secondary_boy_c10_c11_current,secondary_boy_c9_c10_previous,secondary_c10_c11_current,pri_girl_c2_c6_current,pri_c1_c5_current_rptr,secondary_girl_c9_c10_previous,pri_boy_c2_c6_current_rptr,secondary_girl_c10_c11_current,secondary_c10_c11_current_rptr,secondary_girl_c9_c10_current_rptr,pri_girl_c1_c5_previous,pri_c2_c6_current_rptr,secondary_boy_c9_c10_current_rptr,caste_id,pri_boy_c1_c5_current_rptr,upper_pri_girl_c6_c8_previous,secondary_boy_c10_c11_current_rptr,upper_pri_c7_c9_current_fresh,upper_pri_c7_c9_current_rptr,upper_pri_c6_c8_previous,secondary_c9_c10_previous,secondary_boy_c10_c11_current_fresh,upper_pri_girl_c7_c9_current_fresh,upper_pri_boy_c7_c9_current_fresh,secondary_girl_c10_c11_current_fresh,pri_boy_c2_c6_current,secondary_c10_c11_current_fresh,pri_boy_c2_c6_current_fresh,pri_girl_c2_c6_current_fresh,secondary_girl_c10_c11_current_rptr,secondary_c9_c10_current_rptr,state_name,caste,pri_c2_c6_current_fresh,upper_pri_c6_c8_current_rptr,pri_c1_c5_previous,upper_pri_girl_c7_c9_current,upper_pri_boy_c7_c9_current_rptr,upper_pri_girl_c7_c9_current_rptr,upper_pri_boy_c6_c8_previous,pri_girl_c2_c6_current_rptr,upper_pri_c7_c9_current,acad_year,pri_girl_dropout,pri_girl_dropout_rate,upper_pri_girl_dropout,upper_pri_girl_dropout_rate,secondary_girl_dropout,secondary_girl_dropout_rate
16,19,11796,22080,11,32,7214,4256,4920,8259,10758,79,4469,35,4003,384,102,11257,57,272,1,47,6865,263,13402,381,14128,9389,3993,6466,6936,3882,11322,7875,11287,10736,121,374,Andaman & Nicobar Islands,General,22023,30,23053,6569,278,103,7263,22,13783,15,499.0,0.044327973705250066,296.0,0.043117261471230885,466.0,0.104273886775565
16,0,0,4,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,16,0,5,0,0,12,4,0,2,0,2,2,0,0,Andaman & Nicobar Islands,SC,4,0,0,12,0,0,3,0,16,15,0.0,,0.0,0.0,0.0,
16,0,1459,2819,1,0,675,415,456,826,1375,1,448,1,411,40,6,1369,2,7,3,1,666,24,1318,12,1379,904,391,650,668,395,1444,786,1443,1374,16,13,Andaman & Nicobar Islands,ST,2817,1,2828,655,7,5,713,1,1330,15,0.0,0.0,11.0,0.016516516516516516,37.0,0.08258928571428571
16,0,2810,6538,0,1,2122,1311,1283,2740,3330,6,1366,3,1429,188,21,2934,4,44,4,5,1820,123,4111,63,3690,2649,1188,2031,2080,1364,3208,2552,3205,3329,65,65,Andaman & Nicobar Islands,OBC,6534,0,5744,2052,42,21,1870,1,4174,15,0.0,0.0,0.0,0.0,0.0,0.0
16,19,16065,31441,12,33,10015,5982,6659,11825,15465,86,6283,39,5843,612,129,15560,63,323,5,53,9353,410,18847,456,19202,12942,5572,9159,9688,5641,15976,11213,15937,15441,202,452,Andaman & Nicobar Islands,Overall,31378,31,31625,9288,327,129,9849,24,19303,15,95.0,0.006105398457583547,65.0,0.006949641826152037,440.0,0.07003024033105204
16,123,470024,794828,86,168,261120,139439,183319,274979,377376,420,172074,245,135540,0,20,428602,406,45,1,252,264353,0,501983,218,548920,355393,139439,240997,260986,135540,417452,274979,417207,377215,0,65,Andhra Pradesh,General,794422,209,898626,241081,134,84,284567,161,502201,15,51226.0,0.11951880765838703,23272.0,0.08803380328575806,36534.0,0.2123156316468496
16,57,394180,707473,131,55,198574,103509,124104,206842,346524,144,121939,86,103333,0,39,375798,175,26,2,89,204075,0,391448,191,416374,246043,103509,192942,198506,103333,360949,206842,360863,346435,0,65,Andhra Pradesh,SC,707298,188,769978,193065,68,123,212299,89,391639,15,29274.0,0.07789823256110996,11010.0,0.053950753399485483,18606.0,0.15258448896579438
16,33,161025,269899,30,30,59993,28249,33698,55270,131011,88,32653,50,27021,0,8,151635,87,13,3,58,62652,0,116090,59,131637,66351,28249,56132,59958,27021,138888,55270,138838,130974,0,21,Andhra Pradesh,ST,269812,63,312660,56156,35,24,68985,37,116149,15,20624.0,0.13601081544498303,6496.0,0.10368384089893379,5632.0,0.17248032340060637
16,97,944911,1786126,146,222,514126,277765,311081,538021,862656,474,296822,229,260256,0,37,888581,464,39,4,252,499336,0,999187,232,1022709,607903,277765,485161,514026,260256,923470,538021,923241,862421,0,76,Andhra Pradesh,OBC,1785662,243,1833492,485293,100,132,523373,235,999419,15,25925.0,0.02917573074373636,14043.0,0.028123347805886215,36566.0,0.12319167716678683
16,310,1970140,3558326,393,475,1033813,548962,652202,1075112,1717567,1126,623488,610,526150,0,104,1844616,1132,123,5,651,1030416,0,2008708,700,2119640,1275690,548962,975232,1033476,526150,1840759,1075112,1840149,1717045,0,227,Andhra Pradesh,Overall,3557194,703,3814756,975595,337,363,1089224,522,2009408,15,127049.0,0.0688755816928835,54821.0,0.05320278411825903,97338.0,0.15611848183124616
16,24,28555,48637,19,63,12281,5190,6750,9836,23190,138,5894,53,4646,80,70,25897,102,97,1,75,11505,49,22958,174,24392,12644,5141,10781,12177,4615,25447,9756,25394,23141,31,167,Arunachal Pradesh,General,48535,43,54452,10851,104,70,12887,49,23132,15,2707.0,0.10452948217940301,654.0,0.05684485006518905,1248.0,0.21174075330844927
16,0,544,1479,0,6,220,71,76,134,687,10,61,2,63,1,0,444,6,0,2,4,157,1,414,0,370,137,70,194,220,63,792,133,790,683,0,0,Arunachal Pradesh,SC,1473,0,988,194,0,0,213,4,414,15,0.0,0.0,0.0,0.0,0.0,0.0
16,161,84566,147978,114,460,35013,16783,20244,33420,73851,1042,19443,427,16637,535,222,82590,780,271,3,582,39056,270,70170,562,75878,39687,16513,35492,34678,16372,74127,32885,73700,73498,265,493,Arunachal Pradesh,ST,147198,275,167156,35719,335,227,36822,353,70732,15,8739.0,0.10581184162731566,3337.0,0.085441417451864,2806.0,0.14431929229028442
16,2,727,1413,0,4,309,160,177,317,735,9,138,5,157,0,0,721,8,1,4,5,297,0,598,2,609,315,160,291,307,157,678,317,673,732,0,1,Arunachal Pradesh,OBC,1405,2,1448,291,2,0,312,3,600,15,0.0,0.0,6.0,0.020202020202020204,0.0,0.0
16,187,114392,199507,133,533,47823,22204,27247,43707,98463,1199,25536,487,21503,616,292,109652,896,369,5,666,51015,320,94140,738,101249,52783,21884,46758,47382,21207,101044,43091,100557,98054,296,661,Arunachal Pradesh,Overall,198611,320,224044,47055,441,297,50234,409,94878,15,11189.0,0.10204100244409586,3960.0,0.07762422816818583,4033.0,0.15793389724310777
16,1210,1068728,1751969,1092,1285,348816,138088,180509,280166,883361,2878,210375,1325,142078,7321,10612,1051851,2460,7583,1,1593,468119,3148,741012,13217,870394,390884,134940,397880,343132,137905,868608,272845,867283,882226,4173,18195,Assam,General,1749509,2302,2120579,405413,5684,7533,402275,1135,754229,15,168490.0,0.16018428465628687,62706.0,0.13395311875826446,68297.0,0.3246440879382056
