"Parameters2024-25Gross Enrolment Ratio (GER) – Scheduled Castes (SC)Gross Enrolment Ratio (GER) – Primary92.7Gross Enrolment Ratio (GER) – Upper Primary96.1Gross Enrolment Ratio (GER) – Elementary94.0Gross Enrolment Ratio (GER) – Secondary82.0Gross Enrolment Ratio (GER) – Higher Secondary59.4Gross Enrolment Ratio (GER) – Scheduled Tribes (ST)Gross Enrolment Ratio (GER) – Primary98.8Gross Enrolment Ratio (GER) – Upper Primary99.5Gross Enrolment Ratio (GER) – Elementary99.0Gross Enrolment Ratio (GER) – Secondary81.3Gross Enrolment Ratio (GER) – Higher Secondary51.9Dropout Rates – All CategoriesDropout Rates - Primary0.3Dropout Rates – Upper Primary3.5Dropout Rates - Secondary11.5Transition Rates – All CategoriesTransition Rates Primary to Upper Primary92.2Transition Rates Upper Primary to Secondary86.6Transition Rates Secondary to Higher Secondary75.1Pupil Teacher Ratio (PTR)PTR at Primary level20PTR at Upper Primary level17PTR at Secondary level15PTR at Higher Secondary level23Retention RatePrimary (Class 1 to Class 5)92.4Elementary (Class 1 to Class 8)82.8Secondary (Class 1 to Class 10)62.9Higher Secondary (Class 1 to Class 12)47.2Infrastructure facilitiesPercentage of schools having electricity connection93.6Percentage of schools having drinking water facility99.3Percentage of schools having toilet facility98.6Percentage of schools having boys’ toilet facility96.2Percentage of schools having girls’ toilet facility97.3Percentage of schools having hand wash facilities95.9Percentage of schools having playground facility83.0Percentage of schools having computer facility64.7Percentage of schools having internet facility63.5Percentage of schools having CWSN friendly toilets35.6Percentage of schools having ramps with handrail facility for CWSN students54.9Percentage of schools having Kitchen Gardens40.2Percentage of schools having Functional Rainwater Harvesting System29.4Percentage of schools having Libraries/Reading Corner/Book Bank facilities89.529",,,,,
"",Parameters,,,2024-25,
"",ross Enrolment Ratio (GER) – Scheduled Castes (SC),,,,
Gross Enrolment Ratio (GER) – Primary,92.7,,,,
Gross Enrolment Ratio (GER) – Upper Primary,96.1,,,,
Gross Enrolment Ratio (GER) – Elementary,94.0,,,,
Gross Enrolment Ratio (GER) – Secondary,82.0,,,,
Gross Enrolment Ratio (GER) – Higher Secondary,59.4,,,,
"",ross Enrolment Ratio (GER) – Scheduled Tribes (ST),,,,
Gross Enrolment Ratio (GER) – Primary,98.8,,,,
Gross Enrolment Ratio (GER) – Upper Primary,99.5,,,,
Gross Enrolment Ratio (GER) – Elementary,99.0,,,,
Gross Enrolment Ratio (GER) – Secondary,81.3,,,,
Gross Enrolment Ratio (GER) – Higher Secondary,51.9,,,,
"",ropout Rates – All Categories,,,,
Dropout Rates - Primary,0.3,,,,
Dropout Rates – Upper Primary,3.5,,,,
Dropout Rates - Secondary,11.5,,,,
"",ransition Rates – All Categories,,,,
Transition Rates Primary to Upper Primary,92.2,,,,
Transition Rates Upper Primary to Secondary,86.6,,,,
Transition Rates Secondary to Higher Secondary,75.1,,,,
"",upil Teacher Ratio (PTR),,,,
PTR at Primary level,20,,,,
PTR at Upper Primary level,17,,,,
PTR at Secondary level,15,,,,
PTR at Higher Secondary level,23,,,,
"",etention Rate,,,,
Primary (Class 1 to Class 5),92.4,,,,
Elementary (Class 1 to Class 8),82.8,,,,
Secondary (Class 1 to Class 10),62.9,,,,
Higher Secondary (Class 1 to Class 12),47.2,,,,
"",nfrastructure facilities,,,,
Percentage of schools having electricity connection,93.6,,,,
Percentage of schools having drinking water facility,99.3,,,,
Percentage of schools having toilet facility,98.6,,,,
Percentage of schools having boys’ toilet facility,96.2,,,,
Percentage of schools having girls’ toilet facility,97.3,,,,
Percentage of schools having hand wash facilities,95.9,,,,
Percentage of schools having playground facility,83.0,,,,
Percentage of schools having computer facility,64.7,,,,
Percentage of schools having internet facility,63.5,,,,
Percentage of schools having CWSN friendly toilets,35.6,,,,
Percentage of schools having ramps with handrail facility for CWSN students,54.9,,,,
Percentage of schools having Kitchen Gardens,40.2,,,,
Percentage of schools having Functional Rainwater Harvesting System,29.4,,,,
Percentage of schools having Libraries/Reading Corner/Book Bank facilities,89.5,,,,
"Parameters2024-25Gross Enrolment Ratio (GER) – Scheduled Castes (SC)Gross Enrolment Ratio (GER) – Primary92.7Gross Enrolment Ratio (GER) – Upper Primary96.1Gross Enrolment Ratio (GER) – Elementary94.0Gross Enrolment Ratio (GER) – Secondary82.0Gross Enrolment Ratio (GER) – Higher Secondary59.4Gross Enrolment Ratio (GER) – Scheduled Tribes (ST)Gross Enrolment Ratio (GER) – Primary98.8Gross Enrolment Ratio (GER) – Upper Primary99.5Gross Enrolment Ratio (GER) – Elementary99.0Gross Enrolment Ratio (GER) – Secondary81.3Gross Enrolment Ratio (GER) – Higher Secondary51.9Dropout Rates – All CategoriesDropout Rates - Primary0.3Dropout Rates – Upper Primary3.5Dropout Rates - Secondary11.5Transition Rates – All CategoriesTransition Rates Primary to Upper Primary92.2Transition Rates Upper Primary to Secondary86.6Transition Rates Secondary to Higher Secondary75.1Pupil Teacher Ratio (PTR)PTR at Primary level20PTR at Upper Primary level17PTR at Secondary level15PTR at Higher Secondary level23Retention RatePrimary (Class 1 to Class 5)92.4Elementary (Class 1 to Class 8)82.8Secondary (Class 1 to Class 10)62.9Higher Secondary (Class 1 to Class 12)47.2Infrastructure facilitiesPercentage of schools having electricity connection93.6Percentage of schools having drinking water facility99.3Percentage of schools having toilet facility98.6Percentage of schools having boys’ toilet facility96.2Percentage of schools having girls’ toilet facility97.3Percentage of schools having hand wash facilities95.9Percentage of schools having playground facility83.0Percentage of schools having computer facility64.7Percentage of schools having internet facility63.5Percentage of schools having CWSN friendly toilets35.6Percentage of schools having ramps with handrail facility for CWSN students54.9Percentage of schools having Kitchen Gardens40.2Percentage of schools having Functional Rainwater Harvesting System29.4Percentage of schools having Libraries/Reading Corner/Book Bank facilities89.529",,,,,
"",Parameters,,,2024-25,
"",ross Enrolment Ratio (GER) – Scheduled Castes (SC),,,,
Gross Enrolment Ratio (GER) – Primary,92.7,,,,
Gross Enrolment Ratio (GER) – Upper Primary,96.1,,,,
Gross Enrolment Ratio (GER) – Elementary,94.0,,,,
Gross Enrolment Ratio (GER) – Secondary,82.0,,,,
Gross Enrolment Ratio (GER) – Higher Secondary,59.4,,,,
"",ross Enrolment Ratio (GER) – Scheduled Tribes (ST),,,,
Gross Enrolment Ratio (GER) – Primary,98.8,,,,
Gross Enrolment Ratio (GER) – Upper Primary,99.5,,,,
Gross Enrolment Ratio (GER) – Elementary,99.0,,,,
Gross Enrolment Ratio (GER) – Secondary,81.3,,,,
Gross Enrolment Ratio (GER) – Higher Secondary,51.9,,,,
"",ropout Rates – All Categories,,,,
Dropout Rates - Primary,0.3,,,,
Dropout Rates – Upper Primary,3.5,,,,
Dropout Rates - Secondary,11.5,,,,
"",ransition Rates – All Categories,,,,
Transition Rates Primary to Upper Primary,92.2,,,,
Transition Rates Upper Primary to Secondary,86.6,,,,
Transition Rates Secondary to Higher Secondary,75.1,,,,
"",upil Teacher Ratio (PTR),,,,
PTR at Primary level,20,,,,
PTR at Upper Primary level,17,,,,
PTR at Secondary level,15,,,,
PTR at Higher Secondary level,23,,,,
"",etention Rate,,,,
Primary (Class 1 to Class 5),92.4,,,,
Elementary (Class 1 to Class 8),82.8,,,,
Secondary (Class 1 to Class 10),62.9,,,,
Higher Secondary (Class 1 to Class 12),47.2,,,,
"",nfrastructure facilities,,,,
Percentage of schools having electricity connection,93.6,,,,
Percentage of schools having drinking water facility,99.3,,,,
Percentage of schools having toilet facility,98.6,,,,
Percentage of schools having boys’ toilet facility,96.2,,,,
Percentage of schools having girls’ toilet facility,97.3,,,,
Percentage of schools having hand wash facilities,95.9,,,,
Percentage of schools having playground facility,83.0,,,,
Percentage of schools having computer facility,64.7,,,,
Percentage of schools having internet facility,63.5,,,,
Percentage of schools having CWSN friendly toilets,35.6,,,,
Percentage of schools having ramps with handrail facility for CWSN students,54.9,,,,
Percentage of schools having Kitchen Gardens,40.2,,,,
Percentage of schools having Functional Rainwater Harvesting System,29.4,,,,
Percentage of schools having Libraries/Reading Corner/Book Bank facilities,89.5,,,,
