India/State/UT,Total number of,Percentage Share of Schools by Category,Percentage Share of Enrolments by level,"Percentage Share of Teachers by SchoolCategory",,,,,,,,,,,
"",Schools,Enrolments,Teachers,Primary,"UpperPrimary",Secondary,"HigherSecondary",Primary,"UpperPrimary",Secondary,"HigherSecondary",Primary,"UpperPrimary",Secondary,"HigherSecondary"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13,(14),(15),(16)
India,1471473,246932680,10122420,49.6,29.5,9.7,11.2,48.0,25.8,15.1,11.2,23.4,28.6,15.8,32.2
Andaman and Nicobar Islands,408,71343,6132,49.0,20.6,13.2,17.2,46.3,23.4,16.0,14.3,17.0,18.3,17.2,47.5
Andhra Pradesh,61317,8454817,342721,62.3,12.2,18.8,6.6,45.2,26.5,16.0,12.3,28.4,13.3,41.9,16.5
Arunachal Pradesh,3229,319826,25117,44.8,38.9,10.4,6.0,54.3,23.7,13.7,8.3,18.4,42.8,20.7,18.1
Assam,55283,7041824,340471,64.9,16.5,12.8,5.8,52.7,24.7,14.6,8.1,30.9,19.8,28.1,21.2
Bihar,94339,21133228,707516,41.4,45.4,1.4,11.8,50.3,26.9,13.1,9.7,21.5,54.8,2.1,21.7
Chandigarh,207,253012,9968,5.3,12.6,31.9,50.2,43.2,24.9,15.9,16.0,1.9,5.1,25.3,67.6
Chhattisgarh,56802,5806871,285248,57.0,29.4,4.8,8.9,50.5,25.5,14.3,9.7,29.8,30.9,7.2,32.1
"Dadra and Nagar Haveli andDaman and Diu",433,146825,5288,38.6,37.6,10.2,13.6,50.2,25.1,14.8,9.9,14.4,34.0,13.0,38.6
Delhi,5556,4491032,161958,45.5,14.5,5.9,34.2,44.2,26.5,15.9,13.4,16.4,7.1,5.2,71.3
Goa,1479,300546,15196,57.7,4.7,28.9,8.7,47.9,24.2,15.2,12.7,21.8,4.2,52.8,21.3
Gujarat,53355,11501328,389063,25.1,50.3,8.2,16.5,47.9,27.8,14.9,9.4,8.5,55.1,5.9,30.6
Haryana,23494,5769330,263942,40.7,20.7,11.5,27.0,45.8,26.3,15.5,12.4,15.0,13.5,11.0,60.5
Himachal Pradesh,17330,1425266,102825,60.0,14.0,10.2,15.8,47.6,23.3,15.8,13.3,21.1,10.7,17.0,51.2
Jammu and Kashmir,24192,2654012,166717,43.6,37.8,13.2,5.4,56.3,21.4,13.0,9.3,17.5,36.0,26.2,20.3
Jharkhand,44376,7436931,209203,52.2,35.9,7.3,4.7,49.1,25.6,15.1,10.2,21.6,40.1,17.0,21.3
Karnataka,74859,11780251,452602,30.1,40.1,22.2,7.7,45.4,26.5,17.5,10.6,10.2,33.3,39.1,17.5
Kerala,15757,6164059,292072,40.4,28.0,12.3,19.4,45.7,23.9,16.0,14.4,15.8,20.6,14.5,49.1
Ladakh,961,57107,6908,38.1,44.6,11.8,5.5,57.8,19.8,13.4,9.0,14.8,43.2,25.3,16.7
Lakshadweep,36,12325,751,41.7,27.8,0.0,30.6,53.2,22.8,14.6,9.4,23.2,28.4,0.0,48.5
Madhya Pradesh,122120,15172607,717493,49.4,35.3,6.7,8.5,50.7,26.1,14.1,9.1,19.1,37.1,11.8,32.0
Maharashtra,108250,21272611,747501,45.7,26.8,16.6,10.9,44.4,25.6,17.0,13.1,18.5,26.8,25.1,29.7
Manipur,4666,673118,41490,52.6,20.3,20.9,6.3,56.2,21.2,13.0,9.6,21.0,18.9,37.5,22.6
Meghalaya,14587,1061320,57002,62.3,24.3,10.4,3.0,64.2,20.5,10.4,5.0,41.9,26.6,20.1,11.5
Mizoram,3974,279882,24952,36.3,39.2,18.2,6.3,56.3,21.4,13.7,8.6,25.5,45.0,19.6,9.9
Nagaland,2750,414421,33131,42.6,28.4,21.1,7.9,57.2,21.0,13.0,8.8,21.0,25.4,30.2,23.4
Odisha,61565,7644052,344116,46.1,33.9,15.2,4.8,43.8,27.7,16.5,12.0,20.9,37.6,28.6,12.8
Puducherry,763,240691,13639,39.2,9.0,24.2,27.5,45.9,23.7,15.9,14.5,14.9,6.0,22.3,56.8
Punjab,27281,5908507,273130,49.3,16.8,14.4,19.5,52.0,22.0,13.9,12.2,19.5,9.7,18.3,52.5
Rajasthan,106302,16364187,792265,34.6,32.0,6.6,26.8,47.4,25.6,15.1,11.9,10.5,28.8,8.9,51.8
Sikkim,1245,117576,14994,52.9,25.1,11.6,10.4,52.5,21.4,14.7,11.3,22.9,25.0,19.3,32.8
Tamil Nadu,57935,12518167,549850,59.2,16.0,9.5,15.4,45.2,24.5,16.1,14.1,21.3,12.4,12.3,54.0
Telangana,43154,7457851,357911,47.6,17.9,26.9,7.6,48.7,25.1,15.5,10.7,14.1,16.2,52.6,17.1
Tripura,4943,690084,37733,49.6,25.5,13.5,11.4,48.1,25.7,14.6,11.5,19.9,20.2,20.5,39.4
Uttar Pradesh,262358,42789347,1615427,51.7,34.4,4.6,9.3,48.5,26.4,13.3,11.8,36.0,34.3,5.1,24.6
Uttarakhand,22452,2426815,134263,56.4,25.0,6.2,12.4,47.9,23.9,14.9,13.3,23.0,25.6,8.4,43.0
West Bengal,93715,17081511,583825,79.3,9.1,3.5,8.1,47.8,25.7,17.4,9.2,52.6,6.6,6.6,34.2
