India/State/UT,Total number of,"PupilTeacherRatio","AverageTeachersPer School","AverageEnrolmentsPer School","Schools withZeroEnrolments","Teachers inschoolshaving zeroEnrolments","Schoolswith SingleTeachers","Enrolmentsin SingleTeacherSchools",,
"",Schools,Enrolments,Teachers,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,1471473,246932680,10122420,24,7,168,7993,20817,104125,3376769
Andaman and Nicobar Islands,408,71343,6132,12,15,175,0,0,4,89
Andhra Pradesh,61317,8454817,342721,25,6,138,1,3,12912,197113
Arunachal Pradesh,3229,319826,25117,13,8,99,21,15,562,6912
Assam,55283,7041824,340471,21,6,127,0,0,2820,92699
Bihar,94339,21133228,707516,30,7,224,5,17,1865,175500
Chandigarh,207,253012,9968,25,48,1222,0,0,0,0
Chhattisgarh,56802,5806871,285248,20,5,102,0,0,5973,213237
"Dadra and Nagar Haveli and Daman andDiu",433,146825,5288,28,12,339,0,0,0,0
Delhi,5556,4491032,161958,28,29,808,0,0,9,1089
Goa,1479,300546,15196,20,10,203,0,0,62,771
Gujarat,53355,11501328,389063,30,7,216,63,78,2936,105134
Haryana,23494,5769330,263942,22,11,246,0,0,1066,43400
Himachal Pradesh,17330,1425266,102825,14,6,82,0,0,2964,46329
Jammu and Kashmir,24192,2654012,166717,16,7,110,146,61,1371,32303
Jharkhand,44376,7436931,209203,36,5,168,107,31,9172,436480
Karnataka,74859,11780251,452602,26,6,157,270,308,7349,223142
Kerala,15757,6164059,292072,21,19,391,47,19,63,920
Ladakh,961,57107,6908,8,7,59,10,18,54,306
Lakshadweep,36,12325,751,16,21,342,0,0,0,0
Madhya Pradesh,122120,15172607,717493,21,6,124,463,223,7217,229095
Maharashtra,108250,21272611,747501,28,7,197,0,0,8152,150146
Manipur,4666,673118,41490,16,9,144,35,60,383,9115
Meghalaya,14587,1061320,57002,19,4,73,74,152,1414,49807
Mizoram,3974,279882,24952,11,6,70,32,27,117,3056
Nagaland,2750,414421,33131,13,12,151,0,0,26,292
Odisha,61565,7644052,344116,22,6,124,3,1,1089,47940
Puducherry,763,240691,13639,18,18,315,0,0,0,0
Punjab,27281,5908507,273130,22,10,217,13,9,2431,76942
Rajasthan,106302,16364187,792265,21,7,154,215,293,6117,172071
Sikkim,1245,117576,14994,8,12,94,0,0,36,319
Tamil Nadu,57935,12518167,549850,23,9,216,311,432,3671,95353
Telangana,43154,7457851,357911,21,8,173,2245,1016,5001,62288
Tripura,4943,690084,37733,18,8,140,0,0,340,6492
Uttar Pradesh,262358,42789347,1615427,26,6,163,81,56,9508,624327
Uttarakhand,22452,2426815,134263,18,6,108,39,33,2959,38608
West Bengal,93715,17081511,583825,29,6,182,3812,17965,6482,235494
