India/State/UT,Percentage of Schools having Enrolments across various Enrolment brackets,,,,,,,,,,,,,,,
"",Total,< 10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100,101-200,201-300,301-400,401-500,>500
India,1471473,5.1,8.0,9.1,7.9,6.3,5.5,5.0,4.1,3.5,3.3,19.9,8.5,4.5,2.7,6.8
Andaman and Nicobar Islands,408,9.8,13.0,7.8,8.3,7.6,4.2,2.0,3.2,1.0,2.0,15.7,8.6,4.4,4.2,8.3
Andhra Pradesh,61317,9.8,12.9,15.8,8.5,4.8,3.3,3.4,2.4,2.0,2.1,13.7,7.7,4.5,2.9,6.2
Arunachal Pradesh,3229,22.2,15.0,8.4,6.2,5.0,3.3,3.4,2.4,2.9,2.5,13.9,6.9,3.3,1.6,3.1
Assam,55283,3.6,8.1,10.4,10.8,8.4,6.5,5.8,4.7,3.6,3.2,19.0,6.3,3.2,2.0,4.4
Bihar,94339,0.9,1.3,2.2,3.3,3.9,4.3,4.3,4.5,4.3,4.0,27.8,15.6,9.4,5.5,8.7
Chandigarh,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,2.9,2.9,3.9,4.3,84.1
Chhattisgarh,56802,2.7,10.0,11.9,12.5,10.0,7.6,6.7,5.1,4.0,3.4,15.0,4.6,2.2,1.3,2.7
Dadra and Nagar Haveli and Daman and Diu,433,0.0,1.4,4.4,5.5,4.8,5.8,4.2,3.7,3.9,4.6,20.6,12.2,7.6,4.2,17.1
Delhi,5556,0.2,0.5,0.4,0.5,0.6,1.2,0.8,0.9,1.0,1.2,13.1,12.8,10.1,8.5,48.3
Goa,1479,8.8,13.3,10.2,5.6,4.4,3.6,3.0,2.0,2.6,2.0,14.7,8.9,5.3,4.1,11.3
Gujarat,53355,1.7,4.5,5.9,6.0,4.3,3.8,4.6,3.5,2.9,3.0,24.8,14.0,7.9,4.3,8.9
Haryana,23494,2.0,3.8,6.8,6.0,4.7,4.6,4.9,3.8,3.0,3.2,21.0,11.7,7.3,4.7,12.6
Himachal Pradesh,17330,12.4,21.8,14.9,9.5,6.4,4.7,3.5,2.8,1.8,1.9,10.5,4.2,2.2,1.1,2.3
Jammu and Kashmir,24192,5.0,11.0,12.0,10.5,8.4,7.0,5.5,4.7,4.0,3.2,16.6,5.3,2.4,1.3,3.1
Jharkhand,44376,1.9,5.5,8.7,10.4,8.8,7.1,5.7,4.4,3.7,3.1,19.3,8.2,4.2,2.6,6.6
Karnataka,74859,8.1,11.7,8.3,6.0,4.9,4.1,3.9,3.5,3.3,3.1,19.4,10.1,4.8,2.9,6.0
Kerala,15757,1.7,3.1,3.8,4.5,4.4,4.0,3.6,3.7,3.4,3.2,19.3,10.0,6.7,4.7,24.1
Ladakh,961,32.2,20.2,11.8,6.7,5.3,2.7,3.1,2.7,1.8,1.2,5.9,2.3,1.4,0.9,1.9
Lakshadweep,36,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,2.8,2.8,22.2,16.7,22.2,5.6,25.0
Madhya Pradesh,122120,4.6,10.4,12.7,11.1,7.7,6.0,5.3,4.0,3.3,2.8,16.5,6.2,3.1,1.9,4.4
Maharashtra,108250,6.9,9.8,11.4,7.6,4.8,3.6,3.6,2.9,2.6,2.7,18.5,8.5,4.5,2.8,9.6
Manipur,4666,11.3,13.5,12.8,9.5,7.6,5.7,3.8,2.6,2.4,1.9,10.9,5.5,3.5,2.3,6.8
Meghalaya,14587,7.8,15.8,14.8,11.6,9.2,6.9,5.6,4.0,3.3,2.6,11.8,3.1,1.4,0.7,1.2
Mizoram,3974,9.2,12.2,15.9,14.0,10.5,7.9,5.1,3.9,2.8,2.1,9.5,3.5,1.3,1.0,1.2
Nagaland,2750,11.8,13.2,9.9,6.6,5.5,4.7,4.2,3.1,3.1,2.5,16.1,6.3,3.7,1.9,7.5
Odisha,61565,1.4,7.5,12.3,11.2,8.1,6.4,5.4,4.5,4.0,3.4,19.6,7.1,3.6,2.1,3.4
Puducherry,763,0.3,2.5,3.1,4.3,4.1,5.2,4.8,3.5,5.5,3.0,22.3,12.8,8.4,3.8,16.3
Punjab,27281,1.7,4.8,7.5,7.9,7.2,5.9,4.8,4.1,3.4,3.2,21.1,9.9,5.2,3.4,9.9
Rajasthan,106302,5.6,9.0,10.9,7.2,4.8,4.8,4.0,3.3,2.9,2.8,19.6,11.0,6.0,3.1,5.0
Sikkim,1245,12.6,18.6,10.7,8.2,6.8,5.1,4.0,3.7,3.5,2.2,12.4,5.1,3.0,1.2,2.7
Tamil Nadu,57935,5.1,11.7,11.5,7.8,5.0,3.8,4.3,3.2,2.9,2.9,16.8,6.8,3.9,2.8,11.4
Telangana,43154,12.7,11.1,8.5,7.1,5.0,4.2,3.9,2.9,2.5,2.4,14.6,7.7,4.8,3.4,9.2
Tripura,4943,10.8,15.6,11.3,7.8,5.8,4.7,3.7,3.1,2.9,2.4,13.1,6.1,3.7,2.3,6.5
Uttar Pradesh,262358,2.8,4.0,5.6,6.5,6.7,7.3,6.4,5.5,4.8,4.6,25.4,8.6,4.0,2.2,5.6
Uttarakhand,22452,22.2,18.8,10.0,6.5,3.9,3.3,2.8,2.5,2.0,1.8,12.4,5.4,2.8,1.6,4.1
West Bengal,93715,7.6,5.8,8.3,8.5,7.5,6.5,5.8,4.7,3.9,3.3,20.0,6.0,2.6,1.5,8.0
