India/State/UT,Enrolments (Pre-Primary to Higher Secondary),,,,
"",General,SC,ST,OBC,Muslim
India,27.1,17.8,9.9,45.2,16.0
Andaman and Nicobar Islands,62.8,0.7,9.5,27.0,10.3
Andhra Pradesh,21.6,19.6,7.0,51.8,8.9
Arunachal Pradesh,21.2,1.8,72.7,4.2,2.0
Assam,51.3,7.3,14.9,26.4,41.6
Bihar,14.9,18.2,1.9,65.0,17.7
Chandigarh,87.4,8.3,0.3,4.0,5.6
Chhattisgarh,9.1,14.5,29.9,46.5,2.0
Dadra and Nagar Haveli and Daman and Diu,49.1,2.5,35.8,12.6,5.4
Delhi,83.6,9.5,0.5,6.4,14.5
Goa,78.5,1.9,8.4,11.2,12.8
Gujarat,30.5,6.4,16.9,46.2,10.7
Haryana,50.3,20.7,0.0,28.9,9.0
Himachal Pradesh,54.5,25.6,6.0,14.0,2.6
Jammu and Kashmir,68.9,8.2,15.4,7.4,68.9
Jharkhand,12.9,12.3,27.0,47.7,15.2
Karnataka,10.9,18.0,7.5,63.5,16.3
Kerala,20.2,8.5,1.5,69.8,39.4
Ladakh,6.3,0.3,93.0,0.3,58.9
Lakshadweep,0.9,0.5,97.0,1.7,99.5
Madhya Pradesh,15.7,17.0,21.7,45.5,6.5
Maharashtra,43.3,12.3,11.3,33.1,14.1
Manipur,22.7,4.9,40.1,32.3,9.6
Meghalaya,6.3,1.5,91.2,1.0,3.9
Mizoram,1.1,0.8,97.8,0.3,0.6
Nagaland,10.0,1.9,84.1,4.0,6.3
Odisha,16.8,18.5,27.1,37.5,2.4
Puducherry,8.7,18.0,0.4,72.9,8.3
Punjab,48.6,36.1,0.1,15.3,2.9
Rajasthan,17.1,19.5,14.5,49.0,7.3
Sikkim,21.2,8.3,35.1,35.3,2.7
Tamil Nadu,5.6,22.3,1.4,70.7,7.2
Telangana,25.5,15.4,9.7,49.4,16.2
Tripura,26.0,18.6,36.7,18.7,10.3
Uttar Pradesh,19.9,22.7,1.0,56.5,17.4
Uttarakhand,49.0,19.7,2.3,29.1,15.9
West Bengal,56.5,24.6,6.3,12.6,37.1
