India/State/UT,Total Schools,Number of School having,,,,,,,,,,,,
"",,,"Computerfacility","FunctionalComputerfacility forpedagogicalpurposes","InternetFacility","DrinkingWater","FunctionalDrinkingWater","Hand washfacility","FunctionalRainwaterHarvestingSystem","ConductingMedicalCheckup ofStudents in LastAcademic Year",Ramp,"Ramp andHandrails","Schools withCWSNToiletfacilities",
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),,
"",India,,1471473,951868,852684,933987,1461032,1456968,1411644,432999,1111495,1164274,808460,523143
Andaman and Nicobar Islands,408,346,332,264,408,408,408,86,407,270,156,122,,
Andhra Pradesh,61317,48833,46909,60731,61317,61316,61057,50383,58845,54436,36493,14905,,
Arunachal Pradesh,3229,1539,1357,1086,2992,2932,1757,187,1758,910,650,398,,
Assam,55283,43515,36848,48201,54167,53938,51426,2635,46609,44194,39269,13885,,
Bihar,94339,23750,22410,80035,94081,93936,91653,16143,30806,77546,46519,17895,,
Chandigarh,207,206,206,207,207,207,207,134,202,197,132,186,,
Chhattisgarh,56802,35610,21685,36511,56514,56104,55486,20140,52200,43969,31445,33672,,
"Dadra and Nagar Haveli and Daman andDiu",433,421,414,431,433,433,433,341,433,426,421,404,,
Delhi,5556,5553,5553,5556,5556,5556,5556,5157,5446,5512,5365,5523,,
Goa,1479,844,824,1379,1479,1479,1479,96,1455,966,878,157,,
Gujarat,53355,52203,51252,51514,53328,53292,52286,12329,45393,43275,32902,20401,,
Haryana,23494,22860,22457,18539,23494,23494,23457,9257,21076,17676,11563,12451,,
Himachal Pradesh,17330,13496,12505,11011,17330,17330,17266,6334,16495,14833,13012,5140,,
Jammu and Kashmir,24192,10417,8841,11883,24111,24061,22639,1213,18542,10994,3580,1943,,
Jharkhand,44376,33718,19369,25715,44038,43857,41625,10615,31467,29823,18119,3132,,
Karnataka,74859,41662,37939,37921,74798,74780,70061,21426,68606,57196,47433,14756,,
Kerala,15757,15683,15618,14442,15748,15746,15732,4970,13971,13108,10778,6077,,
Ladakh,961,579,537,488,949,932,741,6,885,588,215,264,,
Lakshadweep,36,36,35,36,36,36,36,22,36,35,30,24,,
Madhya Pradesh,122120,72323,66314,55865,121556,120755,114539,20512,85756,113643,42111,28303,,
Maharashtra,108250,89346,82992,78084,108033,107835,107041,38484,99772,101723,88287,67668,,
Manipur,4666,1775,1642,1709,4649,4646,3762,1081,2268,1989,1127,525,,
Meghalaya,14587,2869,2552,3858,10604,10015,6235,1471,9206,4784,3366,547,,
Mizoram,3974,3049,2573,2580,3767,3709,2951,1823,2614,1764,770,786,,
Nagaland,2750,2498,2162,1622,2479,2429,1920,1053,1234,1159,524,271,,
Odisha,61565,47241,43793,51588,61565,61562,61314,35002,59067,58645,53353,44532,,
Puducherry,763,759,751,760,763,763,763,330,761,523,391,313,,
Punjab,27281,27015,26546,24249,27278,27273,27260,5103,23496,21844,17142,15726,,
Rajasthan,106302,56702,49967,74358,105460,104930,102859,32034,70688,72682,37579,24246,,
Sikkim,1245,1166,1118,643,1243,1242,1219,145,1130,554,367,357,,
Tamil Nadu,57935,53676,53080,49211,57717,57691,57404,54777,55218,53677,49949,29606,,
Telangana,43154,37095,35048,27309,42962,42946,41387,25141,36460,33105,20422,3216,,
Tripura,4943,3289,3015,2059,4820,4752,4606,186,3982,3144,1881,693,,
Uttar Pradesh,262358,157798,134462,120465,261191,260722,251524,47116,163296,186796,130461,123461,,
Uttarakhand,22452,20504,18857,16236,22321,22233,21958,2898,18903,18354,11926,2673,,
West Bengal,93715,23492,22721,17441,93638,93628,91597,4369,63012,73934,49844,28885,,
