India/State/UT,"TotalSchools",Number of School having,,,,,,,,,,,,
"",,,"Library/Book Bank/ReadingCorner",Playground,"DigitalLibrary","KitchenGarden","Girls'Toilet","FunctionalGirls'Toilet","Boys'Toilet","FunctionalBoys'Toilet",Electricity,"FunctionalElectricity","SolarPanel",
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,
"",India,,1471473,1316991,1221231,101505,592198,1421205,1372881,1390242,1334739,1377945,1352061,159648
Andaman and Nicobar Islands,408,406,404,12,315,408,408,405,404,383,376,14,,
Andhra Pradesh,61317,61304,58859,7711,43155,60305,60089,54097,53387,61196,61103,4265,,
Arunachal Pradesh,3229,1415,2310,43,970,2940,2376,2934,2372,2320,2013,421,,
Assam,55283,51763,45594,1123,46095,52679,52065,51967,51285,49566,49092,3821,,
Bihar,94339,62905,48152,3237,19656,92976,92426,91757,91112,91956,91579,9729,,
Chandigarh,207,207,206,29,179,206,206,204,204,207,207,177,,
Chhattisgarh,56802,55440,44215,773,30282,53268,50316,51207,46839,53768,51657,3366,,
Dadra and Nagar Haveli and Daman and Diu,433,432,431,6,352,431,431,430,430,433,433,95,,
Delhi,5556,5556,5528,430,4528,4721,4720,4781,4781,5556,5556,1844,,
Goa,1479,1479,1447,41,1128,1470,1469,1468,1466,1479,1479,48,,
Gujarat,53355,51231,47125,1340,25968,51510,51015,50948,50329,53310,53297,4785,,
Haryana,23494,23005,21613,652,11855,23027,23012,22494,22486,23485,23483,5586,,
Himachal Pradesh,17330,17258,17048,420,14495,17202,17146,17144,17057,17227,17163,1206,,
Jammu and Kashmir,24192,18171,18031,381,5010,22070,20293,21495,19424,22127,21093,3910,,
Jharkhand,44376,42010,32469,917,12283,43478,42324,42700,41375,42415,41115,6388,,
Karnataka,74859,73669,64183,2931,24277,73729,73289,71273,70504,74142,73570,9725,,
Kerala,15757,15579,14360,3068,11942,15662,15645,15471,15442,15739,15717,2050,,
Ladakh,961,914,763,38,150,857,831,887,858,794,734,286,,
Lakshadweep,36,36,32,2,36,36,36,36,36,36,36,0,,
Madhya Pradesh,122120,119819,115907,2708,22133,118048,106996,117194,104520,111320,107204,6957,,
Maharashtra,108250,106653,102432,12137,57933,104622,101286,102177,98061,102683,96200,21097,,
Manipur,4666,1306,4098,64,1865,3894,3474,4010,3540,3262,2952,792,,
Meghalaya,14587,4163,7664,103,4731,11973,10016,12542,10447,4475,4095,624,,
Mizoram,3974,3054,3356,5,1638,3514,3142,3583,3173,3483,3193,98,,
Nagaland,2750,2185,2208,34,1412,2514,2216,2546,2218,2347,2150,418,,
Odisha,61565,61469,60593,9219,57472,60867,60331,59333,58597,59987,59665,8239,,
Puducherry,763,763,728,57,188,738,738,728,727,763,763,49,,
Punjab,27281,26890,26438,1453,20462,26916,26727,26493,26260,27272,27261,5772,,
Rajasthan,106302,85424,88963,2004,30585,100920,92729,98236,89515,98054,97075,8430,,
Sikkim,1245,1146,1161,79,677,1143,1136,1228,1220,1231,1208,212,,
Tamil Nadu,57935,57407,54027,7444,26723,54803,54155,52535,51644,57770,57699,3056,,
Telangana,43154,40966,37341,36985,18611,40654,39454,37463,36085,41845,41059,2689,,
Tripura,4943,3866,3997,140,1659,4468,3720,4548,3643,4109,3952,221,,
Uttar Pradesh,262358,214186,206331,5176,58507,254734,245884,253739,244986,229759,225711,36592,,
Uttarakhand,22452,21777,18826,365,15158,21957,20315,21594,19717,21611,21173,1851,,
West Bengal,93715,83137,64391,378,19768,92465,92465,90595,90595,91835,90998,4835,,
