India/State/UT,Total Enrolment,"Aadhaar NumberProvided"
(1),(2),(3)
India,246932680,220854132
Andaman and Nicobar Islands,71343,70993
Andhra Pradesh,8454817,8422949
Arunachal Pradesh,319826,239480
Assam,7041824,6170277
Bihar,21133228,16672148
Chandigarh,253012,249309
Chhattisgarh,5806871,5520901
Dadra and Nagar Haveli and Daman and Diu,146825,140802
Delhi,4491032,4311104
Goa,300546,287629
Gujarat,11501328,10535962
Haryana,5769330,5681280
Himachal Pradesh,1425266,1355833
Jammu and Kashmir,2654012,2411847
Jharkhand,7436931,6603313
Karnataka,11780251,10913419
Kerala,6164059,5647036
Ladakh,57107,52280
Lakshadweep,12325,12216
Madhya Pradesh,15172607,13831280
Maharashtra,21272611,20874610
Manipur,673118,410584
Meghalaya,1061320,339195
Mizoram,279882,244227
Nagaland,414421,259632
Odisha,7644052,7241996
Puducherry,240691,237998
Punjab,5908507,5312220
Rajasthan,16364187,13874790
Sikkim,117576,85631
Tamil Nadu,12518167,11653974
Telangana,7457851,7085297
Tripura,690084,618984
Uttar Pradesh,42789347,37080289
Uttarakhand,2426815,2271242
West Bengal,17081511,14133405
