India/State/UT,Total Enrolment Reported,,
"",In UDISE+ portal,At Block level,Total
(1),(2),(3),(4)
India,246932680,659505,247592185
Andaman and Nicobar Islands,71343,0,71343
Andhra Pradesh,8454817,498,8455315
Arunachal Pradesh,319826,3196,323022
Assam,7041824,85616,7127440
Bihar,21133228,6829,21140057
Chandigarh,253012,18536,271548
Chhattisgarh,5806871,97,5806968
Dadra and Nagar Haveli and Daman and Diu,146825,5227,152052
Delhi,4491032,2632,4493664
Goa,300546,12913,313459
Gujarat,11501328,142,11501470
Haryana,5769330,60091,5829421
Himachal Pradesh,1425266,0,1425266
Jammu and Kashmir,2654012,457,2654469
Jharkhand,7436931,80250,7517181
Karnataka,11780251,76,11780327
Kerala,6164059,2490,6166549
Ladakh,57107,0,57107
Lakshadweep,12325,0,12325
Madhya Pradesh,15172607,213,15172820
Maharashtra,21272611,26613,21299224
Manipur,673118,0,673118
Meghalaya,1061320,2333,1063653
Mizoram,279882,999,280881
Nagaland,414421,0,414421
Odisha,7644052,296239,7940291
Puducherry,240691,0,240691
Punjab,5908507,53286,5961793
Rajasthan,16364187,2,16364189
Sikkim,117576,0,117576
Tamil Nadu,12518167,0,12518167
Telangana,7457851,502,7458353
Tripura,690084,0,690084
Uttar Pradesh,42789347,95,42789442
Uttarakhand,2426815,173,2426988
West Bengal,17081511,0,17081511
