India/State/UT
India/State/UT
"","able 3.1: Number of schools by level of school education, 2024-25",,,,,,,,,,,,,,,,
India/State/UT,Total,Primary,"UpperPrimary",Secondary,"HigherSecondary",,,,,,,,,,,,
"",,,,,,,,,,Upper,Higher,,,,,,
"",India/State/UT,Total,Primary,Secondary,,,,,,,,,,,,,
"",,,,,,,,,,Primary,Secondary,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),
"",ndia,,1471473,730518,434013,142749,164193,,,,,,,,,,
Andaman and Nicobar Islands,408,200,84,54,70,,,,,,,,,,,,
Andhra Pradesh,61317,38212,7510,11531,4064,,,,,,,,,,,,
Arunachal Pradesh,3229,1446,1255,335,193,,,,,,,,,,,,
Assam,55283,35866,9116,7069,3232,,,,,,,,,,,,
Bihar,94339,39035,42870,1324,11110,,,,,,,,,,,,
Chandigarh,207,11,26,66,104,,,,,,,,,,,,
Chhattisgarh,56802,32380,16687,2703,5032,,,,,,,,,,,,
"Dadra and Nagar Haveli andDaman and Diu",433,167,163,44,59,,,,,,,,,,,,
Delhi,5556,2528,803,326,1899,,,,,,,,,,,,
Goa,1479,854,70,427,128,,,,,,,,,,,,
Gujarat,53355,13371,26817,4354,8813,,,,,,,,,,,,
Haryana,23494,9569,4872,2708,6345,,,,,,,,,,,,
Himachal Pradesh,17330,10390,2422,1775,2743,,,,,,,,,,,,
Jammu and Kashmir,24192,10554,9145,3185,1308,,,,,,,,,,,,
Jharkhand,44376,23149,15914,3248,2065,,,,,,,,,,,,
Karnataka,74859,22515,29998,16599,5747,,,,,,,,,,,,
Kerala,15757,6359,4412,1934,3052,,,,,,,,,,,,
Ladakh,961,366,429,113,53,,,,,,,,,,,,
Lakshadweep,36,15,10,0,11,,,,,,,,,,,,
Madhya Pradesh,122120,60377,43163,8198,10382,,,,,,,,,,,,
Maharashtra,108250,49478,29038,17969,11765,,,,,,,,,,,,
Manipur,4666,2454,945,973,294,,,,,,,,,,,,
Meghalaya,14587,9083,3548,1512,444,,,,,,,,,,,,
Mizoram,3974,1442,1556,725,251,,,,,,,,,,,,
Nagaland,2750,1172,780,580,218,,,,,,,,,,,,
Odisha,61565,28407,20852,9332,2974,,,,,,,,,,,,
Puducherry,763,299,69,185,210,,,,,,,,,,,,
Punjab,27281,13457,4584,3926,5314,,,,,,,,,,,,
Rajasthan,106302,36778,33999,7021,28504,,,,,,,,,,,,
Sikkim,1245,658,313,145,129,,,,,,,,,,,,
Tamil Nadu,57935,34289,9245,5498,8903,,,,,,,,,,,,
Telangana,43154,20521,7712,11623,3298,,,,,,,,,,,,
Tripura,4943,2453,1261,665,564,,,,,,,,,,,,
Uttar Pradesh,262358,135658,90243,11938,24519,,,,,,,,,,,,
Uttarakhand,22452,12673,5615,1382,2782,,,,,,,,,,,,
West Bengal,93715,74332,8487,3282,7614,,,,,,,,,,,,
Total
Total
Primary
Primary
"UpperPrimary"
Upper
Primary
Secondary
Secondary
"HigherSecondary"
Higher
Secondary
