India/State/UT,Number of schools with primary section– Private Unaided Recognized,,,
"",Total,"Having AWC inthe school campus","Having Pre-PrimarySections","Having AWC in theschool campus andPre-Primary Sections"
(1),(2),(3),(4),(5)
India,281544,1,187111,1
Andaman and Nicobar Islands,71,0,70,0
Andhra Pradesh,9819,0,9258,0
Arunachal Pradesh,570,0,517,0
Assam,5812,0,5374,0
Bihar,10413,0,7284,0
Chandigarh,81,0,80,0
Chhattisgarh,7123,0,6720,0
"Dadra and Nagar Haveli andDaman and Diu",63,0,56,0
Delhi,2620,0,1585,0
Goa,130,0,120,0
Gujarat,10127,0,8873,0
Haryana,8410,0,6279,0
Himachal Pradesh,2580,0,2419,0
Jammu and Kashmir,5341,0,5182,0
Jharkhand,1049,0,905,0
Karnataka,14746,0,10848,0
Kerala,2863,0,2599,0
Ladakh,110,0,109,0
Lakshadweep,0,0,0,0
Madhya Pradesh,27763,0,26974,0
Maharashtra,14284,0,7393,0
Manipur,941,0,816,0
Meghalaya,1388,0,1332,0
Mizoram,625,0,602,0
Nagaland,814,0,811,0
Odisha,4830,0,2344,0
Puducherry,309,0,306,0
Punjab,7373,0,7272,0
Rajasthan,33244,1,22315,1
Sikkim,372,0,367,0
Tamil Nadu,11507,0,11174,0
Telangana,10964,0,7597,0
Tripura,484,0,463,0
Uttar Pradesh,73203,0,19734,0
Uttarakhand,4983,0,3482,0
West Bengal,6532,0,5851,0
