India/State/UT,Number of schools with primary section– Others,,,
"",Total,"Having AWC inthe school campus","Having Pre-PrimarySections","Having AWC in theschool campus andPre-Primary Sections"
(1),(2),(3),(4),(5)
India,37047,1,15941,1
Andaman and Nicobar Islands,0,0,0,0
Andhra Pradesh,118,0,43,0
Arunachal Pradesh,28,0,23,0
Assam,1947,1,1255,1
Bihar,5999,0,2762,0
Chandigarh,0,0,0,0
Chhattisgarh,122,0,9,0
"Dadra and Nagar Haveli andDaman and Diu",1,0,0,0
Delhi,0,0,0,0
Goa,0,0,0,0
Gujarat,5,0,3,0
Haryana,648,0,504,0
Himachal Pradesh,2,0,1,0
Jammu and Kashmir,46,0,39,0
Jharkhand,5638,0,5104,0
Karnataka,5,0,1,0
Kerala,759,0,699,0
Ladakh,0,0,0,0
Lakshadweep,0,0,0,0
Madhya Pradesh,1105,0,148,0
Maharashtra,212,0,124,0
Manipur,98,0,69,0
Meghalaya,289,0,273,0
Mizoram,32,0,32,0
Nagaland,0,0,0,0
Odisha,894,0,403,0
Puducherry,0,0,0,0
Punjab,12,0,12,0
Rajasthan,2596,0,170,0
Sikkim,0,0,0,0
Tamil Nadu,164,0,160,0
Telangana,44,0,12,0
Tripura,229,0,43,0
Uttar Pradesh,12101,0,745,0
Uttarakhand,346,0,46,0
West Bengal,3607,0,3261,0
