India/State /UT,Number of Schools – all types of management,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,1471473,730518,345749,88264,73379,42541,26829,79980,41784,26437,15992
Andaman and Nicobar Islands,408,200,84,0,51,3,0,49,15,6,0
Andhra Pradesh,61317,38212,7498,12,5585,5946,0,557,780,0,2727
Arunachal Pradesh,3229,1446,1234,21,268,67,0,89,66,38,0
Assam,55283,35866,5164,3952,3803,1958,1308,1464,882,155,731
Bihar,94339,39035,42613,257,720,151,453,1325,938,8460,387
Chandigarh,207,11,26,0,66,0,0,100,3,1,0
Chhattisgarh,56802,32380,3512,13175,840,39,1824,2264,254,2505,9
"Dadra and Nagar Haveli andDaman and Diu",433,167,160,3,26,3,15,21,7,30,1
Delhi,5556,2528,773,30,243,83,0,1329,509,61,0
Goa,1479,854,67,3,198,228,1,16,2,0,110
Gujarat,53355,13371,26125,692,943,52,3359,2443,349,5301,720
Haryana,23494,9569,2655,2217,1783,925,0,3782,2557,4,2
Himachal Pradesh,17330,10390,647,1775,814,961,0,714,2012,10,7
Jammu and Kashmir,24192,10554,9043,102,2856,303,26,681,149,474,4
Jharkhand,44376,23149,15857,57,2368,546,334,884,498,354,329
Karnataka,74859,22515,29773,225,6936,1264,8399,783,192,964,3808
Kerala,15757,6359,3768,644,1417,360,157,1520,1002,474,56
Ladakh,961,366,419,10,88,24,1,16,9,27,1
Lakshadweep,36,15,10,0,0,0,0,3,3,5,0
Madhya Pradesh,122120,60377,35840,7323,5250,939,2009,6865,1406,2105,6
Maharashtra,108250,49478,28956,82,11120,5925,924,7751,1307,181,2526
Manipur,4666,2454,908,37,865,86,22,180,37,10,67
Meghalaya,14587,9083,295,3253,231,258,1023,70,67,93,214
Mizoram,3974,1442,467,1089,30,6,689,6,12,6,227
Nagaland,2750,1172,763,17,470,108,2,166,51,1,0
Odisha,61565,28407,18601,2251,3687,3265,2380,432,453,67,2022
Puducherry,763,299,68,1,153,32,0,144,52,8,6
Punjab,27281,13457,1955,2629,2207,1716,3,3040,2075,56,143
Rajasthan,106302,36778,33784,215,6955,59,7,27889,491,122,2
Sikkim,1245,658,313,0,142,3,0,117,12,0,0
Tamil Nadu,57935,34289,9168,77,1759,3733,6,4447,4392,49,15
Telangana,43154,20521,7705,7,6401,5222,0,974,506,0,1818
Tripura,4943,2453,1260,1,660,5,0,509,55,0,0
Uttar Pradesh,262358,135658,52054,38189,3629,4650,3659,7610,12164,4729,16
Uttarakhand,22452,12673,2701,2914,322,832,228,883,1741,140,18
West Bengal,93715,74332,1483,7004,493,2789,0,857,6736,1,20
