"India/State /UT",Number of Schools – Government Aided,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,79349,16849,11826,7008,7457,8459,7741,5916,7296,4120,2677
Andaman and Nicobar Islands,2,0,0,0,0,0,0,2,0,0,0
Andhra Pradesh,838,415,122,3,7,241,0,0,1,0,49
Arunachal Pradesh,72,9,26,0,27,0,0,10,0,0,0
Assam,1587,0,3,909,7,70,494,4,5,8,87
Bihar,712,37,344,25,68,93,63,7,26,40,9
Chandigarh,7,0,0,0,0,0,0,6,1,0,0
Chhattisgarh,413,202,37,67,7,1,1,26,40,32,0
"Dadra and Nagar Haveli andDaman and Diu",8,0,0,0,5,0,0,0,3,0,0
Delhi,238,39,11,11,12,14,0,87,64,0,0
Goa,558,107,23,3,183,146,1,1,0,0,94
Gujarat,5522,63,166,290,1,8,1687,10,72,3194,31
Haryana,4,0,0,0,0,0,0,3,1,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,1,0,0,0,1,0,0,0,0,0,0
Jharkhand,1155,483,479,15,15,120,7,16,10,1,9
Karnataka,6905,168,2384,41,95,54,3337,11,9,199,607
Kerala,7164,3360,1797,568,94,290,104,113,564,268,6
Ladakh,38,32,5,0,1,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,550,179,90,28,8,3,14,69,75,84,0
Maharashtra,24406,3176,4283,0,6616,4015,25,4511,873,19,888
Manipur,585,400,66,26,36,39,16,1,0,0,1
Meghalaya,4172,2497,22,919,7,131,454,6,25,55,56
Mizoram,232,0,0,73,0,0,137,0,0,0,22
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,5868,299,77,1342,32,1958,1367,1,0,0,792
Puducherry,33,2,0,0,19,0,0,12,0,0,0
Punjab,437,45,32,3,47,24,1,190,95,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0
Sikkim,16,5,2,0,0,2,0,3,4,0,0
Tamil Nadu,8254,4969,1464,27,30,543,3,82,1129,7,0
Telangana,579,228,102,0,48,178,0,0,0,0,23
Tripura,42,7,2,0,4,0,0,22,7,0,0
Uttar Pradesh,8262,87,280,2469,83,471,16,671,4000,184,1
Uttarakhand,615,9,8,189,1,50,14,40,273,29,2
West Bengal,74,31,1,0,3,8,0,12,19,0,0
