India/State /UT,Number of Schools – Private Unaided Recognized,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,339583,77148,112756,15160,45861,10442,6528,45779,8440,6964,10505
Andaman and Nicobar Islands,71,25,25,0,8,0,0,13,0,0,0
Andhra Pradesh,15473,3526,4087,9,2109,3504,0,97,7,0,2134
Arunachal Pradesh,571,133,315,0,89,0,0,33,0,1,0
Assam,6480,521,1587,107,2637,32,117,1067,48,105,259
Bihar,11274,389,8761,5,405,44,359,858,11,104,338
Chandigarh,82,8,15,0,11,0,0,47,1,0,0
Chhattisgarh,7382,1337,3335,74,764,11,20,1687,43,110,1
"Dadra and Nagar Haveli andDaman and Diu",63,17,14,0,14,0,0,18,0,0,0
Delhi,2637,965,754,5,209,3,0,692,7,2,0
Goa,141,99,6,0,15,4,0,10,0,0,7
Gujarat,13190,1022,5924,289,841,20,617,2340,71,1523,543
Haryana,8499,686,2270,4,1757,23,0,3697,58,3,1
Himachal Pradesh,2603,445,641,0,811,0,0,683,6,10,7
Jammu and Kashmir,5359,1572,1893,0,1423,1,1,453,4,10,2
Jharkhand,1707,6,199,2,414,305,92,430,9,2,248
Karnataka,19105,2254,5621,76,6150,81,1565,721,10,80,2547
Kerala,3018,356,517,15,1026,20,18,964,38,25,39
Ladakh,111,21,56,0,26,1,0,7,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,28212,1755,17634,22,3173,23,71,5201,94,233,6
Maharashtra,18746,3858,4145,77,3418,1582,663,2863,350,160,1630
Manipur,1030,42,281,7,497,4,6,121,5,5,62
Meghalaya,2135,941,216,107,185,30,448,46,6,35,121
Mizoram,1068,162,433,71,27,3,232,3,0,6,131
Nagaland,814,161,176,0,326,0,0,151,0,0,0
Odisha,6107,758,3287,64,529,165,119,256,3,0,926
Puducherry,311,64,22,0,98,0,0,125,0,0,2
Punjab,7589,589,1911,2,2135,7,2,2738,18,53,134
Rajasthan,33548,2534,15388,7,6607,41,7,8715,185,62,2
Sikkim,372,190,138,0,22,0,0,22,0,0,0
Tamil Nadu,11890,4921,707,7,1690,120,1,4189,239,3,13
Telangana,12474,528,4351,0,5949,189,0,136,1,0,1320
Tripura,485,185,145,0,75,1,0,79,0,0,0
Uttar Pradesh,104508,41117,24374,13574,1759,4109,2159,5953,7060,4388,15
Uttarakhand,5352,1292,2592,139,307,39,31,792,109,44,7
West Bengal,7176,4669,936,497,355,80,0,572,57,0,10
