India/State /UT,Number of Schools – Others,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,39219,18123,14962,893,2767,335,500,1195,302,29,113
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,120,31,80,0,7,2,0,0,0,0,0
Arunachal Pradesh,28,15,12,0,1,0,0,0,0,0,0
Assam,2475,1886,30,132,26,42,302,5,3,6,43
Bihar,6033,644,4896,1,200,3,12,259,2,8,8
Chandigarh,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,180,105,16,58,0,0,0,1,0,0,0
"Dadra and Nagar Haveli andDaman and Diu",1,0,0,0,0,0,0,1,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0
Gujarat,5,1,1,0,1,0,0,2,0,0,0
Haryana,653,228,383,1,18,0,0,19,3,0,1
Himachal Pradesh,2,2,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,47,19,19,0,7,0,0,1,0,1,0
Jharkhand,5726,1399,3753,23,455,47,12,31,0,1,5
Karnataka,5,2,0,0,3,0,0,0,0,0,0
Kerala,767,261,396,3,87,2,0,15,1,1,1
Ladakh,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1108,345,758,3,1,0,0,1,0,0,0
Maharashtra,214,98,86,0,22,2,0,6,0,0,0
Manipur,99,44,54,1,0,0,0,0,0,0,0
Meghalaya,491,208,49,39,28,9,121,4,1,0,32
Mizoram,57,5,26,1,1,0,18,0,0,0,6
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,965,459,395,23,30,21,14,10,0,0,13
Puducherry,0,0,0,0,0,0,0,0,0,0,0
Punjab,12,5,6,0,1,0,0,0,0,0,0
Rajasthan,2599,2108,452,0,21,1,0,15,0,2,0
Sikkim,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,165,119,31,1,12,0,0,2,0,0,0
Telangana,44,17,24,0,3,0,0,0,0,0,0
Tripura,229,209,13,0,3,0,0,4,0,0,0
Uttar Pradesh,12416,6700,2928,257,1751,25,9,722,18,6,0
Uttarakhand,467,256,87,97,3,4,12,0,1,3,4
West Bengal,4311,2957,467,253,86,177,0,97,273,1,0
