India/State/UT,Number of schools with primary section– All types of Management,,,
"",Total,"Having AWC inthe school campus","Having Pre-PrimarySections","Having AWC in theschool campus andPre-Primary Sections"
(1),(2),(3),(4),(5)
India,1229626,299546,466070,81560
Andaman and Nicobar Islands,384,16,377,16
Andhra Pradesh,51852,8811,20320,7434
Arunachal Pradesh,3037,181,1667,102
Assam,46297,18024,37282,14292
Bihar,83693,8657,10253,42
Chandigarh,203,9,197,9
Chhattisgarh,38996,10413,17367,9084
"Dadra and Nagar Haveli andDaman and Diu",374,48,359,48
Delhi,4873,53,3267,48
Goa,1135,251,664,95
Gujarat,42882,5697,40865,5690
Haryana,17789,3679,15488,3679
Himachal Pradesh,12565,2311,9103,1699
Jammu and Kashmir,23134,280,22871,279
Jharkhand,42258,1971,23595,1005
Karnataka,60007,11517,14388,1021
Kerala,13064,640,11558,558
Ladakh,889,296,856,296
Lakshadweep,28,3,20,3
Madhya Pradesh,108332,17105,32341,689
Maharashtra,97305,40319,12758,1127
Manipur,4407,75,2822,42
Meghalaya,9679,745,8816,679
Mizoram,1945,21,1776,21
Nagaland,2571,60,2532,60
Odisha,51127,20335,3524,595
Puducherry,664,5,632,4
Punjab,20659,8729,20317,8726
Rajasthan,105406,22824,23759,403
Sikkim,1230,42,1169,42
Tamil Nadu,49663,8398,14436,2206
Telangana,35601,9843,8775,465
Tripura,4882,603,705,23
Uttar Pradesh,198951,71967,22513,1398
Uttarakhand,16579,5903,3567,1
West Bengal,77165,19715,75131,19679
