India/State/UT,Number of schools with primary section– Government,,,
"",Total,"Having AWC inthe school campus","Having Pre-PrimarySections","Having AWC in theschool campus andPre-Primary Sections"
(1),(2),(3),(4),(5)
India,868987,297928,250548,80856
Andaman and Nicobar Islands,311,16,305,16
Andhra Pradesh,41371,8779,10943,7416
Arunachal Pradesh,2367,181,1097,102
Assam,38524,18023,30642,14291
Bihar,66825,8641,198,42
Chandigarh,116,9,112,9
Chhattisgarh,31479,10400,10462,9076
"Dadra and Nagar Haveli andDaman and Diu",305,48,298,48
Delhi,2104,49,1669,47
Goa,691,242,266,88
Gujarat,32510,5692,31789,5685
Haryana,8728,3679,8704,3679
Himachal Pradesh,9983,2311,6683,1699
Jammu and Kashmir,17746,280,17649,279
Jharkhand,34578,1947,16910,985
Karnataka,42598,11377,2703,986
Kerala,4078,420,3574,354
Ladakh,741,296,733,296
Lakshadweep,28,3,20,3
Madhya Pradesh,79118,17092,5136,688
Maharashtra,64223,39579,2722,881
Manipur,2865,64,1767,39
Meghalaya,5470,577,4916,533
Mizoram,1288,21,1142,21
Nagaland,1757,60,1721,60
Odisha,44994,20284,758,593
Puducherry,322,5,300,4
Punjab,12960,8724,12920,8724
Rajasthan,69566,22823,1274,402
Sikkim,848,42,798,42
Tamil Nadu,31447,8245,3036,2205
Telangana,24215,9839,1120,464
Tripura,4134,601,197,23
Uttar Pradesh,112526,71963,1973,1397
Uttarakhand,11192,5902,29,1
West Bengal,66979,19714,65982,19678
