India/State/UT,Number of schools with primary section– Government Aided,,,
"",Total,"Having AWC inthe school campus","Having Pre-PrimarySections","Having AWC in theschool campus andPre-Primary Sections"
(1),(2),(3),(4),(5)
India,42048,1616,12470,702
Andaman and Nicobar Islands,2,0,2,0
Andhra Pradesh,544,32,76,18
Arunachal Pradesh,72,0,30,0
Assam,14,0,11,0
Bihar,456,16,9,0
Chandigarh,6,0,5,0
Chhattisgarh,272,13,176,8
"Dadra and Nagar Haveli andDaman and Diu",5,0,5,0
Delhi,149,4,13,1
Goa,314,9,278,7
Gujarat,240,5,200,5
Haryana,3,0,1,0
Himachal Pradesh,0,0,0,0
Jammu and Kashmir,1,0,1,0
Jharkhand,993,24,676,20
Karnataka,2658,140,836,35
Kerala,5364,220,4686,204
Ladakh,38,0,14,0
Lakshadweep,0,0,0,0
Madhya Pradesh,346,13,83,1
Maharashtra,18586,740,2519,246
Manipur,503,11,170,3
Meghalaya,2532,168,2295,146
Mizoram,0,0,0,0
Nagaland,0,0,0,0
Odisha,409,51,19,2
Puducherry,33,0,26,0
Punjab,314,5,113,2
Rajasthan,0,0,0,0
Sikkim,10,0,4,0
Tamil Nadu,6545,153,66,1
Telangana,378,4,46,1
Tripura,35,2,2,0
Uttar Pradesh,1121,4,61,1
Uttarakhand,58,1,10,0
West Bengal,47,1,37,1
