India/State /UT,Number of Teachers – all types of management,,,,
"",Total,Primary,Upper Primary,Secondary,"HigherSecondary"
(1),(2),(3),(4),(5),(6)
India,10122420,2368195,2892682,1604358,3257185
Andaman and Nicobar Islands,6132,1041,1123,1056,2912
Andhra Pradesh,342721,97303,45572,143448,56398
Arunachal Pradesh,25117,4616,10744,5200,4557
Assam,340471,105302,67319,95828,72022
Bihar,707516,151976,387689,14550,153301
Chandigarh,9968,194,511,2521,6742
Chhattisgarh,285248,85129,88011,20670,91438
"Dadra and Nagar Haveli andDaman and Diu",5288,760,1799,688,2041
Delhi,161958,26560,11564,8405,115429
Goa,15196,3307,638,8021,3230
Gujarat,389063,32890,214272,22935,118966
Haryana,263942,39580,35730,29054,159578
Himachal Pradesh,102825,21718,10956,17454,52697
Jammu and Kashmir,166717,29133,60097,43713,33774
Jharkhand,209203,45241,83848,35612,44502
Karnataka,452602,46096,150565,176781,79160
Kerala,292072,46175,60122,42449,143326
Ladakh,6908,1025,2982,1747,1154
Lakshadweep,751,174,213,0,364
Madhya Pradesh,717493,137087,266003,84453,229950
Maharashtra,747501,138219,200144,187255,221883
Manipur,41490,8709,7861,15560,9360
Meghalaya,57002,23873,15143,11439,6547
Mizoram,24952,6351,11224,4896,2481
Nagaland,33131,6942,8430,10008,7751
Odisha,344116,72054,129522,98397,44143
Puducherry,13639,2032,817,3042,7748
Punjab,273130,53373,26603,49849,143305
Rajasthan,792265,83352,227978,70275,410660
Sikkim,14994,3438,3745,2887,4924
Tamil Nadu,549850,117222,68171,67407,297050
Telangana,357911,50587,57847,188353,61124
Tripura,37733,7492,7640,7750,14851
Uttar Pradesh,1615427,581174,554824,82830,396599
Uttarakhand,134263,30873,34334,11322,57734
West Bengal,583825,307197,38641,38503,199484
