India/State /UT,Number of teachers by Classes Taught – Private Unaided Recognized,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),(6),(7),( 8),(9),(10),(11)
India,3962114,116136,156482,1187407,684439,577101,310305,414397,236211,279636
Andaman and Nicobar Islands,1246,97,115,338,198,113,122,93,92,78
Andhra Pradesh,144233,3306,12359,36003,17404,11919,25493,17766,275,19708
Arunachal Pradesh,7369,318,556,2536,1921,1076,359,288,204,111
Assam,101099,1279,3371,24023,23619,15888,11465,10226,4171,7057
Bihar,136596,1922,3603,33466,35433,35736,6788,8413,4595,6640
Chandigarh,4429,430,121,1113,580,430,611,356,492,296
Chhattisgarh,93648,4444,6607,28312,20675,11025,6112,4573,7619,4281
"Dadra and Nagar Haveli andDaman and Diu",1845,215,60,634,226,215,134,134,131,96
Delhi,71004,5317,1095,29271,3028,12063,2432,7660,1641,8497
Goa,2335,325,96,1017,194,105,226,172,78,122
Gujarat,152266,5305,4259,51710,23281,25684,5153,15446,9106,12322
Haryana,157257,4068,2219,48413,20329,19518,15736,14045,22277,10652
Himachal Pradesh,36126,1518,1528,7614,7235,4687,5138,2912,3517,1977
Jammu and Kashmir,72131,4341,6115,22572,9570,14492,3359,8346,737,2599
Jharkhand,39420,763,773,7884,5779,4767,5351,6099,3189,4815
Karnataka,217845,6831,4594,61990,40786,26454,15253,32497,1756,27684
Kerala,82734,7950,1234,20830,9543,12384,8228,11793,4681,6091
Ladakh,1711,137,167,458,396,212,170,117,22,32
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,316535,10038,15637,80337,93976,46813,21183,14158,23210,11183
Maharashtra,243280,6104,3724,92032,31914,26907,18623,39146,6254,18576
Manipur,20702,499,984,4443,4681,2804,2676,2141,811,1663
Meghalaya,13716,316,1500,4400,1316,1220,823,2564,301,1276
Mizoram,8203,231,306,2295,1693,1431,69,1281,28,869
Nagaland,14604,627,858,3660,2922,1692,1753,1596,825,671
Odisha,85435,1166,1711,26150,23795,10675,5418,5388,1382,9750
Puducherry,8036,569,240,2191,1269,693,848,777,676,773
Punjab,145942,7198,5594,36722,18135,21568,10794,21586,9834,14511
Rajasthan,339793,6934,11330,68161,75845,51307,43283,27418,37286,18229
Sikkim,3920,269,378,1699,476,547,157,163,161,70
Tamil Nadu,253432,10542,8461,80273,38047,20106,19449,38244,17207,21103
Telangana,199734,7089,11251,54384,39114,21982,22679,27158,684,15393
Tripura,8195,231,886,2751,1454,796,755,475,613,234
Uttar Pradesh,823948,11007,13911,310785,107605,153097,39073,83074,59167,46229
Uttarakhand,67489,2526,2771,22448,12701,10009,3976,4051,5484,3523
West Bengal,85856,2224,28068,16492,9299,8686,6616,4241,7705,2525
