India/State /UT,Pupil Teacher Ratio (PTR),,,
"","Primary(1 to 5)","UpperPrimary (6-8)","Secondary(9-10)","HigherSecondary(11-12)"
(1),(3),(4),(5),(6)
India,20,17,15,23
Andaman and Nicobar Islands,9,8,6,10
Andhra Pradesh,21,15,10,30
Arunachal Pradesh,9,7,9,14
Assam,19,13,12,19
Bihar,26,19,26,27
Chandigarh,22,15,10,23
Chhattisgarh,18,15,14,12
"Dadra and Nagar Haveli andDaman and Diu",28,26,19,21
Delhi,29,28,17,20
Goa,23,14,8,16
Gujarat,24,24,27,25
Haryana,21,17,10,11
Himachal Pradesh,13,8,6,9
Jammu and Kashmir,12,9,12,22
Jharkhand,26,24,30,47
Karnataka,21,17,18,28
Kerala,22,18,13,20
Ladakh,5,3,5,8
Lakshadweep,17,15,8,8
Madhya Pradesh,16,14,14,15
Maharashtra,24,24,20,37
Manipur,13,9,9,14
Meghalaya,18,12,10,15
Mizoram,12,6,8,11
Nagaland,9,7,8,16
Odisha,16,15,16,37
Puducherry,14,12,9,15
Punjab,20,15,9,16
Rajasthan,18,12,11,15
Sikkim,6,6,5,7
Tamil Nadu,20,18,12,21
Telangana,18,12,9,24
Tripura,16,15,11,14
Uttar Pradesh,20,22,22,35
Uttarakhand,15,13,10,14
West Bengal,21,27,18,21
