India/State /UT,Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,497653,675974,1173627,830728,835067,1665795,418773,398195,816968
Andaman and Nicobar Islands,97,260,357,203,477,680,346,726,1072
Andhra Pradesh,11933,17855,29788,7778,11771,19549,52076,44101,96177
Arunachal Pradesh,2543,2416,4959,1977,2097,4074,856,786,1642
Assam,14741,17722,32463,36981,21504,58485,22340,18527,40867
Bihar,72259,45525,117784,103621,71156,174777,5490,2556,8046
Chandigarh,165,652,817,200,723,923,541,1877,2418
Chhattisgarh,6379,15624,22003,40149,29313,69462,3279,4535,7814
"Dadra and Nagar Haveli andDaman and Diu",93,191,284,329,637,966,53,127,180
Delhi,534,2761,3295,7455,19423,26878,4049,8278,12327
Goa,74,336,410,252,949,1201,877,2711,3588
Gujarat,8129,18732,26861,46384,53500,99884,2637,3477,6114
Haryana,3978,17057,21035,17571,26293,43864,9903,15781,25684
Himachal Pradesh,1399,5904,7303,6956,6416,13372,10040,10893,20933
Jammu and Kashmir,9542,9317,18859,21153,17897,39050,3361,2278,5639
Jharkhand,22777,14245,37022,21093,12281,33374,5888,4594,10482
Karnataka,42603,77042,119645,14215,32204,46419,8097,13753,21850
Kerala,1468,10937,12405,11144,46498,57642,1583,8445,10028
Ladakh,1101,911,2012,297,516,813,455,337,792
Lakshadweep,30,28,58,35,52,87,23,15,38
Madhya Pradesh,53053,69925,122978,66519,57066,123585,19675,18784,38459
Maharashtra,30607,41498,72105,56777,48689,105466,27227,23583,50810
Manipur,2696,3769,6465,2145,2246,4391,2222,2300,4522
Meghalaya,491,1196,1687,7007,7718,14725,764,1267,2031
Mizoram,774,1035,1809,4148,3571,7719,91,77,168
Nagaland,1776,2813,4589,2703,2864,5567,1300,1466,2766
Odisha,38908,43082,81990,21916,17810,39726,12342,11514,23856
Puducherry,215,1243,1458,268,883,1151,634,1444,2078
Punjab,2182,16391,18573,7987,28162,36149,9638,24148,33786
Rajasthan,75268,64340,139608,74157,52198,126355,65016,32429,97445
Sikkim,301,604,905,898,1330,2228,509,678,1187
Tamil Nadu,4969,35822,40791,19813,52899,72712,19461,39319,58780
Telangana,12443,36032,48475,9274,21887,31161,38625,38369,76994
Tripura,1124,934,2058,4800,2332,7132,1516,947,2463
Uttar Pradesh,65048,82717,147765,166277,142798,309075,32835,22101,54936
Uttarakhand,3210,9825,13035,8794,10860,19654,5575,5255,10830
West Bengal,4743,7233,11976,39452,28047,67499,49449,30717,80166
