India/State /UT,Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,566364,520918,1087282,303477,231067,534544,367105,317024,684129
Andaman and Nicobar Islands,143,293,436,142,220,362,291,355,646
Andhra Pradesh,16479,15200,31679,2230,2608,4838,18341,11961,30302
Arunachal Pradesh,1143,1143,2286,561,371,932,535,437,972
Assam,22595,14096,36691,5316,5223,10539,10360,8938,19298
Bihar,39491,19245,58736,25307,12948,38255,23409,12805,36214
Chandigarh,143,547,690,163,600,763,223,767,990
Chhattisgarh,9874,8587,18461,17684,16498,34182,7159,6107,13266
"Dadra and Nagar Haveli andDaman and Diu",326,414,740,117,131,248,207,239,446
Delhi,9497,17388,26885,1228,2192,3420,9979,16787,26766
Goa,483,1610,2093,44,86,130,643,1686,2329
Gujarat,26627,18809,45436,7045,5732,12777,17375,13089,30464
Haryana,6002,11167,17169,22041,28249,50290,5684,8382,14066
Himachal Pradesh,4128,4536,8664,4134,3878,8012,8143,5845,13988
Jammu and Kashmir,12632,9020,21652,894,563,1457,6217,3668,9885
Jharkhand,11967,8070,20037,4218,2415,6633,5777,3851,9628
Karnataka,47502,44065,91567,1215,1668,2883,22635,19617,42252
Kerala,14790,45614,60404,955,4607,5562,11123,28156,39279
Ladakh,282,180,462,107,89,196,259,151,410
Lakshadweep,68,59,127,41,27,68,44,39,83
Madhya Pradesh,30099,22373,52472,32373,24622,56995,20218,14783,35001
Maharashtra,68243,53649,121892,4319,5138,9457,37949,28680,66629
Manipur,2030,1604,3634,761,640,1401,1641,1687,3328
Meghalaya,3745,4566,8311,264,408,672,994,1892,2886
Mizoram,2747,1864,4611,44,24,68,1067,1099,2166
Nagaland,1634,1674,3308,404,598,1002,471,886,1357
Odisha,33025,19645,52670,2019,1277,3296,13456,8400,21856
Puducherry,386,800,1186,323,560,883,621,886,1507
Punjab,10337,28814,39151,5190,10984,16174,9498,18662,28160
Rajasthan,33283,16752,50035,60806,25716,86522,27717,11916,39633
Sikkim,665,784,1449,317,365,682,537,771,1308
Tamil Nadu,28096,59802,87898,7581,15052,22633,23950,38037,61987
Telangana,17772,23219,40991,2624,3395,6019,15188,11979,27167
Tripura,3146,1863,5009,958,781,1739,2117,1754,3871
Uttar Pradesh,81867,45305,127172,50760,25266,76026,47809,21445,69254
Uttarakhand,8650,6736,15386,5085,4593,9678,7917,5046,12963
West Bengal,16467,11425,27892,36207,23543,59750,7551,6221,13772
