India/State /UT,Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,4640803,5481617,10122420,5196,137517,142713,185217,260606,445823,1466290,2105249,3571539
"Andaman and NicobarIslands",1874,4258,6132,77,355,432,33,188,221,542,1384,1926
Andhra Pradesh,156530,186191,342721,180,3158,3338,2193,10651,12844,45320,68886,114206
Arunachal Pradesh,11889,13228,25117,17,360,377,174,601,775,4083,5017,9100
Assam,187340,153131,340471,179,1258,1437,5360,6357,11717,69468,59506,128974
Bihar,400093,307423,707516,281,2132,2413,1228,3452,4680,129007,137604,266611
Chandigarh,1929,8039,9968,8,658,666,13,157,170,473,2058,2531
Chhattisgarh,138223,147025,285248,106,4436,4542,938,5981,6919,52655,55944,108599
"Dadra and Nagar Haveli andDaman and Diu",1678,3610,5288,19,527,546,5,57,62,529,1287,1816
Delhi,43400,118558,161958,77,7073,7150,120,1227,1347,10461,43429,53890
Goa,2757,12439,15196,4,809,813,12,127,139,368,4125,4493
Gujarat,168126,220937,389063,122,5339,5461,812,4473,5285,58995,97786,156781
Haryana,90543,173399,263942,30,4217,4247,228,2393,2621,25106,59860,84966
Himachal Pradesh,46697,56128,102825,22,1541,1563,1193,2533,3726,10682,14582,25264
Jammu and Kashmir,83013,83704,166717,277,4226,4503,4618,6853,11471,24319,29882,54201
Jharkhand,122410,86793,209203,131,1691,1822,1047,2898,3945,49512,36748,86260
Karnataka,169250,283352,452602,64,6810,6874,260,4359,4619,32659,83834,116493
Kerala,54324,237748,292072,60,18738,18798,40,1700,1740,13161,73053,86214
Ladakh,3196,3712,6908,6,155,161,260,380,640,429,993,1422
Lakshadweep,341,410,751,2,38,40,2,4,6,96,148,244
Madhya Pradesh,355876,361617,717493,471,9653,10124,2701,13198,15899,130767,131213,261980
Maharashtra,358137,389364,747501,83,6407,6490,495,3715,4210,132437,178005,310442
Manipur,17950,23540,41490,25,564,589,407,1489,1896,6023,9241,15264
Meghalaya,22637,34365,57002,102,776,878,1419,3643,5062,7851,12899,20750
Mizoram,12187,12765,24952,45,302,347,150,424,574,3121,4369,7490
Nagaland,13552,19579,33131,34,774,808,546,1346,1892,4684,7158,11842
Odisha,175037,169079,344116,64,1253,1317,242,1959,2201,53065,64139,117204
Puducherry,2999,10640,13639,1,925,926,22,274,296,529,3625,4154
Punjab,63787,209343,273130,554,10248,10802,4016,13431,17447,14385,58503,72888
Rajasthan,460374,331891,792265,983,7403,8386,2801,8960,11761,120343,112177,232520
Sikkim,5384,9610,14994,37,705,742,78,506,584,2042,3867,5909
Tamil Nadu,129423,420427,549850,225,11886,12111,232,8452,8684,25096,159158,184254
Telangana,127954,229957,357911,109,7034,7143,1476,10874,12350,30443,77168,107611
Tripura,23443,14290,37733,58,186,244,389,581,970,9335,4912,14247
Uttar Pradesh,809612,805815,1615427,358,10774,11132,2723,11484,14207,361935,443925,805860
Uttarakhand,55471,78792,134263,29,2520,2549,242,2558,2800,15969,31399,47368
West Bengal,323367,260458,583825,356,2586,2942,148742,123321,272063,20400,27365,47765
