India/State /UT,Number of teachers by Gender and Classes Taught – Government,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,233236,169488,402724,518707,396390,915097,242894,192794,435688
Andaman and Nicobar Islands,55,103,158,191,370,561,322,610,932
Andhra Pradesh,6747,5247,11994,3885,3409,7294,38986,30756,69742
Arunachal Pradesh,1548,1129,2677,1349,1514,2863,568,526,1094
Assam,5192,3458,8650,24147,11349,35496,16041,12816,28857
Bihar,43988,27426,71414,68606,49899,118505,517,248,765
Chandigarh,78,131,209,172,308,480,453,1268,1721
Chhattisgarh,492,683,1175,36515,21211,57726,883,695,1578
"Dadra and Nagar Haveli andDaman and Diu",22,16,38,281,419,700,13,12,25
Delhi,77,124,201,5696,8128,13824,3464,5950,9414
Goa,5,16,21,113,260,373,179,365,544
Gujarat,2349,1047,3396,38308,34020,72328,598,362,960
Haryana,32,69,101,12722,10527,23249,5490,4396,9886
Himachal Pradesh,33,35,68,5720,2965,8685,8650,7145,15795
Jammu and Kashmir,5812,3401,9213,15319,9167,24486,1458,806,2264
Jharkhand,14176,4278,18454,11735,4172,15907,2066,1304,3370
Karnataka,29056,40761,69817,8750,10298,19048,3782,2687,6469
Kerala,191,600,791,2654,11763,14417,212,526,738
Ladakh,946,662,1608,212,378,590,381,240,621
Lakshadweep,30,28,58,35,52,87,23,15,38
Madhya Pradesh,18810,8407,27217,48923,26742,75665,10802,6228,17030
Maharashtra,6365,5112,11477,26126,12483,38609,1044,854,1898
Manipur,566,797,1363,460,653,1113,609,894,1503
Meghalaya,30,67,97,4113,4390,8503,100,147,247
Mizoram,4,11,15,3179,2518,5697,63,34,97
Nagaland,812,855,1667,2068,1807,3875,533,480,1013
Odisha,30244,26054,56298,15142,10721,25863,7535,7673,15208
Puducherry,18,31,49,158,248,406,391,651,1042
Punjab,49,209,258,5171,8935,14106,7698,14973,22671
Rajasthan,40762,22045,62807,46947,27468,74415,38432,15620,54052
Sikkim,186,239,425,691,977,1668,429,590,1019
Tamil Nadu,421,1054,1475,14741,26828,41569,12023,19906,31929
Telangana,4442,4646,9088,4567,4349,8916,29701,23949,53650
Tripura,363,192,555,4282,1940,6222,1012,637,1649
Uttar Pradesh,19006,10222,29228,69380,60232,129612,1387,1237,2624
Uttarakhand,43,72,115,4989,3295,8284,3702,2374,6076
West Bengal,286,261,547,31360,22595,53955,43347,25820,69167
