India/State /UT,Number of teachers by Gender and Classes Taught – Government,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,236789,196600,433389,164186,107345,271531,145450,124399,269849
Andaman and Nicobar Islands,124,214,338,113,154,267,258,289,547
Andhra Pradesh,7003,6298,13301,2052,2511,4563,5451,4596,10047
Arunachal Pradesh,909,1000,1909,398,270,668,447,386,833
Assam,12411,7315,19726,3316,2976,6292,6099,4513,10612
Bihar,32347,16422,48769,21568,11809,33377,17900,11197,29097
Chandigarh,103,214,317,80,151,231,157,455,612
Chhattisgarh,7781,5884,13665,13856,12337,26193,4885,3861,8746
"Dadra and Nagar Haveli andDaman and Diu",269,289,558,59,56,115,145,137,282
Delhi,7880,10387,18267,720,772,1492,7491,9614,17105
Goa,91,221,312,26,26,52,69,193,262
Gujarat,3438,2538,5976,526,325,851,1628,1217,2845
Haryana,1623,1450,3073,13571,14371,27942,1644,1740,3384
Himachal Pradesh,3209,2543,5752,2889,1606,4495,7391,4620,12011
Jammu and Kashmir,8492,4786,13278,484,234,718,4935,2346,7281
Jharkhand,8011,4694,12705,2157,1206,3363,2747,1839,4586
Karnataka,20824,16806,37630,539,409,948,5683,3237,8920
Kerala,5080,14052,19132,184,423,607,4945,11673,16618
Ladakh,223,122,345,103,71,174,241,137,378
Lakshadweep,68,59,127,41,27,68,44,39,83
Madhya Pradesh,23628,14224,37852,20544,12231,32775,14248,9063,23311
Maharashtra,5030,3253,8283,564,357,921,1308,619,1927
Manipur,536,760,1296,339,244,583,773,803,1576
Meghalaya,333,555,888,72,45,117,165,273,438
Mizoram,1248,977,2225,30,10,40,391,507,898
Nagaland,840,872,1712,108,69,177,237,449,686
Odisha,16239,14176,30415,1199,678,1877,1406,1252,2658
Puducherry,129,201,330,75,93,168,246,396,642
Punjab,5653,10664,16317,2561,3376,5937,5275,7334,12609
Rajasthan,15694,6877,22571,35327,13862,49189,14893,6499,21392
Sikkim,571,677,1248,230,282,512,492,723,1215
Tamil Nadu,12851,20930,33781,1612,1461,3073,12699,17772,30471
Telangana,6293,7050,13343,2372,2963,5335,5880,5672,11552
Tripura,2686,1566,4252,562,466,1028,1729,1492,3221
Uttar Pradesh,5239,6303,11542,2547,1875,4422,2200,1950,4150
Uttarakhand,6258,3783,10041,1949,1313,3262,5366,2891,8257
West Bengal,13675,8438,22113,31413,18286,49699,5982,4615,10597
