India/State /UT,Number of teachers by Gender and Classes Taught – Government,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,2821520,2328251,5149771,1647,14442,16089,149206,114371,263577,1129405,1012422,2141827
"Andaman and NicobarIslands",1662,3149,4811,73,260,333,22,83,105,504,1066,1570
Andhra Pradesh,104617,89680,194297,4,26,30,218,246,464,40271,36591,76862
Arunachal Pradesh,8637,7821,16458,6,28,34,85,98,183,3327,2870,6197
Assam,131408,86955,218363,58,83,141,4509,3696,8205,59635,40749,100384
Bihar,296215,225985,522200,0,9,9,1,4,5,111288,108971,220259
Chandigarh,1480,3715,5195,5,219,224,6,35,41,426,934,1360
Chhattisgarh,112321,76257,188578,5,84,89,124,184,308,47780,31318,79098
"Dadra and Nagar Haveli andDaman and Diu",1287,1907,3194,19,306,325,0,0,0,479,672,1151
Delhi,33669,52426,86095,50,1767,1817,62,190,252,8229,15494,23723
Goa,690,2711,3401,0,101,101,1,10,11,206,1519,1725
Gujarat,99765,91812,191577,49,91,140,418,583,1001,52451,51629,104080
Haryana,55224,46446,101670,2,19,21,117,131,248,20023,13743,33766
Himachal Pradesh,38805,27889,66694,12,33,45,1123,1075,2198,9778,7867,17645
Jammu and Kashmir,58700,35502,94202,61,82,143,3281,2054,5335,18858,12626,31484
Jharkhand,82037,35002,117039,11,13,24,358,179,537,40776,17317,58093
Karnataka,94622,101034,195656,3,29,32,6,13,19,25979,26794,52773
Kerala,17811,64937,82748,8,4324,4332,9,87,96,4528,21489,26017
Ladakh,2650,2457,5107,5,19,24,233,232,465,306,596,902
Lakshadweep,341,410,751,2,38,40,2,4,6,96,148,244
Madhya Pradesh,250301,142909,393210,15,52,67,85,120,205,113246,65842,179088
Maharashtra,138766,92481,231247,6,215,221,24,109,133,98299,69479,167778
Manipur,8002,9469,17471,10,26,36,263,494,757,4446,4798,9244
Meghalaya,10414,12413,22827,51,196,247,791,1354,2145,4759,5386,10145
Mizoram,7591,6798,14389,34,55,89,105,143,248,2537,2543,5080
Nagaland,8972,9555,18527,20,161,181,420,614,1034,3934,4248,8182
Odisha,117775,100387,218162,2,16,18,2,8,10,46006,39809,85815
Puducherry,1467,3270,4737,0,320,320,11,37,48,439,1293,1732
Punjab,43305,79158,122463,503,3082,3585,3815,7995,11810,12580,22590,35170
Rajasthan,290096,154977,445073,577,842,1419,160,162,322,97304,61602,158906
Sikkim,4335,6614,10949,27,445,472,38,167,205,1671,2514,4185
Tamil Nadu,73447,148497,221944,7,1359,1366,3,121,124,19090,59066,78156
Telangana,80103,74853,154956,11,17,28,493,518,1011,26344,25689,52033
Tripura,18171,9430,27601,1,4,5,9,10,19,7527,3123,10650
Uttar Pradesh,320724,311462,632186,2,63,65,17,56,73,220946,229524,450470
Uttarakhand,34049,25285,59334,0,11,11,0,3,3,11742,11543,23285
West Bengal,272061,184598,456659,8,47,55,132395,93556,225951,13595,10980,24575
