India/State /UT,Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,25262,19968,45230,59672,58719,118391,37332,24861,62193
Andaman and Nicobar Islands,0,1,1,1,5,6,2,16,18
Andhra Pradesh,113,114,227,139,145,284,425,511,936
Arunachal Pradesh,172,151,323,62,38,100,108,81,189
Assam,31,25,56,4379,1673,6052,192,115,307
Bihar,225,107,332,713,341,1054,158,76,234
Chandigarh,8,20,28,2,11,13,14,72,86
Chhattisgarh,68,74,142,261,280,541,55,69,124
"Dadra and Nagar Haveli andDaman and Diu",6,4,10,14,36,50,8,12,20
Delhi,14,52,66,236,755,991,112,369,481
Goa,39,156,195,128,595,723,659,2159,2818
Gujarat,80,88,168,903,963,1866,0,0,0
Haryana,0,6,6,0,2,2,0,16,16
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2,2,4,3,0,3,1,2,3
Jharkhand,765,845,1610,523,474,997,334,478,812
Karnataka,5326,3715,9041,431,486,917,62,66,128
Kerala,320,716,1036,7307,22232,29539,262,565,827
Ladakh,6,2,8,8,3,11,1,0,1
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,121,316,437,237,268,505,101,143,244
Maharashtra,16952,11550,28502,25020,14731,39751,20628,9634,30262
Manipur,103,119,222,192,165,357,172,171,343
Meghalaya,32,52,84,2454,2346,4800,365,442,807
Mizoram,0,0,0,286,247,533,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,153,124,277,1992,467,2459,2238,803,3041
Puducherry,19,121,140,6,46,52,32,156,188
Punjab,18,159,177,93,371,464,61,260,321
Rajasthan,0,0,0,0,0,0,0,0,0
Sikkim,4,0,4,9,4,13,7,4,11
Tamil Nadu,272,850,1122,3223,7691,10914,2404,4982,7386
Telangana,55,165,220,74,182,256,182,479,661
Tripura,0,1,1,47,32,79,36,11,47
Uttar Pradesh,352,395,747,10372,3718,14090,8262,2702,10964
Uttarakhand,4,24,28,538,374,912,400,365,765
West Bengal,2,14,16,19,38,57,51,102,153
