India/State /UT,Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,142819,87983,230802,15550,8158,23708,75600,56773,132373
Andaman and Nicobar Islands,3,2,5,3,0,3,5,16,21
Andhra Pradesh,251,360,611,0,0,0,304,243,547
Arunachal Pradesh,69,20,89,50,10,60,22,6,28
Assam,2880,1389,4269,33,22,55,642,446,1088
Bihar,735,314,1049,119,69,188,170,70,240
Chandigarh,2,15,17,8,32,40,15,67,82
Chhattisgarh,126,97,223,188,182,370,140,99,239
"Dadra and Nagar Haveli andDaman and Diu",20,25,45,1,0,1,31,31,62
Delhi,269,689,958,63,224,287,435,729,1164
Goa,367,1242,1609,0,0,0,545,1400,1945
Gujarat,15729,8281,24010,1838,977,2815,8857,6437,15294
Haryana,3,3,6,7,22,29,2,3,5
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,0,0,0,0,0,0,0,0,0
Jharkhand,269,303,572,30,15,45,101,56,157
Karnataka,14880,6558,21438,133,46,179,3526,2122,5648
Kerala,7991,21339,29330,91,157,248,5148,11400,16548
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,249,212,461,483,522,1005,231,275,506
Maharashtra,52047,22399,74446,1506,776,2282,28778,17348,46126
Manipur,103,94,197,6,1,7,49,40,89
Meghalaya,2241,2116,4357,96,145,241,374,607,981
Mizoram,654,340,994,0,0,0,202,166,368
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,13460,3025,16485,0,0,0,6043,3269,9312
Puducherry,12,67,79,16,23,39,22,70,92
Punjab,401,847,1248,108,295,403,334,706,1040
Rajasthan,0,0,0,0,0,0,0,0,0
Sikkim,18,20,38,3,6,9,15,8,23
Tamil Nadu,5498,10350,15848,867,1482,2349,3864,6543,10407
Telangana,119,367,486,0,0,0,83,139,222
Tripura,182,89,271,62,29,91,247,163,410
Uttar Pradesh,23417,6848,30265,9235,2559,11794,14684,3766,18450
Uttarakhand,753,488,1241,513,413,926,688,477,1165
West Bengal,71,84,155,91,151,242,43,71,114
