India/State /UT,Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,400761,356863,757624,71,6720,6791,538,1486,2024,43917,92195,136112
"Andaman and NicobarIslands",17,58,75,0,2,2,0,1,1,3,15,18
Andhra Pradesh,1822,1991,3813,0,1,1,2,4,6,588,613,1201
Arunachal Pradesh,562,482,1044,0,4,4,3,9,12,76,163,239
Assam,8166,3718,11884,0,4,4,1,2,3,8,42,50
Bihar,2274,1121,3395,0,0,0,0,1,1,154,143,297
Chandigarh,54,290,344,1,11,12,0,8,8,4,54,58
Chhattisgarh,1214,1287,2501,0,9,9,1,2,3,375,475,850
"Dadra and Nagar Haveli andDaman and Diu",82,145,227,0,6,6,0,2,2,2,29,31
Delhi,1213,3646,4859,0,16,16,0,0,0,84,812,896
Goa,1879,7581,9460,2,385,387,2,30,32,137,1614,1751
Gujarat,27736,17412,45148,1,8,9,4,14,18,324,644,968
Haryana,12,59,71,0,0,0,0,0,0,0,7,7
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,7,8,15,0,0,0,0,0,0,1,4,5
Jharkhand,2706,3523,6229,1,19,20,33,76,109,650,1257,1907
Karnataka,25109,13982,39091,0,11,11,3,3,6,748,975,1723
Kerala,28832,90632,119464,19,5783,5802,3,95,98,7691,28345,36036
Ladakh,69,21,90,0,0,0,3,5,8,51,11,62
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1757,2321,4078,1,16,17,1,18,19,333,551,884
Maharashtra,168702,102762,271464,16,92,108,123,169,292,23632,26063,49695
Manipur,1293,1170,2463,1,8,9,25,31,56,642,541,1183
Meghalaya,7883,10152,18035,27,216,243,277,804,1081,2017,3424,5441
Mizoram,1142,753,1895,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,24565,8196,32761,0,0,0,0,1,1,679,507,1186
Puducherry,120,746,866,0,37,37,1,7,8,12,219,231
Punjab,1111,3536,4647,1,17,18,0,27,27,95,854,949
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,72,53,125,0,1,1,1,0,1,15,10,25
Tamil Nadu,19555,53556,73111,0,26,26,1,2,3,3426,21630,25056
Telangana,734,2351,3085,0,25,25,6,73,79,215,921,1136
Tripura,673,388,1061,0,0,0,0,0,0,99,63,162
Uttar Pradesh,68148,21973,90121,0,1,1,3,10,13,1823,1974,3797
Uttarakhand,2911,2266,5177,0,0,0,0,1,1,15,124,139
West Bengal,341,684,1025,1,22,23,45,91,136,18,111,129
