India/State /UT,Number of teachers by Gender and Classes Taught – Private Unaided Recognized,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,217188,467251,684439,219200,357901,577101,132533,177772,310305
Andaman and Nicobar Islands,42,156,198,11,102,113,22,100,122
Andhra Pradesh,5017,12387,17404,3733,8186,11919,12662,12831,25493
Arunachal Pradesh,802,1119,1921,546,530,1076,180,179,359
Assam,9430,14189,23619,7741,8147,15888,5975,5490,11465
Bihar,20880,14553,35433,21432,14304,35736,4631,2157,6788
Chandigarh,79,501,580,26,404,430,74,537,611
Chhattisgarh,5812,14863,20675,3326,7699,11025,2341,3771,6112
"Dadra and Nagar Haveli andDaman and Diu",55,171,226,33,182,215,31,103,134
Delhi,443,2585,3028,1523,10540,12063,473,1959,2432
Goa,30,164,194,11,94,105,39,187,226
Gujarat,5694,17587,23281,7171,18513,25684,2038,3115,5153
Haryana,3800,16529,20329,4531,14987,19518,4398,11338,15736
Himachal Pradesh,1366,5869,7235,1236,3451,4687,1390,3748,5138
Jammu and Kashmir,3693,5877,9570,5794,8698,14492,1896,1463,3359
Jharkhand,2074,3705,5779,1955,2812,4767,2900,2451,5351
Karnataka,8221,32565,40786,5034,21420,26454,4253,11000,15253
Kerala,869,8674,9543,1087,11297,12384,1082,7146,8228
Ladakh,149,247,396,77,135,212,73,97,170
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,33651,60325,93976,17145,29668,46813,8772,12411,21183
Maharashtra,7248,24666,31914,5585,21322,26907,5544,13079,18623
Manipur,1921,2760,4681,1428,1376,2804,1441,1235,2676
Meghalaya,391,925,1316,391,829,1220,262,561,823
Mizoram,731,962,1693,655,776,1431,28,41,69
Nagaland,964,1958,2922,635,1057,1692,767,986,1753
Odisha,8093,15702,23795,4507,6168,10675,2500,2918,5418
Puducherry,178,1091,1269,104,589,693,211,637,848
Punjab,2115,16020,18135,2714,18854,21568,1879,8915,10794
Rajasthan,33897,41948,75845,26839,24468,51307,26515,16768,43283
Sikkim,111,365,476,198,349,547,73,84,157
Tamil Nadu,4264,33783,38047,1838,18268,20106,5029,14420,19449
Telangana,7930,31184,39114,4632,17350,21982,8739,13940,22679
Tripura,724,730,1454,438,358,796,456,299,755
Uttar Pradesh,40194,67411,107605,78891,74206,153097,21749,17324,39073
Uttarakhand,3074,9627,12701,3056,6953,10009,1466,2510,3976
West Bengal,3246,6053,9299,4877,3809,8686,2644,3972,6616
