India/State /UT,Number of teachers by Gender and Classes Taught – Private Unaided Recognized,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,1291084,2671030,3962114,3129,113007,116136,27223,129259,156482,244767,942640,1187407
"Andaman and NicobarIslands",195,1051,1246,4,93,97,11,104,115,35,303,338
Andhra Pradesh,49960,94273,144233,176,3130,3306,1972,10387,12359,4411,31592,36003
Arunachal Pradesh,2604,4765,7369,9,309,318,82,474,556,641,1895,2536
Assam,41886,59213,101099,116,1163,1279,771,2600,3371,6913,17110,24023
Bihar,74403,62193,136596,203,1719,1922,914,2689,3603,11697,21769,33466
Chandigarh,395,4034,4429,2,428,430,7,114,121,43,1070,1113
Chhattisgarh,24501,69147,93648,101,4343,4444,812,5795,6607,4368,23944,28312
"Dadra and Nagar Haveli andDaman and Diu",287,1558,1845,0,215,215,5,55,60,48,586,634
Delhi,8518,62486,71004,27,5290,5317,58,1037,1095,2148,27123,29271
Goa,188,2147,2335,2,323,325,9,87,96,25,992,1017
Gujarat,40587,111679,152266,68,5237,5305,385,3874,4259,6206,45504,51710
Haryana,34344,122913,157257,27,4041,4068,100,2119,2219,4660,43753,48413
Himachal Pradesh,7889,28237,36126,10,1508,1518,70,1458,1528,901,6713,7614
Jammu and Kashmir,24129,48002,72131,214,4127,4341,1331,4784,6115,5389,17183,22572
Jharkhand,16530,22890,39420,15,748,763,37,736,773,1348,6536,7884
Karnataka,49516,168329,217845,61,6770,6831,251,4343,4594,5930,56060,61990
Kerala,7323,75411,82734,29,7921,7950,20,1214,1234,840,19990,20830
Ladakh,477,1234,1711,1,136,137,24,143,167,72,386,458
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,102557,213978,316535,455,9583,10038,2604,13033,15637,16626,63711,80337
Maharashtra,50448,192832,243280,61,6043,6104,342,3382,3724,10398,81634,92032
Manipur,8336,12366,20702,14,485,499,107,877,984,799,3644,4443
Meghalaya,3863,9853,13716,20,296,316,305,1195,1500,961,3439,4400
Mizoram,3293,4910,8203,10,221,231,42,264,306,568,1727,2295
Nagaland,4580,10024,14604,14,613,627,126,732,858,750,2910,3660
Odisha,30685,54750,85435,54,1112,1166,173,1538,1711,5531,20619,26150
Puducherry,1412,6624,8036,1,568,569,10,230,240,78,2113,2191
Punjab,19325,126617,145942,50,7148,7198,194,5400,5594,1680,35042,36722
Rajasthan,165687,174106,339793,398,6536,6934,2602,8728,11330,19627,48534,68161
Sikkim,977,2943,3920,10,259,269,39,339,378,356,1343,1699
Tamil Nadu,36339,217093,253432,216,10326,10542,224,8237,8461,2539,77734,80273
Telangana,47064,152670,199734,98,6991,7089,974,10277,11251,3856,50528,54384
Tripura,3913,4282,8195,53,178,231,343,543,886,1169,1582,2751
Uttar Pradesh,380742,443206,823948,341,10666,11007,2629,11282,13911,116159,194626,310785
Uttarakhand,17411,50078,67489,26,2500,2526,236,2535,2771,3476,18972,22448
West Bengal,30720,55136,85856,243,1981,2224,9414,18654,28068,4519,11973,16492
