India/State /UT,Number of teachers by Gender and Classes Taught – Others,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,21967,19267,41234,33149,22057,55206,6014,2768,8782
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0
Andhra Pradesh,56,107,163,21,31,52,3,3,6
Arunachal Pradesh,21,17,38,20,15,35,0,0,0
Assam,88,50,138,714,335,1049,132,106,238
Bihar,7166,3439,10605,12870,6612,19482,184,75,259
Chandigarh,0,0,0,0,0,0,0,0,0
Chhattisgarh,7,4,11,47,123,170,0,0,0
"Dadra and Nagar Haveli andDaman and Diu",10,0,10,1,0,1,1,0,1
Delhi,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0
Gujarat,6,10,16,2,4,6,1,0,1
Haryana,146,453,599,318,777,1095,15,31,46
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,35,37,72,37,32,69,6,7,13
Jharkhand,5762,5417,11179,6880,4823,11703,588,361,949
Karnataka,0,1,1,0,0,0,0,0,0
Kerala,88,947,1035,96,1206,1302,27,208,235
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,471,877,1348,214,388,602,0,2,2
Maharashtra,42,170,212,46,153,199,11,16,27
Manipur,106,93,199,65,52,117,0,0,0
Meghalaya,38,152,190,49,153,202,37,117,154
Mizoram,39,62,101,28,30,58,0,2,2
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,418,1202,1620,275,454,729,69,120,189
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,0,3,3,9,2,11,0,0,0
Rajasthan,609,347,956,371,262,633,69,41,110
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,12,135,147,11,112,123,5,11,16
Telangana,16,37,53,1,6,7,3,1,4
Tripura,37,11,48,33,2,35,12,0,12
Uttar Pradesh,5496,4689,10185,7634,4642,12276,1437,838,2275
Uttarakhand,89,102,191,211,238,449,7,6,13
West Bengal,1209,905,2114,3196,1605,4801,3407,823,4230
