India/State /UT,Number of teachers by Gender and Classes Taught – Others,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,5719,2975,8694,2385,709,3094,1404,867,2271
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0
Andhra Pradesh,0,1,1,0,0,0,0,0,0
Arunachal Pradesh,0,0,0,0,0,0,0,0,0
Assam,1659,811,2470,7,14,21,284,257,541
Bihar,436,69,505,87,8,95,199,38,237
Chandigarh,0,0,0,0,0,0,0,0,0
Chhattisgarh,0,0,0,0,0,0,0,0,0
"Dadra and Nagar Haveli andDaman and Diu",3,0,3,1,0,1,6,0,6
Delhi,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0
Gujarat,3,1,4,1,4,5,2,1,3
Haryana,21,24,45,11,31,42,17,8,25
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,20,8,28,0,2,2,0,5,5
Jharkhand,395,266,661,22,14,36,29,41,70
Karnataka,1,1,2,0,0,0,0,0,0
Kerala,24,125,149,3,23,26,6,16,22
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1,0,1,1,4,5,1,0,1
Maharashtra,8,9,17,0,0,0,0,0,0
Manipur,0,0,0,0,0,0,0,0,0
Meghalaya,138,364,502,3,10,13,48,143,191
Mizoram,56,55,111,0,0,0,18,13,31
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,224,158,382,29,8,37,73,63,136
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,0,0,0,0,0,0,0,0,0
Rajasthan,38,8,46,35,12,47,10,2,12
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,7,18,25,0,4,4,0,6,6
Telangana,2,2,4,0,0,0,0,0,0
Tripura,10,1,11,7,0,7,6,0,6
Uttar Pradesh,1540,751,2291,489,154,643,306,119,425
Uttarakhand,32,21,53,5,1,6,11,7,18
West Bengal,1101,282,1383,1684,420,2104,388,148,536
