India/State /UT,Number of teachers by Gender and Classes Taught – Others,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,127438,125473,252911,349,3348,3697,8250,15490,23740,48201,57992,106193
"Andaman and NicobarIslands",0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,131,247,378,0,1,1,1,14,15,50,90,140
Arunachal Pradesh,86,160,246,2,19,21,4,20,24,39,89,128
Assam,5880,3245,9125,5,8,13,79,59,138,2912,1605,4517
Bihar,27201,18124,45325,78,404,482,313,758,1071,5868,6721,12589
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,187,334,521,0,0,0,1,0,1,132,207,339
"Dadra and Nagar Haveli andDaman and Diu",22,0,22,0,0,0,0,0,0,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,38,34,72,4,3,7,5,2,7,14,9,23
Haryana,963,3981,4944,1,157,158,11,143,154,423,2357,2780
Himachal Pradesh,3,2,5,0,0,0,0,0,0,3,2,5
Jammu and Kashmir,177,192,369,2,17,19,6,15,21,71,69,140
Jharkhand,21137,25378,46515,104,911,1015,619,1907,2526,6738,11638,18376
Karnataka,3,7,10,0,0,0,0,0,0,2,5,7
Kerala,358,6768,7126,4,710,714,8,304,312,102,3229,3331
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1261,2409,3670,0,2,2,11,27,38,562,1109,1671
Maharashtra,221,1289,1510,0,57,57,6,55,61,108,829,937
Manipur,319,535,854,0,45,45,12,87,99,136,258,394
Meghalaya,477,1947,2424,4,68,72,46,290,336,114,650,764
Mizoram,161,304,465,1,26,27,3,17,20,16,99,115
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2012,5746,7758,8,125,133,67,412,479,849,3204,4053
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,46,32,78,0,1,1,7,9,16,30,17,47
Rajasthan,4591,2808,7399,8,25,33,39,70,109,3412,2041,5453
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,82,1281,1363,2,175,177,4,92,96,41,728,769
Telangana,53,83,136,0,1,1,3,6,9,28,30,58
Tripura,686,190,876,4,4,8,37,28,65,540,144,684
Uttar Pradesh,39998,29174,69172,15,44,59,74,136,210,23007,17801,40808
Uttarakhand,1100,1163,2263,3,9,12,6,19,25,736,760,1496
West Bengal,20245,20040,40285,104,536,640,6888,11020,17908,2268,4301,6569
