India/State/ UT,Percentage of Trained Teachers – All Types of Management,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,59.7,50.3,53.3,92.9,90.3,91.4,92.0,91.3,91.7
Andaman and Nicobar Islands,43.6,48.6,47.8,97.2,96.4,96.6,94.3,94.7,94.5
Andhra Pradesh,17.8,29.8,28.1,96.8,96.8,96.8,92.6,94.6,93.6
Arunachal Pradesh,38.2,41.5,41.0,91.2,86.4,88.6,91.6,91.4,91.5
Assam,41.4,38.3,39.6,89.7,84.1,87.0,81.6,80.7,81.2
Bihar,41.6,42.3,42.1,90.5,89.3,89.9,88.1,87.5,87.8
Chandigarh,61.9,44.5,45.0,94.9,94.2,94.4,90.3,88.0,88.5
Chhattisgarh,43.1,40.8,41.0,95.3,87.1,90.7,96.1,89.8,92.9
"Dadra and Nagar Haveli and Damanand Diu",37.5,60.3,59.4,96.2,92.0,93.2,94.3,95.5,95.1
Delhi,48.2,60.3,60.0,97.4,96.0,96.3,96.2,96.6,96.5
Goa,81.3,68.7,68.9,98.2,98.2,98.2,95.9,98.2,97.7
Gujarat,60.5,56.8,57.1,97.6,94.8,95.8,95.1,94.3,94.7
Haryana,46.9,41.9,42.1,96.0,89.9,91.6,92.5,91.3,91.8
Himachal Pradesh,49.6,49.4,49.5,97.7,95.8,96.5,94.4,94.9,94.7
Jammu and Kashmir,16.3,27.8,24.2,84.6,72.0,77.8,83.4,73.2,78.7
Jharkhand,54.6,42.6,45.0,91.1,88.2,89.9,91.5,90.4,91.1
Karnataka,44.8,70.0,69.3,98.0,96.3,96.8,96.7,96.7,96.7
Kerala,70.0,87.5,87.4,98.6,98.4,98.4,96.5,97.2,97.1
Ladakh,25.6,37.9,33.8,88.9,84.8,86.6,89.2,84.8,87.1
Lakshadweep,25.0,97.6,91.3,96.1,95.6,95.8,92.0,93.7,92.9
Madhya Pradesh,28.5,32.7,32.2,93.7,88.4,90.9,92.9,89.6,91.2
Maharashtra,46.2,61.5,60.7,97.3,95.7,96.3,95.6,94.6,95.1
Manipur,45.4,53.9,52.4,86.3,84.0,84.9,82.2,85.0,83.7
Meghalaya,32.9,30.0,30.7,74.8,70.4,72.0,80.8,80.2,80.5
Mizoram,33.3,39.5,38.2,85.5,83.3,84.2,89.8,86.1,88.0
Nagaland,42.1,55.1,52.3,75.6,76.0,75.9,75.2,77.6,76.5
Odisha,38.9,40.5,40.4,97.1,94.8,95.9,96.5,95.7,96.1
Puducherry,39.1,56.1,55.8,96.3,95.9,95.9,89.1,94.8,93.4
Punjab,26.6,36.3,34.7,94.5,91.6,92.1,92.3,90.9,91.2
Rajasthan,32.9,36.6,35.9,95.3,89.9,92.7,95.8,92.9,94.6
Sikkim,39.1,44.2,43.7,86.3,83.4,84.4,87.1,88.4,87.8
Tamil Nadu,20.6,37.4,37.0,97.5,96.9,97.0,92.2,94.5,93.9
Telangana,29.2,44.1,42.9,95.5,90.5,91.8,91.9,91.8,91.8
Tripura,30.9,31.2,31.1,75.4,78.4,76.5,92.2,92.4,92.3
Uttar Pradesh,33.3,41.8,40.8,89.4,86.1,87.6,89.0,86.8,88.0
Uttarakhand,33.9,42.1,41.7,94.2,89.4,90.9,94.4,92.0,93.0
West Bengal,67.0,60.6,64.1,92.2,84.6,88.6,95.2,94.6,95.0
