India/State/ UT,Percentage of Professionally Qualified Teachers– All Types of Management,,,,,
"",Secondary (9-10),Higher Secondary (11-12),,,,
"",Male,Female,Total,Male,Female,Total
(1),(11),(12),(13),(14),(15),(16)
India,89.4,91.5,90.4,88.5,90.4,89.4
Andaman and Nicobar Islands,95.1,93.5,94.1,94.2,95.0,94.6
Andhra Pradesh,92.2,91.7,92.0,72.4,73.0,72.6
Arunachal Pradesh,85.0,89.3,87.1,91.0,93.3,92.0
Assam,45.4,60.1,51.7,52.3,57.9,54.9
Bihar,92.9,94.3,93.3,90.1,93.3,91.2
Chandigarh,98.1,98.7,98.6,97.7,98.5,98.3
Chhattisgarh,82.0,84.5,83.2,83.6,87.4,85.4
Dadra and Nagar Haveli and Daman and Diu,92.1,94.8,93.7,93.2,93.8,93.5
Delhi,98.9,98.7,98.7,99.5,99.4,99.4
Goa,96.4,97.5,97.2,93.0,96.3,95.4
Gujarat,96.4,95.9,96.2,96.5,96.4,96.5
Haryana,92.8,93.9,93.4,93.7,95.0,94.4
Himachal Pradesh,94.0,95.4,94.7,94.2,96.3,95.1
Jammu and Kashmir,87.1,88.0,87.5,87.1,88.6,87.6
Jharkhand,92.9,94.5,93.5,91.0,93.7,92.0
Karnataka,88.1,90.1,89.1,83.9,80.7,82.4
Kerala,96.8,97.3,97.2,96.3,97.5,97.2
Ladakh,87.4,88.1,87.7,87.4,91.3,88.9
Lakshadweep,90.2,94.1,91.8,97.6,95.5,96.7
Madhya Pradesh,75.1,79.1,76.9,85.0,87.0,85.8
Maharashtra,96.9,95.6,96.3,97.0,94.5,95.9
Manipur,66.3,76.9,71.3,74.2,79.0,76.5
Meghalaya,57.0,61.7,59.6,56.2,57.3,56.9
Mizoram,80.4,81.5,80.8,81.9,84.8,83.3
Nagaland,62.0,67.3,64.8,74.6,77.0,76.1
Odisha,94.7,95.3,95.0,72.8,73.4,73.0
Puducherry,96.7,96.8,96.7,96.8,97.1,97.0
Punjab,95.4,94.8,95.0,95.4,94.2,94.6
Rajasthan,94.4,94.9,94.6,95.7,96.6,96.0
Sikkim,79.3,85.2,82.5,85.2,90.8,88.4
Tamil Nadu,98.3,97.9,98.0,98.1,98.1,98.1
Telangana,96.9,95.1,96.0,60.7,73.4,66.6
Tripura,78.9,85.7,81.5,89.0,89.9,89.4
Uttar Pradesh,84.9,84.6,84.8,84.1,84.0,84.1
Uttarakhand,95.8,95.0,95.4,95.8,96.1,95.9
West Bengal,96.2,95.9,96.1,97.0,96.5,96.8
