India/State/ UT,Percentage of Professionally Qualified Teachers – All Types of Management,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,57.4,43.8,48.2,90.1,85.9,87.7,89.1,87.9,88.5
Andaman and Nicobar Islands,37.3,41.3,40.6,96.7,95.6,95.9,92.6,92.5,92.6
Andhra Pradesh,16.6,25.8,24.4,96.4,94.9,95.5,92.0,93.3,92.7
Arunachal Pradesh,31.9,28.1,28.7,85.6,79.1,82.1,86.0,86.9,86.4
Assam,37.0,30.3,33.2,84.7,77.2,81.1,71.0,71.3,71.1
Bihar,30.6,28.1,28.6,87.4,85.4,86.4,84.2,83.6,84.0
Chandigarh,57.1,44.3,44.6,94.6,93.8,93.9,90.2,87.7,88.2
Chhattisgarh,32.3,25.4,26.1,91.4,78.6,84.2,93.5,83.5,88.5
"Dadra and Nagar Haveli and Damanand Diu",29.2,54.6,53.6,95.2,87.8,90.0,89.7,92.0,91.3
Delhi,48.2,60.2,60.0,97.3,95.9,96.2,96.0,96.5,96.3
Goa,81.3,60.5,60.8,97.6,97.1,97.2,94.9,97.5,96.9
Gujarat,58.5,49.7,50.4,96.5,92.3,93.8,94.4,92.8,93.5
Haryana,44.2,36.2,36.5,94.7,86.6,88.8,90.4,89.0,89.5
Himachal Pradesh,49.3,46.0,46.8,97.1,94.2,95.2,93.2,93.8,93.5
Jammu and Kashmir,9.3,14.6,13.0,77.6,62.0,69.1,77.9,66.5,72.6
Jharkhand,45.6,31.7,34.6,87.3,81.7,84.9,87.2,85.2,86.4
Karnataka,39.2,64.4,63.7,96.7,93.9,94.8,95.4,94.8,95.0
Kerala,69.0,85.0,84.9,97.7,97.4,97.5,95.3,96.3,96.1
Ladakh,16.9,24.7,22.1,80.4,75.0,77.3,82.2,78.1,80.2
Lakshadweep,25.0,97.6,91.3,95.3,95.6,95.5,90.9,93.7,92.3
Madhya Pradesh,22.9,21.7,21.9,91.1,82.2,86.4,89.8,84.3,87.0
Maharashtra,42.9,54.3,53.7,96.7,93.3,94.7,94.6,92.6,93.6
Manipur,39.6,44.1,43.3,80.4,77.8,78.8,74.0,78.6,76.5
Meghalaya,25.8,23.1,23.8,67.3,63.1,64.6,74.9,74.6,74.7
Mizoram,30.3,31.1,30.9,82.4,77.8,79.7,86.5,82.7,84.6
Nagaland,38.3,50.2,47.7,67.4,68.8,68.2,67.1,70.4,68.9
Odisha,29.4,28.4,28.5,95.4,91.8,93.4,95.1,93.8,94.5
Puducherry,39.1,52.6,52.4,95.3,94.0,94.2,87.8,93.2,91.9
Punjab,25.7,32.2,31.1,92.8,87.3,88.4,90.0,87.6,88.1
Rajasthan,28.0,26.6,26.9,92.8,84.5,88.8,93.8,89.6,92.1
Sikkim,29.6,32.4,32.1,77.0,76.0,76.3,79.2,81.9,80.9
Tamil Nadu,16.8,30.4,30.1,96.6,94.6,94.8,91.0,92.8,92.3
Telangana,26.6,35.3,34.6,94.3,85.3,87.6,90.6,88.3,89.2
Tripura,23.9,24.0,24.0,66.5,70.2,67.9,88.3,89.2,88.6
Uttar Pradesh,25.7,30.4,29.9,85.4,80.0,82.4,84.9,81.4,83.2
Uttarakhand,29.2,30.4,30.3,91.4,83.3,85.8,92.4,87.8,89.6
West Bengal,65.5,57.2,61.7,90.3,80.9,85.8,93.5,92.9,93.2
