India/State /UT,Number of Teachers – all types of management,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,10122420,2368195,2561056,331626,1072757,379618,151983,1976452,803644,311109,165980
Andaman and Nicobar Islands,6132,1041,1123,0,1006,50,0,2242,455,215,0
Andhra Pradesh,342721,97303,45525,47,80474,62974,0,14629,13932,0,27837
Arunachal Pradesh,25117,4616,10578,166,4343,857,0,2192,1393,972,0
Assam,340471,105302,44535,22784,62411,23624,9793,37879,19400,2313,12430
Bihar,707516,151976,385810,1879,10974,719,2857,37117,16699,94353,5132
Chandigarh,9968,194,511,0,2521,0,0,6558,160,24,0
Chhattisgarh,285248,85129,31907,56104,11723,341,8606,58078,3817,29453,90
"Dadra and Nagar Haveli andDaman and Diu",5288,760,1758,41,530,34,124,1141,214,683,3
Delhi,161958,26560,11248,316,6199,2206,0,86955,27529,945,0
Goa,15196,3307,627,11,4737,3280,4,945,52,0,2233
Gujarat,389063,32890,210787,3485,11715,393,10827,60530,4685,50540,3211
Haryana,263942,39580,25023,10707,21778,7276,0,110557,48958,40,23
Himachal Pradesh,102825,21718,5514,5442,10316,7138,0,18849,33663,120,65
Jammu and Kashmir,166717,29133,59518,579,40433,3056,224,21347,2749,9607,71
Jharkhand,209203,45241,83620,228,28669,4718,2225,29758,5249,5572,3923
Karnataka,452602,46096,150012,553,114098,9265,53418,28563,2542,13171,34884
Kerala,292072,46175,53698,6424,33250,7290,1909,72418,50275,20054,579
Ladakh,6908,1025,2920,62,1440,293,14,429,191,517,17
Lakshadweep,751,174,213,0,0,0,0,118,88,158,0
Madhya Pradesh,717493,137087,242461,23542,63597,7538,13318,167842,29727,32347,34
Maharashtra,747501,138219,199855,289,152992,30050,4213,179140,14615,1546,26582
Manipur,41490,8709,7678,183,14717,742,101,6469,1355,302,1234
Meghalaya,57002,23873,2466,12677,3249,2909,5281,2034,1485,1110,1918
Mizoram,24952,6351,4655,6569,387,59,4450,137,224,51,2069
Nagaland,33131,6942,8324,106,8535,1447,26,6120,1600,31,0
Odisha,344116,72054,123548,5974,56339,26350,15708,17161,6861,695,19426
Puducherry,13639,2032,803,14,2661,381,0,6227,1233,190,98
Punjab,273130,53373,17839,8764,32249,17590,10,98257,42759,573,1716
Rajasthan,792265,83352,227012,966,69896,342,37,401480,7616,1549,15
Sikkim,14994,3438,3745,0,2857,30,0,4686,238,0,0
Tamil Nadu,549850,117222,67758,413,32204,35178,25,177791,118829,325,105
Telangana,357911,50587,57808,39,129012,59341,0,30446,8834,0,21844
Tripura,37733,7492,7616,24,7692,58,0,13672,1179,0,0
Uttar Pradesh,1615427,581174,422268,132556,35879,29329,17622,210193,144095,42216,95
Uttarakhand,134263,30873,25395,8939,4853,5278,1191,30672,25530,1430,102
West Bengal,583825,307197,16898,21743,9021,29482,0,33820,165413,7,244
