India/ State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"OtherCentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,719247,273121,3975,7292,1171,260683,116149,321020,8957
Andaman and Nicobar Islands,954,667,7,28,0,632,17,270,0
Andhra Pradesh,15637,8284,91,149,11,8033,467,6871,15
Arunachal Pradesh,2713,1309,21,171,19,1098,280,1091,33
Assam,23690,13980,123,376,17,13464,1399,7671,640
Bihar,12462,4873,186,496,0,4191,155,6677,757
Chandigarh,3483,2094,22,15,37,2020,140,1249,0
Chhattisgarh,21917,13986,92,276,96,13522,283,7639,9
"Dadra and Nagar Haveli andDaman and Diu",3075,2457,3,33,0,2421,73,542,3
Delhi,27321,13276,240,31,0,13005,1212,12833,0
Goa,3968,510,16,26,0,468,2962,496,0
Gujarat,14082,1537,115,324,42,1056,5604,6936,5
Haryana,33459,13726,109,208,32,13377,6,19448,279
Himachal Pradesh,22958,18048,95,151,56,17746,0,4910,0
Jammu and Kashmir,19317,10774,130,183,0,10461,0,8514,29
Jharkhand,14639,5232,125,315,25,4767,513,6970,1924
Karnataka,24929,7017,131,367,129,6390,3255,14657,0
Kerala,29518,8686,122,151,11,8402,7836,12151,845
Ladakh,1677,1193,3,24,5,1161,19,465,0
Lakshadweep,145,145,1,13,0,131,0,0,0
Madhya Pradesh,25367,9518,342,592,33,8551,286,15504,59
Maharashtra,98863,5048,200,413,45,4390,62902,30733,180
Manipur,2154,726,21,138,21,546,106,1298,24
Meghalaya,6523,3817,20,128,0,3669,1865,784,57
Mizoram,1232,720,4,55,10,651,212,275,25
Nagaland,2898,1272,5,112,5,1150,0,1626,0
Odisha,26741,9983,148,332,37,9466,7953,8240,565
Puducherry,2274,666,9,40,0,617,170,1438,0
Punjab,30036,12063,167,254,53,11589,542,17428,3
Rajasthan,44642,26434,255,384,38,25757,0,18124,84
Sikkim,8612,7832,5,50,3,7774,78,702,0
Tamil Nadu,51408,12578,89,0,120,12369,4107,34540,183
Telangana,31533,13140,97,94,5,12944,218,18171,4
Tripura,2915,1737,23,77,0,1637,155,995,28
Uttar Pradesh,62252,11833,528,937,184,10184,12199,37328,892
Uttarakhand,12228,4150,172,133,2,3843,1036,7033,9
West Bengal,33625,23810,258,216,135,23201,99,7411,2305
