India/State /UT,Number of Teachers in Government Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,5149771,1763157,1349927,235182,215810,243446,71873,487503,557321,193699,31853
Andaman and Nicobar Islands,4811,892,790,0,842,50,0,1567,455,215,0
Andhra Pradesh,194297,68897,17793,0,46254,29562,0,10311,13735,0,7745
Arunachal Pradesh,16458,3310,6377,166,2349,857,0,1042,1393,964,0
Assam,218363,97427,26935,15575,17025,22030,2838,9986,18370,496,7681
Bihar,522200,144752,261481,1784,492,63,181,4443,16157,92426,421
Chandigarh,5195,32,269,0,2084,0,0,2751,35,24,0
Chhattisgarh,188578,76638,700,55390,792,265,8524,15309,2872,28007,81
"Dadra and Nagar Haveli andDaman and Diu",3194,538,1508,41,112,34,124,60,91,683,3
Delhi,86095,18798,113,229,631,1946,0,37770,25759,849,0
Goa,3401,1639,304,0,0,981,0,186,52,0,239
Gujarat,191577,26945,151497,788,768,219,2580,1920,2828,3585,447
Haryana,101670,33401,36,10683,162,7139,0,2253,47989,7,0
Himachal Pradesh,66694,19620,59,5442,56,7138,0,867,33512,0,0
Jammu and Kashmir,94202,19198,39671,579,14772,3047,216,4535,2657,9482,45
Jharkhand,117039,36547,45209,64,14492,504,1427,7512,4946,5539,799
Karnataka,195656,36209,98157,257,8463,8179,25420,1948,2272,10204,4547
Kerala,82748,16386,15124,643,5279,704,390,18271,19157,6685,109
Ladakh,5107,797,2274,62,788,276,14,171,191,517,17
Lakshadweep,751,174,213,0,0,0,0,118,88,158,0
Madhya Pradesh,393210,126561,100007,23355,22908,7370,12889,42721,27701,29698,0
Maharashtra,231247,93104,114103,26,11737,1911,1149,7742,1395,9,71
Manipur,17471,7000,2995,24,3577,363,0,1896,1270,227,119
Meghalaya,22827,12400,60,7899,197,854,0,458,805,44,110
Mizoram,14389,5365,73,5639,26,34,2125,93,224,0,810
Nagaland,18527,5671,6342,106,2767,1447,26,537,1600,31,0
Odisha,218162,63005,78366,3373,40798,13212,6809,3720,6800,695,1384
Puducherry,4737,1587,491,14,575,381,0,196,1233,190,70
Punjab,122463,49164,64,8737,562,17443,0,4616,41527,41,309
Rajasthan,445073,65911,120315,941,2541,110,0,249657,4727,871,0
Sikkim,10949,2137,2296,0,2465,16,0,3857,178,0,0
Tamil Nadu,221944,57918,47349,297,340,29587,12,6910,79336,186,9
Telangana,154956,44989,15258,39,4695,56008,0,18459,8829,0,6679
Tripura,27601,5189,5716,24,6136,48,0,9522,966,0,0
Uttar Pradesh,632186,349186,187392,68220,526,388,6158,8564,10746,1006,0
Uttarakhand,59334,22766,75,7403,109,4706,991,1825,20556,860,43
West Bengal,456659,249004,515,17382,490,26574,0,5710,156869,0,115
