India/State /UT,Number of teachers in Others Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,252911,82835,113049,4064,25502,3064,3077,13364,6745,250,961
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,378,57,292,0,26,3,0,0,0,0,0
Arunachal Pradesh,246,103,127,0,16,0,0,0,0,0,0
Assam,9125,4438,268,777,380,396,2226,94,26,67,453
Bihar,45325,4216,37470,6,1402,20,68,1950,13,79,101
Chandigarh,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,521,299,63,156,0,0,0,3,0,0,0
"Dadra and Nagar Haveli andDaman and Diu",22,0,0,0,0,0,0,22,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0
Gujarat,72,16,18,0,9,0,0,29,0,0,0
Haryana,4944,1389,3157,5,156,0,0,199,28,0,10
Himachal Pradesh,5,5,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,369,82,175,0,97,0,0,5,0,10,0
Jharkhand,46515,7470,32893,114,5141,340,48,460,0,1,48
Karnataka,10,7,0,0,3,0,0,0,0,0,0
Kerala,7126,1753,3728,24,1317,5,0,266,16,11,6
Ladakh,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,3670,911,2723,11,10,0,0,15,0,0,0
Maharashtra,1510,543,735,0,201,3,0,28,0,0,0
Manipur,854,303,549,2,0,0,0,0,0,0,0
Meghalaya,2424,854,394,96,310,74,443,57,15,0,181
Mizoram,465,26,286,3,10,0,109,0,0,0,31
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,7758,2761,3595,80,642,173,107,283,0,0,117
Puducherry,0,0,0,0,0,0,0,0,0,0,0
Punjab,78,31,44,0,3,0,0,0,0,0,0
Rajasthan,7399,4810,2171,0,200,6,0,189,0,23,0
Sikkim,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,1363,850,316,2,141,0,0,54,0,0,0
Telangana,136,35,83,0,18,0,0,0,0,0,0
Tripura,876,703,108,0,18,0,0,47,0,0,0
Uttar Pradesh,69172,27255,18287,886,14333,162,34,8025,153,37,0
Uttarakhand,2263,1187,603,341,43,14,42,0,4,15,14
West Bengal,40285,22731,4964,1561,1026,1868,0,1638,6490,7,0
