India/State /UT,Number of teachers by Classes Taught – All types of Management,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,10122420,142713,445823,3571539,1173627,1665795,816968,1087282,534544,684129
Andaman and Nicobar Islands,6132,432,221,1926,357,680,1072,436,362,646
Andhra Pradesh,342721,3338,12844,114206,29788,19549,96177,31679,4838,30302
Arunachal Pradesh,25117,377,775,9100,4959,4074,1642,2286,932,972
Assam,340471,1437,11717,128974,32463,58485,40867,36691,10539,19298
Bihar,707516,2413,4680,266611,117784,174777,8046,58736,38255,36214
Chandigarh,9968,666,170,2531,817,923,2418,690,763,990
Chhattisgarh,285248,4542,6919,108599,22003,69462,7814,18461,34182,13266
"Dadra and Nagar Haveli andDaman and Diu",5288,546,62,1816,284,966,180,740,248,446
Delhi,161958,7150,1347,53890,3295,26878,12327,26885,3420,26766
Goa,15196,813,139,4493,410,1201,3588,2093,130,2329
Gujarat,389063,5461,5285,156781,26861,99884,6114,45436,12777,30464
Haryana,263942,4247,2621,84966,21035,43864,25684,17169,50290,14066
Himachal Pradesh,102825,1563,3726,25264,7303,13372,20933,8664,8012,13988
Jammu and Kashmir,166717,4503,11471,54201,18859,39050,5639,21652,1457,9885
Jharkhand,209203,1822,3945,86260,37022,33374,10482,20037,6633,9628
Karnataka,452602,6874,4619,116493,119645,46419,21850,91567,2883,42252
Kerala,292072,18798,1740,86214,12405,57642,10028,60404,5562,39279
Ladakh,6908,161,640,1422,2012,813,792,462,196,410
Lakshadweep,751,40,6,244,58,87,38,127,68,83
Madhya Pradesh,717493,10124,15899,261980,122978,123585,38459,52472,56995,35001
Maharashtra,747501,6490,4210,310442,72105,105466,50810,121892,9457,66629
Manipur,41490,589,1896,15264,6465,4391,4522,3634,1401,3328
Meghalaya,57002,878,5062,20750,1687,14725,2031,8311,672,2886
Mizoram,24952,347,574,7490,1809,7719,168,4611,68,2166
Nagaland,33131,808,1892,11842,4589,5567,2766,3308,1002,1357
Odisha,344116,1317,2201,117204,81990,39726,23856,52670,3296,21856
Puducherry,13639,926,296,4154,1458,1151,2078,1186,883,1507
Punjab,273130,10802,17447,72888,18573,36149,33786,39151,16174,28160
Rajasthan,792265,8386,11761,232520,139608,126355,97445,50035,86522,39633
Sikkim,14994,742,584,5909,905,2228,1187,1449,682,1308
Tamil Nadu,549850,12111,8684,184254,40791,72712,58780,87898,22633,61987
Telangana,357911,7143,12350,107611,48475,31161,76994,40991,6019,27167
Tripura,37733,244,970,14247,2058,7132,2463,5009,1739,3871
Uttar Pradesh,1615427,11132,14207,805860,147765,309075,54936,127172,76026,69254
Uttarakhand,134263,2549,2800,47368,13035,19654,10830,15386,9678,12963
West Bengal,583825,2942,272063,47765,11976,67499,80166,27892,59750,13772
