India/State /UT,Number of teachers by Classes Taught – Government,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,5149771,16089,263577,2141827,402724,915097,435688,433389,271531,269849
Andaman and Nicobar Islands,4811,333,105,1570,158,561,932,338,267,547
Andhra Pradesh,194297,30,464,76862,11994,7294,69742,13301,4563,10047
Arunachal Pradesh,16458,34,183,6197,2677,2863,1094,1909,668,833
Assam,218363,141,8205,100384,8650,35496,28857,19726,6292,10612
Bihar,522200,9,5,220259,71414,118505,765,48769,33377,29097
Chandigarh,5195,224,41,1360,209,480,1721,317,231,612
Chhattisgarh,188578,89,308,79098,1175,57726,1578,13665,26193,8746
"Dadra and Nagar Haveli andDaman and Diu",3194,325,0,1151,38,700,25,558,115,282
Delhi,86095,1817,252,23723,201,13824,9414,18267,1492,17105
Goa,3401,101,11,1725,21,373,544,312,52,262
Gujarat,191577,140,1001,104080,3396,72328,960,5976,851,2845
Haryana,101670,21,248,33766,101,23249,9886,3073,27942,3384
Himachal Pradesh,66694,45,2198,17645,68,8685,15795,5752,4495,12011
Jammu and Kashmir,94202,143,5335,31484,9213,24486,2264,13278,718,7281
Jharkhand,117039,24,537,58093,18454,15907,3370,12705,3363,4586
Karnataka,195656,32,19,52773,69817,19048,6469,37630,948,8920
Kerala,82748,4332,96,26017,791,14417,738,19132,607,16618
Ladakh,5107,24,465,902,1608,590,621,345,174,378
Lakshadweep,751,40,6,244,58,87,38,127,68,83
Madhya Pradesh,393210,67,205,179088,27217,75665,17030,37852,32775,23311
Maharashtra,231247,221,133,167778,11477,38609,1898,8283,921,1927
Manipur,17471,36,757,9244,1363,1113,1503,1296,583,1576
Meghalaya,22827,247,2145,10145,97,8503,247,888,117,438
Mizoram,14389,89,248,5080,15,5697,97,2225,40,898
Nagaland,18527,181,1034,8182,1667,3875,1013,1712,177,686
Odisha,218162,18,10,85815,56298,25863,15208,30415,1877,2658
Puducherry,4737,320,48,1732,49,406,1042,330,168,642
Punjab,122463,3585,11810,35170,258,14106,22671,16317,5937,12609
Rajasthan,445073,1419,322,158906,62807,74415,54052,22571,49189,21392
Sikkim,10949,472,205,4185,425,1668,1019,1248,512,1215
Tamil Nadu,221944,1366,124,78156,1475,41569,31929,33781,3073,30471
Telangana,154956,28,1011,52033,9088,8916,53650,13343,5335,11552
Tripura,27601,5,19,10650,555,6222,1649,4252,1028,3221
Uttar Pradesh,632186,65,73,450470,29228,129612,2624,11542,4422,4150
Uttarakhand,59334,11,3,23285,115,8284,6076,10041,3262,8257
West Bengal,456659,55,225951,24575,547,53955,69167,22113,49699,10597
