"","Table 5.1: Enrolment of students by school management and level of school education, 2024-25: All Management",,,,,,,,,,,,,,,,,,,,,,
"",,Enrolment – all types of management,,,,,,,,,,,,,,,,,,,,,
India/ State /UT,,Total,,"Pre-Primary","Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,,
"",,,,,,Pre-,Primary,Elementary,Secondary,,,,,,,,,,,,,,
"",India/ State /UT,(Pre-primary,Primary,Secondary,,,,,,,,,,,,,,,,,,,
"",,,,,,Primary,(1 to 5),(1-8),(9-10),,,,,,,,,,,,,,
"",,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
India,246932680,14047080,104381347,63695100,168076447,37165436,27643717,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,71343,9798,23238,16679,39917,11391,10237,,,,,,,,,,,,,,,,
Andhra Pradesh,8454817,549550,3269900,2238376,5508276,1353841,1043150,,,,,,,,,,,,,,,,
Arunachal Pradesh,319826,33387,140182,75765,215947,43830,26662,,,,,,,,,,,,,,,,
Assam,7041824,495858,3212231,1737463,4949694,1026917,569355,,,,,,,,,,,,,,,,
Bihar,21133228,355270,10272922,5693809,15966731,2769948,2041279,,,,,,,,,,,,,,,,
Chandigarh,253012,30677,78665,63082,141747,40229,40359,,,,,,,,,,,,,,,,
Chhattisgarh,5806871,486938,2446424,1482442,3928866,827813,563254,,,,,,,,,,,,,,,,
"Dadra and Nagar Haveli andDaman and Diu",146825,13707,59999,36914,96913,21681,14524,,,,,,,,,,,,,,,,
Delhi,4491032,312806,1671421,1190315,2861736,713053,603437,,,,,,,,,,,,,,,,
Goa,300546,29226,114846,72695,187541,45595,38184,,,,,,,,,,,,,,,,
Gujarat,11501328,940529,4567084,3193156,7760240,1717720,1082839,,,,,,,,,,,,,,,,
Haryana,5769330,401229,2243619,1515248,3758867,896516,712718,,,,,,,,,,,,,,,,
Himachal Pradesh,1425266,193684,484502,331727,816229,225529,189824,,,,,,,,,,,,,,,,
Jammu and Kashmir,2654012,453465,1040657,569199,1609856,344317,246374,,,,,,,,,,,,,,,,
Jharkhand,7436931,314877,3336227,1906044,5242271,1121595,758188,,,,,,,,,,,,,,,,
Karnataka,11780251,266245,5082782,3119077,8201859,2061809,1250338,,,,,,,,,,,,,,,,
Kerala,6164059,605163,2210484,1475521,3686005,983527,889364,,,,,,,,,,,,,,,,
Ladakh,57107,10973,22036,11322,33358,7647,5129,,,,,,,,,,,,,,,,
Lakshadweep,12325,1309,5254,2805,8059,1804,1153,,,,,,,,,,,,,,,,
Madhya Pradesh,15172607,1344042,6351305,3952713,10304018,2144042,1380505,,,,,,,,,,,,,,,,
Maharashtra,21272611,317336,9119841,5444476,14564317,3611776,2779182,,,,,,,,,,,,,,,,
Manipur,673118,82131,296328,142794,439122,87276,64589,,,,,,,,,,,,,,,,
Meghalaya,1061320,182528,498505,217520,716025,110089,52678,,,,,,,,,,,,,,,,
Mizoram,279882,41642,115890,59985,175875,38397,23968,,,,,,,,,,,,,,,,
Nagaland,414421,74595,162251,86933,249184,53972,36670,,,,,,,,,,,,,,,,
Odisha,7644052,89409,3261010,2115731,5376741,1258350,919552,,,,,,,,,,,,,,,,
Puducherry,240691,27327,83215,56981,140196,38380,34788,,,,,,,,,,,,,,,,
Punjab,5908507,923035,2148342,1300288,3448630,818351,718491,,,,,,,,,,,,,,,,
Rajasthan,16364187,1023800,6725598,4196153,10921751,2463711,1954925,,,,,,,,,,,,,,,,
Sikkim,117576,20770,41009,25166,66175,17305,13326,,,,,,,,,,,,,,,,
Tamil Nadu,12518167,1089643,4567186,3071918,7639104,2019160,1770260,,,,,,,,,,,,,,,,
Telangana,7457851,585410,3048951,1874872,4923823,1153324,795294,,,,,,,,,,,,,,,,
Tripura,690084,47352,284903,177544,462447,100976,79309,,,,,,,,,,,,,,,,
Uttar Pradesh,42789347,1388430,19380876,11276496,30657372,5707964,5035581,,,,,,,,,,,,,,,,
Uttarakhand,2426815,208135,954010,579165,1533175,362208,323297,,,,,,,,,,,,,,,,
West Bengal,17081511,1096804,7059654,4384726,11444380,2965393,1574934,,,,,,,,,,,,,,,,
India/ State /UT
India/ State /UT
"Pre-Primary"
Pre-
Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
India
India
