India/State/ UT,Enrolment – Others,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,170664,190556,361220,62553,90913,153466,2307890,2050483,4358373,2513056,2211477,4724533
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,23,54,77,0,0,0,3225,4199,7424,3350,4354,7704
Arunachal Pradesh,15,13,28,0,0,0,1236,937,2173,1546,1255,2801
Assam,14425,18269,32694,3201,3931,7132,58075,58919,116994,61470,62012,123482
Bihar,8956,11673,20629,4716,6395,11111,485255,382512,867767,512804,400666,913470
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,0,0,0,0,0,0,3178,2257,5435,3178,2257,5435
"Dadra and Nagar Haveli andDaman and Diu",11,0,11,13,0,13,158,0,158,158,0,158
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,134,134,268,4,45,49,624,734,1358,659,771,1430
Haryana,607,383,990,335,245,580,39616,30573,70189,46648,36399,83047
Himachal Pradesh,0,0,0,0,0,0,33,15,48,33,15,48
Jammu and Kashmir,105,202,307,0,33,33,2048,1806,3854,2463,2219,4682
Jharkhand,17357,14183,31540,794,803,1597,430329,308569,738898,527084,379822,906906
Karnataka,53,29,82,0,0,0,322,153,475,329,158,487
Kerala,944,869,1813,216,292,508,38298,34341,72639,54257,48617,102874
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,38,47,85,6,15,21,19601,18696,38297,19933,19007,38940
Maharashtra,456,304,760,0,1,1,19404,16298,35702,21087,17763,38850
Manipur,0,0,0,0,0,0,3379,3032,6411,4584,4135,8719
Meghalaya,2151,3189,5340,698,1131,1829,14127,15830,29957,18646,20111,38757
Mizoram,485,507,992,136,128,264,2902,2799,5701,3602,3508,7110
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,3333,2274,5607,2843,2271,5114,46045,33818,79863,50166,36965,87131
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,0,0,0,0,0,0,447,345,792,642,537,1179
Rajasthan,1114,1299,2413,406,569,975,66070,62532,128602,66885,63356,130241
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,177,116,293,58,43,101,7745,6405,14150,12174,10175,22349
Telangana,8,12,20,0,0,0,748,1331,2079,776,1371,2147
Tripura,286,52,338,119,57,176,6419,3833,10252,7407,4660,12067
Uttar Pradesh,28068,30021,58089,10765,9464,20229,639919,617573,1257492,647493,624098,1271591
Uttarakhand,337,410,747,505,348,853,31708,28579,60287,31893,28782,60675
West Bengal,91581,106516,198097,37738,65142,102880,386979,414397,801376,413789,438464,852253
