India/State/ UT,Enrolment – Others,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,205166,160994,366160,1489442,1234187,2723629,585231,534827,1120058,2074673,1769014,3843687
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,125,155,280,2110,2468,4578,1092,1677,2769,3202,4145,7347
Arunachal Pradesh,310,318,628,1023,780,1803,198,144,342,1221,924,2145
Assam,3395,3093,6488,34165,30078,64243,6284,6641,12925,40449,36719,77168
Bihar,27549,18154,45703,331628,244774,576402,139955,119670,259625,471583,364444,836027
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,0,0,0,2244,1628,3872,934,629,1563,3178,2257,5435
"Dadra and Nagar Haveli andDaman and Diu",0,0,0,119,0,119,15,0,15,134,0,134
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,35,37,72,340,376,716,146,179,325,486,555,1041
Haryana,7032,5826,12858,28547,22703,51250,10127,7242,17369,38674,29945,68619
Himachal Pradesh,0,0,0,33,15,48,0,0,0,33,15,48
Jammu and Kashmir,415,413,828,1388,1126,2514,555,445,1000,1943,1571,3514
Jharkhand,96755,71253,168008,288297,204649,492946,123881,88934,212815,412178,293583,705761
Karnataka,7,5,12,171,85,256,98,39,137,269,124,393
Kerala,15959,14276,30235,30760,27573,58333,6378,5607,11985,37138,33180,70318
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,332,311,643,13286,12587,25873,6271,6047,12318,19557,18634,38191
Maharashtra,1683,1465,3148,15457,13313,28770,3491,2680,6171,18948,15993,34941
Manipur,1205,1103,2308,2898,2610,5508,481,422,903,3379,3032,6411
Meghalaya,4519,4281,8800,9269,8882,18151,2009,2628,4637,11278,11510,22788
Mizoram,700,709,1409,1563,1514,3077,718,650,1368,2281,2164,4445
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,4121,3147,7268,30526,23007,53533,9343,6266,15609,39869,29273,69142
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,195,192,387,427,326,753,20,19,39,447,345,792
Rajasthan,815,824,1639,53077,49646,102723,11473,11018,22491,64550,60664,125214
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,4429,3770,8199,6509,5558,12067,1001,688,1689,7510,6246,13756
Telangana,28,40,68,532,827,1359,208,492,700,740,1319,2059
Tripura,988,827,1815,5119,3475,8594,895,249,1144,6014,3724,9738
Uttar Pradesh,7574,6525,14099,473734,437960,911694,127352,140128,267480,601086,578088,1179174
Uttarakhand,185,203,388,23420,20704,44124,7446,7117,14563,30866,27821,58687
West Bengal,26810,24067,50877,132800,117523,250323,124860,125216,250076,257660,242739,500399
