India/State/ UT,Children With Special Needs (CWSN) enrolment,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(2),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,178843,146098,324941,80282,68740,149022,1207840,908179,2116019,1227952,921306,2149258
Andaman and Nicobar Islands,109,45,154,59,49,108,465,263,728,494,278,772
Andhra Pradesh,11060,8517,19577,3588,3170,6758,51267,37434,88701,51788,37820,89608
Arunachal Pradesh,176,279,455,71,103,174,1309,1659,2968,1378,1711,3089
Assam,2866,3176,6042,758,868,1626,30157,24471,54628,31250,25204,56454
Bihar,8233,7979,16212,3370,3358,6728,98064,82294,180358,98575,82625,181200
Chandigarh,459,297,756,197,138,335,2139,1335,3474,2228,1374,3602
Chhattisgarh,5579,6152,11731,1977,2927,4904,37996,34868,72864,38433,35212,73645
"Dadra and Nagar Haveli andDaman and Diu",152,113,265,30,17,47,697,475,1172,710,491,1201
Delhi,3444,2766,6210,2223,1657,3880,20691,16000,36691,21832,16552,38384
Goa,619,331,950,359,181,540,2864,1584,4448,2950,1621,4571
Gujarat,5520,3792,9312,1875,1370,3245,34992,23931,58923,36568,25001,61569
Haryana,2112,1589,3701,854,631,1485,12629,8331,20960,13036,8589,21625
Himachal Pradesh,518,508,1026,313,300,613,3239,2631,5870,3425,2745,6170
Jammu and Kashmir,1331,911,2242,434,343,777,10774,7392,18166,12181,8353,20534
Jharkhand,3297,3601,6898,1123,1767,2890,26652,22779,49431,27092,23034,50126
Karnataka,11502,8727,20229,2568,2617,5185,49322,36233,85555,49498,36374,85872
Kerala,13707,9349,23056,14627,8318,22945,73442,47906,121348,74866,48734,123600
Ladakh,55,54,109,11,14,25,286,265,551,337,289,626
Lakshadweep,30,21,51,20,11,31,109,80,189,110,80,190
Madhya Pradesh,11663,10382,22045,3538,3275,6813,83870,68453,152323,84761,69060,153821
Maharashtra,22240,18454,40694,11375,10220,21595,134154,97532,231686,135397,98394,233791
Manipur,196,232,428,66,78,144,2098,2014,4112,2192,2073,4265
Meghalaya,137,128,265,57,45,102,1575,1274,2849,1901,1520,3421
Mizoram,248,495,743,122,276,398,1677,1912,3589,1831,1997,3828
Nagaland,98,117,215,33,45,78,771,679,1450,947,797,1744
Odisha,9522,7700,17222,3580,3290,6870,52890,38608,91498,52985,38646,91631
Puducherry,152,176,328,74,144,218,610,583,1193,631,604,1235
Punjab,5224,4158,9382,2981,2756,5737,29489,21404,50893,31212,22549,53761
Rajasthan,7455,5304,12759,3937,2840,6777,40790,28633,69423,41315,28885,70200
Sikkim,82,87,169,25,39,64,504,362,866,580,418,998
Tamil Nadu,20590,13792,34382,11621,9481,21102,83348,55994,139342,84181,56622,140803
Telangana,6507,6091,12598,2253,3110,5363,40145,31404,71549,40822,31850,72672
Tripura,338,242,580,187,164,351,1898,1349,3247,1946,1372,3318
Uttar Pradesh,10688,8857,19545,2235,1776,4011,192061,140568,332629,192788,141074,333862
Uttarakhand,292,241,533,228,159,387,2890,1993,4883,3081,2128,5209
West Bengal,12642,11435,24077,3513,3203,6716,81976,65486,147462,84631,67230,151861
