India/State/ UT,Children With Special Needs (CWSN) enrolment,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,20112,13127,33239,553362,390150,943512,395353,303191,698544,948715,693341,1642056
Andaman and Nicobar Islands,29,15,44,163,91,254,134,78,212,297,169,466
Andhra Pradesh,521,386,907,19709,13249,32958,16910,12498,29408,36619,25747,62366
Arunachal Pradesh,69,52,121,650,638,1288,412,639,1051,1062,1277,2339
Assam,1093,733,1826,18829,13648,32477,7704,6779,14483,26533,20427,46960
Bihar,511,331,842,54850,44073,98923,31611,26884,58495,86461,70957,157418
Chandigarh,89,39,128,711,396,1107,772,504,1276,1483,900,2383
Chhattisgarh,437,344,781,16682,13465,30147,13758,12324,26082,30440,25789,56229
"Dadra and Nagar Haveli andDaman and Diu",13,16,29,301,194,495,214,151,365,515,345,860
Delhi,1141,552,1693,7739,5174,12913,7285,6403,13688,15024,11577,26601
Goa,86,37,123,1157,675,1832,729,397,1126,1886,1072,2958
Gujarat,1576,1070,2646,14584,9842,24426,13013,8927,21940,27597,18769,46366
Haryana,407,258,665,5389,3323,8712,4274,2788,7062,9663,6111,15774
Himachal Pradesh,186,114,300,1359,1001,2360,1049,822,1871,2408,1823,4231
Jammu and Kashmir,1407,961,2368,5904,3947,9851,3105,2191,5296,9009,6138,15147
Jharkhand,440,255,695,13528,10066,23594,8704,7345,16049,22232,17411,39643
Karnataka,176,141,317,19217,13532,32749,16035,11357,27392,35252,24889,60141
Kerala,1424,828,2252,23187,14687,37874,21921,15552,37473,45108,30239,75347
Ladakh,51,24,75,133,103,236,87,94,181,220,197,417
Lakshadweep,1,0,1,33,27,60,26,21,47,59,48,107
Madhya Pradesh,891,607,1498,35444,27153,62597,33225,27643,60868,68669,54796,123465
Maharashtra,1243,862,2105,63138,40430,103568,37401,28428,65829,100539,68858,169397
Manipur,94,59,153,1260,1163,2423,576,541,1117,1836,1704,3540
Meghalaya,326,246,572,992,758,1750,389,343,732,1381,1101,2482
Mizoram,154,85,239,865,681,1546,442,460,902,1307,1141,2448
Nagaland,176,118,294,420,315,735,220,202,422,640,517,1157
Odisha,95,38,133,22229,14654,36883,17559,12964,30523,39788,27618,67406
Puducherry,21,21,42,207,113,320,177,150,327,384,263,647
Punjab,1723,1145,2868,12236,7881,20117,9048,6609,15657,21284,14490,35774
Rajasthan,525,252,777,15360,10462,25822,14038,10027,24065,29398,20489,49887
Sikkim,76,56,132,267,146,413,130,90,220,397,236,633
Tamil Nadu,833,628,1461,24984,15573,40557,26153,17148,43301,51137,32721,83858
Telangana,677,446,1123,18455,12625,31080,12930,9578,22508,31385,22203,53588
Tripura,48,23,71,741,491,1232,632,452,1084,1373,943,2316
Uttar Pradesh,727,506,1233,111853,79349,191202,67285,50586,117871,179138,129935,309073
Uttarakhand,191,135,326,1580,1018,2598,790,575,1365,2370,1593,3963
West Bengal,2655,1744,4399,39206,29207,68413,26615,21641,48256,65821,50848,116669
