India/State/ UT,New Admissions in Class 1 – Government,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"",,"sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,9278826,3011139,378513,3966768,4599162,1500475,199553,1943147,4679664,1510664,178960,2023621
Andaman and Nicobar Islands,2875,2056,527,154,1445,1017,268,80,1430,1039,259,74
Andhra Pradesh,270478,36827,26571,183074,130670,17733,13807,87061,139808,19094,12764,96013
Arunachal Pradesh,15288,7813,1816,2758,7467,3866,878,1351,7821,3947,938,1407
Assam,431596,241247,15912,107999,215812,120940,8182,53184,215784,120307,7730,54815
Bihar,1126965,229862,21545,457347,556606,114719,10986,224437,570359,115143,10559,232910
Chandigarh,8049,5820,1157,82,4157,2941,639,43,3892,2879,518,39
Chhattisgarh,300976,50855,20024,179994,149071,25072,10222,88439,151905,25783,9802,91555
"Dadra and Nagar Haveli andDaman and Diu",7031,3266,604,495,3526,1603,331,242,3505,1663,273,253
Delhi,121131,59364,17899,1916,57614,22505,12494,1048,63517,36859,5405,868
Goa,4409,807,337,1854,2247,415,180,933,2162,392,157,921
Gujarat,600775,502792,34496,30424,302854,252038,18042,15311,297921,250754,16454,15113
Haryana,114905,44437,7010,17634,56350,20698,3693,8838,58555,23739,3317,8796
Himachal Pradesh,24094,11307,2726,3241,12153,5619,1462,1621,11941,5688,1264,1620
Jammu and Kashmir,96986,76997,6396,2413,47824,37691,3401,1207,49162,39306,2995,1206
Jharkhand,389180,92994,9152,213256,194996,46857,4811,106101,194184,46137,4341,107155
Karnataka,368937,33652,8956,277675,178311,16150,4584,133746,190626,17502,4372,143929
Kerala,96366,66792,12907,12172,48894,33483,6735,6261,47472,33309,6172,5911
Ladakh,1927,1552,154,0,912,726,86,0,1015,826,68,0
Lakshadweep,1060,327,414,275,558,176,209,140,502,151,205,135
Madhya Pradesh,498116,114320,24504,251412,247469,57074,12812,123929,250647,57246,11692,127483
Maharashtra,704867,45598,12940,557384,351941,22843,6884,278066,352926,22755,6056,279318
Manipur,24681,13081,3136,5757,12526,6647,1589,2867,12155,6434,1547,2890
Meghalaya,51193,44935,2897,1572,27181,23864,1512,866,24012,21071,1385,706
Mizoram,12439,8877,1521,1182,6426,4633,775,570,6013,4244,746,612
Nagaland,13199,11321,1540,58,6593,5647,775,24,6606,5674,765,34
Odisha,427271,8377,5772,397401,212738,4305,3033,197580,214533,4072,2739,199821
Puducherry,4534,3392,858,72,2197,1653,395,37,2337,1739,463,35
Punjab,175272,138634,15846,3076,89552,70482,8344,1558,85720,68152,7502,1518
Rajasthan,454928,50127,15967,183186,220743,24975,8238,87103,234185,25152,7729,96083
Sikkim,3141,2510,485,28,1647,1301,268,12,1494,1209,217,16
Tamil Nadu,270246,32005,31021,130056,132832,15611,16026,62935,137414,16394,14995,67121
Telangana,176038,19529,13702,112943,87397,10308,7251,54736,88641,9221,6451,58207
Tripura,34878,5465,2506,23162,17141,2723,1295,11251,17737,2742,1211,11911
Uttar Pradesh,1308436,81064,27976,739671,638854,40580,14735,357548,669582,40484,13241,382123
Uttarakhand,42221,4724,2924,23583,20984,2408,1567,11408,21237,2316,1357,12175
West Bengal,1094338,958413,26315,43462,551474,481172,13044,22614,542864,477241,13271,20848
