India/State/ UT,New Admissions in Class 1 – Government Aided,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"",,"sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,778865,270863,73604,205876,388640,134983,35613,105185,390225,135880,37991,100691
Andaman and Nicobar Islands,101,47,47,5,55,27,24,3,46,20,23,2
Andhra Pradesh,5926,924,1114,2221,2879,497,530,1074,3047,427,584,1147
Arunachal Pradesh,1714,589,859,59,800,270,407,29,914,319,452,30
Assam,452,349,50,3,231,168,31,2,221,181,19,1
Bihar,3798,853,320,837,1879,438,112,423,1919,415,208,414
Chandigarh,364,225,116,3,168,88,66,2,196,137,50,1
Chhattisgarh,4337,707,439,1864,2158,343,196,956,2179,364,243,908
"Dadra and Nagar Haveli andDaman and Diu",245,224,18,0,134,121,11,0,111,103,7,0
Delhi,6271,1051,1324,152,2729,383,569,82,3542,668,755,70
Goa,12441,8418,2148,465,6325,4197,1158,241,6116,4221,990,224
Gujarat,9445,6471,1268,938,4915,3325,630,509,4530,3146,638,429
Haryana,93,57,3,0,44,37,1,0,49,20,2,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,16,15,0,0,7,6,0,0,9,9,0,0
Jharkhand,22863,13567,2445,3771,10766,6468,942,1796,12097,7099,1503,1975
Karnataka,55639,12766,3159,26214,27731,6243,1563,13275,27908,6523,1596,12939
Kerala,155361,100447,23349,22962,77981,50222,11751,11524,77380,50225,11598,11438
Ladakh,98,7,45,0,54,5,23,0,44,2,22,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,3657,1849,454,549,1724,876,201,290,1933,973,253,259
Maharashtra,326575,69727,14831,104410,166386,35221,7659,54734,160189,34506,7172,49676
Manipur,3908,1762,444,1064,1983,903,239,500,1925,859,205,564
Meghalaya,28295,25583,1550,604,14691,13238,812,324,13604,12345,738,280
Mizoram,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,4874,672,102,3470,2547,434,51,1750,2327,238,51,1720
Puducherry,1319,861,396,8,481,340,107,1,838,521,289,7
Punjab,8331,4265,1146,278,4337,2199,592,143,3994,2066,554,135
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2,1,1,0,2,1,1,0,0,0,0,0
Tamil Nadu,91694,9249,15070,34232,44154,4454,6713,16670,47540,4795,8357,17562
Telangana,6436,3832,1176,347,2670,1544,478,177,3766,2288,698,170
Tripura,1255,145,246,434,646,58,128,239,609,87,118,195
Uttar Pradesh,21121,4780,1363,858,9246,2284,576,412,11875,2496,787,446
Uttarakhand,994,391,88,116,363,149,28,23,631,242,60,93
West Bengal,1240,1029,33,12,554,444,14,6,686,585,19,6
