India/State/ UT,New Admissions in Class 1 – Private Unaided Recognized,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"",,"sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,8605092,5579075,1139740,360025,4756400,3063256,632491,200628,3848692,2515819,507249,159397
Andaman and Nicobar Islands,1977,1448,469,39,1053,760,255,24,924,688,214,15
Andhra Pradesh,412355,291808,98068,8125,224195,157793,54054,4399,188160,134015,44014,3726
Arunachal Pradesh,16133,11522,3333,294,8655,6165,1796,165,7478,5357,1537,129
Assam,195801,154558,18777,6447,106688,83923,10486,3497,89113,70635,8291,2950
Bihar,308880,205589,28418,12857,188651,125215,17245,7880,120229,80374,11173,4977
Chandigarh,5964,4942,907,10,3185,2620,498,5,2779,2322,409,5
Chhattisgarh,187442,137420,21302,7965,100180,73146,11565,4216,87262,64274,9737,3749
"Dadra and Nagar Haveli andDaman and Diu",4778,2715,1192,76,2696,1507,687,44,2082,1208,505,32
Delhi,185889,106084,34456,1859,102885,57824,19399,1049,83004,48260,15057,810
Goa,5267,3398,1521,139,2895,1842,870,83,2372,1556,651,56
Gujarat,409071,271321,78302,10669,228845,152101,43715,5915,180226,119220,34587,4754
Haryana,289702,200894,39074,8719,160594,110977,21970,4769,129108,89917,17104,3950
Himachal Pradesh,49074,40993,5280,659,26859,22376,2904,359,22215,18617,2376,300
Jammu and Kashmir,112252,91899,14581,1064,60727,49385,8075,604,51525,42514,6506,460
Jharkhand,71485,54963,9350,1331,41051,31431,5477,773,30434,23532,3873,558
Karnataka,526452,313056,87528,57868,284440,168170,46853,31976,242012,144886,40675,25892
Kerala,178019,138289,31851,3428,92835,72212,16607,1767,85184,66077,15244,1661
Ladakh,2573,2102,248,12,1352,1089,134,6,1221,1013,114,6
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,593681,473315,58749,13021,330959,261337,33927,7570,262722,211978,24822,5451
Maharashtra,687431,326129,113938,85780,375929,176172,61981,47903,311502,149957,51957,37877
Manipur,34956,27567,5358,756,18320,14463,2810,377,16636,13104,2548,379
Meghalaya,27798,25792,1568,105,14118,13087,798,62,13680,12705,770,43
Mizoram,15482,13301,1908,91,7751,6644,981,43,7731,6657,927,48
Nagaland,23851,21085,2589,16,12612,11141,1370,6,11239,9944,1219,10
Odisha,162737,80546,14427,34505,90289,44887,7924,19037,72448,35659,6503,15468
Puducherry,11156,8276,2542,29,6006,4440,1368,20,5150,3836,1174,9
Punjab,259435,221005,28692,1393,142552,121226,15841,790,116883,99779,12851,603
Rajasthan,693695,386180,64047,14504,393133,217271,36465,8341,300562,168909,27582,6163
Sikkim,5025,4093,871,3,2599,2094,473,1,2426,1999,398,2
Tamil Nadu,562036,467878,81338,1897,298104,247049,44159,997,263932,220829,37179,900
Telangana,479402,353393,85899,11171,256424,188210,46362,6022,222978,165183,39537,5149
Tripura,15115,11851,2069,561,8168,6386,1102,319,6947,5465,967,242
Uttar Pradesh,1834647,965991,176553,65397,1033678,544158,100641,36542,800969,421833,75912,28855
Uttarakhand,120656,75051,16893,5704,66098,40994,9376,3114,54558,34057,7517,2590
West Bengal,114875,84621,7642,3531,61874,45161,4323,1953,53001,39460,3319,1578
