"","Table 5.2: Enrolment of students by school management and level of school education, 2024-25: Government",,,,,,,,,,,,,,,,,,,,,,
India/ State /UT,,Enrolment – Government Schools,,,,,,,,,,,,,,,,,,,,,
"",,,Total,,"Pre-Primary","Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,
"",India/ State /UT,Pre-,Primary,Elementary,Secondary,,,,,,,,,,,,,,,,,,
"",,,(Pre-primary,Primary,Secondary,,,,,,,,,,,,,,,,,,
"",,,,,,Primary,(1 to 5),(1-8),(9-10),,,,,,,,,,,,,,
"",,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
India,121589911,3211902,57050360,34272156,91322516,16546490,10509003,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,47459,5148,13871,11556,25427,8618,8266,,,,,,,,,,,,,,,,
Andhra Pradesh,3643083,35537,1444040,1171895,2615935,763215,228396,,,,,,,,,,,,,,,,
Arunachal Pradesh,170112,7909,63049,45127,108176,32099,21928,,,,,,,,,,,,,,,,
Assam,4841809,251501,2315778,1244314,3560092,687757,342459,,,,,,,,,,,,,,,,
Bihar,17159036,1207,8266646,4696513,12963159,2363123,1831547,,,,,,,,,,,,,,,,
Chandigarh,148600,14248,44588,40806,85394,25315,23643,,,,,,,,,,,,,,,,
Chhattisgarh,3817949,52437,1638559,1085000,2723559,627003,414950,,,,,,,,,,,,,,,,
"Dadra and Nagar Haveli andDaman and Diu",95700,7394,38120,25805,63925,15192,9189,,,,,,,,,,,,,,,,
Delhi,2469393,109776,781036,722309,1503345,474730,381542,,,,,,,,,,,,,,,,
Goa,41217,2672,21840,8059,29899,4864,3782,,,,,,,,,,,,,,,,
Gujarat,5368061,520135,2710339,1884549,4594888,174415,78623,,,,,,,,,,,,,,,,
Haryana,2200067,76297,816102,640557,1456659,359144,307967,,,,,,,,,,,,,,,,
Himachal Pradesh,802146,72433,244643,199132,443775,147149,138789,,,,,,,,,,,,,,,,
Jammu and Kashmir,1393820,186089,516188,295579,811767,203068,192896,,,,,,,,,,,,,,,,
Jharkhand,4870352,38838,2352810,1336030,3688840,714356,428318,,,,,,,,,,,,,,,,
Karnataka,4734360,40945,2207405,1393395,3600800,779522,313093,,,,,,,,,,,,,,,,
Kerala,1717915,130185,528152,377357,905509,294307,387914,,,,,,,,,,,,,,,,
Ladakh,26542,4372,8612,5004,13616,4341,4213,,,,,,,,,,,,,,,,
Lakshadweep,12325,1309,5254,2805,8059,1804,1153,,,,,,,,,,,,,,,,
Madhya Pradesh,8128161,38241,3545478,2358550,5904028,1355244,830648,,,,,,,,,,,,,,,,
Maharashtra,5108544,60357,3671935,1064975,4736910,241353,69924,,,,,,,,,,,,,,,,
Manipur,208052,17676,110426,35870,146296,22705,21375,,,,,,,,,,,,,,,,
Meghalaya,413681,74133,230461,90327,320788,11091,7669,,,,,,,,,,,,,,,,
Mizoram,117866,16524,50233,25951,76184,15984,9174,,,,,,,,,,,,,,,,
Nagaland,137373,27017,52721,29446,82167,16551,11638,,,,,,,,,,,,,,,,
Odisha,5046239,1272,2482382,1656240,4138622,755469,150876,,,,,,,,,,,,,,,,
Puducherry,76995,7247,24763,18692,43455,13735,12558,,,,,,,,,,,,,,,,
Punjab,2669459,340893,957593,602773,1560366,402505,365695,,,,,,,,,,,,,,,,
Rajasthan,7782390,42828,3127200,2232174,5359374,1343624,1036564,,,,,,,,,,,,,,,,
Sikkim,67063,6033,18739,16810,35549,13909,11572,,,,,,,,,,,,,,,,
Tamil Nadu,4510632,61702,1571980,1273611,2845591,870985,732354,,,,,,,,,,,,,,,,
Telangana,2629488,6431,950010,833069,1783079,549465,290513,,,,,,,,,,,,,,,,
Tripura,488370,11696,201205,137218,338423,78706,59545,,,,,,,,,,,,,,,,
Uttar Pradesh,14892455,3740,9531511,4677680,14209191,409775,269749,,,,,,,,,,,,,,,,
Uttarakhand,794170,1149,316377,205750,522127,142574,128320,,,,,,,,,,,,,,,,
West Bengal,14959027,936531,6190314,3827228,10017542,2622793,1382161,,,,,,,,,,,,,,,,
India/ State /UT
India/ State /UT
"Pre-Primary"
Pre-
Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
India
India
