"","Table 5.3: Enrolment of students by school management and level of school education, 2024-25: Government Aided",,,,,,,,,,,,,,,,,,,,,,
India/ State /UT,,Enrolment – Government Aided Schools,,,,,,,,,,,,,,,,,,,,,
"",,,Total,,"Pre-Primary","Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,
"",India/ State /UT,Pre-,Primary,Elementary,Secondary,,,,,,,,,,,,,,,,,,
"",,,(Pre-primary,Primary,Secondary,,,,,,,,,,,,,,,,,,
"",,,,,,Primary,(1 to 5),(1-8),(9-10),,,,,,,,,,,,,,
"",,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
India,24761526,314355,4794673,6621822,11416495,7121730,5908946,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,1775,50,495,388,883,375,467,,,,,,,,,,,,,,,,
Andhra Pradesh,102125,477,33266,33470,66736,20950,13962,,,,,,,,,,,,,,,,
Arunachal Pradesh,21591,1232,10410,6089,16499,2947,913,,,,,,,,,,,,,,,,
Assam,135354,619,2239,52180,54419,54285,26031,,,,,,,,,,,,,,,,
Bihar,117605,3,29708,37071,66779,31135,19688,,,,,,,,,,,,,,,,
Chandigarh,8713,641,2030,1657,3687,1342,3043,,,,,,,,,,,,,,,,
Chhattisgarh,69156,365,24151,19166,43317,14076,11398,,,,,,,,,,,,,,,,
"Dadra and Nagar Haveli andDaman and Diu",7146,238,1258,2310,3568,1559,1781,,,,,,,,,,,,,,,,
Delhi,135696,1186,36930,45006,81936,28377,24197,,,,,,,,,,,,,,,,
Goa,218183,17883,70381,59619,130000,38120,32180,,,,,,,,,,,,,,,,
Gujarat,1654796,6881,43316,90483,133799,963252,550864,,,,,,,,,,,,,,,,
Haryana,1823,0,360,468,828,434,561,,,,,,,,,,,,,,,,
Himachal Pradesh,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jammu and Kashmir,172,44,81,32,113,15,0,,,,,,,,,,,,,,,,
Jharkhand,296372,11946,128580,88785,217365,49498,17563,,,,,,,,,,,,,,,,
Karnataka,1381517,1291,331279,351174,682453,477951,219822,,,,,,,,,,,,,,,,
Kerala,2655094,176066,875718,720515,1596233,499157,383638,,,,,,,,,,,,,,,,
Ladakh,713,5,531,137,668,40,0,,,,,,,,,,,,,,,,
Lakshadweep,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Madhya Pradesh,90123,1936,22264,16775,39039,24732,24416,,,,,,,,,,,,,,,,
Maharashtra,9589225,31787,2214802,2885259,5100061,2426180,2031197,,,,,,,,,,,,,,,,
Manipur,25191,1751,14216,5027,19243,3418,779,,,,,,,,,,,,,,,,
Meghalaya,339901,45906,127597,87161,214758,57653,21584,,,,,,,,,,,,,,,,
Mizoram,19123,0,1424,4538,5962,8524,4637,,,,,,,,,,,,,,,,
Nagaland,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Odisha,950154,15,25913,120622,146535,346692,456912,,,,,,,,,,,,,,,,
Puducherry,21306,1519,6906,6359,13265,4122,2400,,,,,,,,,,,,,,,,
Punjab,174862,6121,44771,44963,89734,34471,44536,,,,,,,,,,,,,,,,
Rajasthan,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sikkim,778,12,34,313,347,240,179,,,,,,,,,,,,,,,,
Tamil Nadu,1959060,2538,538689,599347,1138036,431456,387030,,,,,,,,,,,,,,,,
Telangana,73792,2607,31369,20423,51792,12543,6850,,,,,,,,,,,,,,,,
Tripura,28103,144,7286,6732,14018,5145,8796,,,,,,,,,,,,,,,,
Uttar Pradesh,4503248,617,153986,1261810,1415796,1530216,1556619,,,,,,,,,,,,,,,,
Uttarakhand,148462,44,6582,46159,52741,46136,49541,,,,,,,,,,,,,,,,
West Bengal,30367,431,8101,7784,15885,6689,7362,,,,,,,,,,,,,,,,
India/ State /UT
India/ State /UT
"Pre-Primary"
Pre-
Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
India
India
