"","Table 5.4: Enrolment of students by school management and level of school education, 2024-25: Private Unaided Recognized",,,,,,,,,,,,,,,,,,,,,,
India/ State /UT,,Enrolment – Private Unaided Recognized Schools,,,,,,,,,,,,,,,,,,,,,
"",,,Total,,"Pre-Primary","Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,
"",India/ State /UT,Pre-,Primary,Elementary,Secondary,,,,,,,,,,,,,,,,,,
"",,,(Pre-primary,Primary,Secondary,,,,,,,,,,,,,,,,,,
"",,,,,,Primary,(1 to 5),(1-8),(9-10),,,,,,,,,,,,,,
"",,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
India,95856710,10154663,39812685,21681064,61493749,13135996,11072302,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,22109,4600,8872,4735,13607,2398,1504,,,,,,,,,,,,,,,,
Andhra Pradesh,4701905,513256,1788016,1030242,2818258,569599,800792,,,,,,,,,,,,,,,,
Arunachal Pradesh,125322,23618,64920,24207,89127,8756,3821,,,,,,,,,,,,,,,,
Assam,1941179,237250,829971,428044,1258015,252181,193733,,,,,,,,,,,,,,,,
Bihar,2943117,308357,1400166,700600,2100766,355061,178933,,,,,,,,,,,,,,,,
Chandigarh,95699,15788,32047,20619,52666,13572,13673,,,,,,,,,,,,,,,,
Chhattisgarh,1914331,434136,779842,376713,1156555,186734,136906,,,,,,,,,,,,,,,,
"Dadra and Nagar Haveli andDaman and Diu",43821,6075,20502,8784,29286,4919,3541,,,,,,,,,,,,,,,,
Delhi,1885943,201844,853455,423000,1276455,209946,197698,,,,,,,,,,,,,,,,
Goa,41146,8671,22625,5017,27642,2611,2222,,,,,,,,,,,,,,,,
Gujarat,4477041,413441,1812713,1217799,3030512,579785,453303,,,,,,,,,,,,,,,,
Haryana,3484393,312074,1375907,856854,2232761,535948,403610,,,,,,,,,,,,,,,,
Himachal Pradesh,623072,121251,239811,132595,372406,78380,51035,,,,,,,,,,,,,,,,
Jammu and Kashmir,1255338,266504,521874,272588,794462,140927,53445,,,,,,,,,,,,,,,,
Jharkhand,1363301,96085,361891,268414,630305,326201,310710,,,,,,,,,,,,,,,,
Karnataka,5663887,223997,2543842,1374371,3918213,804254,717423,,,,,,,,,,,,,,,,
Kerala,1688176,268677,748281,365664,1113945,188250,117304,,,,,,,,,,,,,,,,
Ladakh,29852,6596,12893,6181,19074,3266,916,,,,,,,,,,,,,,,,
Lakshadweep,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Madhya Pradesh,6915383,1303222,2757690,1565070,4322760,763981,525420,,,,,,,,,,,,,,,,
Maharashtra,6535992,222044,3204334,1488071,4692405,943483,678060,,,,,,,,,,,,,,,,
Manipur,431156,60396,166178,100994,267172,61153,42435,,,,,,,,,,,,,,,,
Meghalaya,268981,53689,122296,35395,157691,36005,21596,,,,,,,,,,,,,,,,
Mizoram,135783,23709,61156,28128,89284,12897,9893,,,,,,,,,,,,,,,,
Nagaland,277048,47578,109530,57487,167017,37421,25032,,,,,,,,,,,,,,,,
Odisha,1560528,80854,699182,323260,1022442,150582,306650,,,,,,,,,,,,,,,,
Puducherry,142390,18561,51546,31930,83476,20523,19830,,,,,,,,,,,,,,,,
Punjab,3063007,575634,1145225,652513,1797738,381375,308260,,,,,,,,,,,,,,,,
Rajasthan,8451556,979333,3495675,1941488,5437163,1117674,917386,,,,,,,,,,,,,,,,
Sikkim,49735,14725,22236,8043,30279,3156,1575,,,,,,,,,,,,,,,,
Tamil Nadu,6026126,1017204,2444450,1197271,3641721,716426,650775,,,,,,,,,,,,,,,,
Telangana,4752424,576304,2066213,1020680,3086893,591296,497931,,,,,,,,,,,,,,,,
Tripura,161544,33697,67818,32450,100268,16787,10792,,,,,,,,,,,,,,,,
Uttar Pradesh,22122053,1369974,8783685,5069526,13853211,3709884,3188984,,,,,,,,,,,,,,,,
Uttarakhand,1423508,206554,586927,312693,899620,172751,144583,,,,,,,,,,,,,,,,
West Bengal,1239864,108965,610916,299638,910554,137814,82531,,,,,,,,,,,,,,,,
India/ State /UT
India/ State /UT
"Pre-Primary"
Pre-
Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
India
India
