"","Table 5.5: Enrolment of students by school management and level of school education, 2024-25: Others",,,,,,,,,,,,,,,,,,,,,,
India/State /UT,,Enrolment – Other Schools,,,,,,,,,,,,,,,,,,,,,
"",,,Total,,"Pre-Primary","Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,
"",India/State /UT,Pre-,Primary,Elementary,Secondary,,,,,,,,,,,,,,,,,,
"",,,(Pre-primary,Primary,Secondary,,,,,,,,,,,,,,,,,,
"",,,,,,Primary,(1 to 5),(1-8),(9-10),,,,,,,,,,,,,,
"",,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
India,4724533,366160,2723629,1120058,3843687,361220,153466,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Andhra Pradesh,7704,280,4578,2769,7347,77,0,,,,,,,,,,,,,,,,
Arunachal Pradesh,2801,628,1803,342,2145,28,0,,,,,,,,,,,,,,,,
Assam,123482,6488,64243,12925,77168,32694,7132,,,,,,,,,,,,,,,,
Bihar,913470,45703,576402,259625,836027,20629,11111,,,,,,,,,,,,,,,,
Chandigarh,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Chhattisgarh,5435,0,3872,1563,5435,0,0,,,,,,,,,,,,,,,,
"Dadra and Nagar Haveli andDaman and Diu",158,0,119,15,134,11,13,,,,,,,,,,,,,,,,
Delhi,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Goa,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Gujarat,1430,72,716,325,1041,268,49,,,,,,,,,,,,,,,,
Haryana,83047,12858,51250,17369,68619,990,580,,,,,,,,,,,,,,,,
Himachal Pradesh,48,0,48,0,48,0,0,,,,,,,,,,,,,,,,
Jammu and Kashmir,4682,828,2514,1000,3514,307,33,,,,,,,,,,,,,,,,
Jharkhand,906906,168008,492946,212815,705761,31540,1597,,,,,,,,,,,,,,,,
Karnataka,487,12,256,137,393,82,0,,,,,,,,,,,,,,,,
Kerala,102874,30235,58333,11985,70318,1813,508,,,,,,,,,,,,,,,,
Ladakh,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Lakshadweep,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Madhya Pradesh,38940,643,25873,12318,38191,85,21,,,,,,,,,,,,,,,,
Maharashtra,38850,3148,28770,6171,34941,760,1,,,,,,,,,,,,,,,,
Manipur,8719,2308,5508,903,6411,0,0,,,,,,,,,,,,,,,,
Meghalaya,38757,8800,18151,4637,22788,5340,1829,,,,,,,,,,,,,,,,
Mizoram,7110,1409,3077,1368,4445,992,264,,,,,,,,,,,,,,,,
Nagaland,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Odisha,87131,7268,53533,15609,69142,5607,5114,,,,,,,,,,,,,,,,
Puducherry,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Punjab,1179,387,753,39,792,0,0,,,,,,,,,,,,,,,,
Rajasthan,130241,1639,102723,22491,125214,2413,975,,,,,,,,,,,,,,,,
Sikkim,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tamil Nadu,22349,8199,12067,1689,13756,293,101,,,,,,,,,,,,,,,,
Telangana,2147,68,1359,700,2059,20,0,,,,,,,,,,,,,,,,
Tripura,12067,1815,8594,1144,9738,338,176,,,,,,,,,,,,,,,,
Uttar Pradesh,1271591,14099,911694,267480,1179174,58089,20229,,,,,,,,,,,,,,,,
Uttarakhand,60675,388,44124,14563,58687,747,853,,,,,,,,,,,,,,,,
West Bengal,852253,50877,250323,250076,500399,198097,102880,,,,,,,,,,,,,,,,
India/State /UT
India/State /UT
"Pre-Primary"
Pre-
Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
India
India
