India/State/ UT,Enrolment – All Types of Management,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,19108582,18056854,37165436,13784291,13859426,27643717,120065998,112819602,232885600,127598518,119334162,246932680
Andaman and Nicobar Islands,5898,5493,11391,4856,5381,10237,31185,30360,61545,36150,35193,71343
Andhra Pradesh,696755,657086,1353841,507138,536012,1043150,4050779,3854488,7905267,4347365,4107452,8454817
Arunachal Pradesh,21268,22562,43830,12816,13846,26662,142691,143748,286439,160114,159712,319826
Assam,463398,563519,1026917,264299,305056,569355,3194831,3351135,6545966,3452170,3589654,7041824
Bihar,1334940,1435008,2769948,985358,1055921,2041279,10433324,10344634,20777958,10648920,10484308,21133228
Chandigarh,21372,18857,40229,21119,19240,40359,117069,105266,222335,132603,120409,253012
Chhattisgarh,402096,425717,827813,247565,315689,563254,2647407,2672526,5319933,2903260,2903611,5806871
"Dadra and Nagar Haveli andDaman and Diu",11313,10368,21681,6841,7683,14524,69193,63925,133118,76439,70386,146825
Delhi,375308,337745,713053,306453,296984,603437,2189647,1988579,4178226,2350724,2140308,4491032
Goa,23555,22040,45595,18549,19635,38184,139305,132015,271320,154133,146413,300546
Gujarat,940184,777536,1717720,552072,530767,1082839,5609004,4951795,10560799,6104978,5396350,11501328
Haryana,491376,405140,896516,373864,338854,712718,2894523,2473578,5368101,3109149,2660181,5769330
Himachal Pradesh,118080,107449,225529,96167,93657,189824,640996,590586,1231582,742548,682718,1425266
Jammu and Kashmir,180941,163376,344317,127043,119331,246374,1143077,1057470,2200547,1379269,1274743,2654012
Jharkhand,550715,570880,1121595,366404,391784,758188,3610831,3511223,7122054,3787068,3649863,7436931
Karnataka,1059656,1002153,2061809,567985,682353,1250338,5860731,5653275,11514006,6001518,5778733,11780251
Kerala,501148,482379,983527,442555,446809,889364,2823662,2735234,5558896,3133623,3030436,6164059
Ladakh,3601,4046,7647,2273,2856,5129,22626,23508,46134,28281,28826,57107
Lakshadweep,909,895,1804,562,591,1153,5557,5459,11016,6208,6117,12325
Madhya Pradesh,1113576,1030466,2144042,684593,695912,1380505,7150906,6677659,13828565,7888341,7284266,15172607
Maharashtra,1927118,1684658,3611776,1442127,1337055,2779182,10968383,9986892,20955275,11135678,10136933,21272611
Manipur,43514,43762,87276,32053,32536,64589,300909,290078,590987,343923,329195,673118
Meghalaya,47414,62675,110089,22269,30409,52678,425737,453055,878792,520412,540908,1061320
Mizoram,18424,19973,38397,11132,12836,23968,119349,118891,238240,140587,139295,279882
Nagaland,26088,27884,53972,17157,19513,36670,170423,169403,339826,209201,205220,414421
Odisha,640212,618138,1258350,447477,472075,919552,3853261,3701382,7554643,3903141,3740911,7644052
Puducherry,19532,18848,38380,16891,17897,34788,108705,104659,213364,122806,117885,240691
Punjab,435997,382354,818351,378319,340172,718491,2659731,2325741,4985472,3151307,2757200,5908507
Rajasthan,1310601,1153110,2463711,1031878,923047,1954925,8089806,7250581,15340387,8657646,7706541,16364187
Sikkim,8616,8689,17305,6031,7295,13326,48814,47992,96806,59635,57941,117576
Tamil Nadu,1033694,985466,2019160,848319,921941,1770260,5821597,5606927,11428524,6393955,6124212,12518167
Telangana,589642,563682,1153324,381044,414250,795294,3521502,3350939,6872441,3837371,3620480,7457851
Tripura,49232,51744,100976,38420,40889,79309,322114,320618,642732,347076,343008,690084
Uttar Pradesh,3014522,2693442,5707964,2643270,2392311,5035581,21748973,19651944,41400917,22534584,20254763,42789347
Uttarakhand,189535,172673,362208,163946,159351,323297,1165037,1053643,2218680,1278510,1148305,2426815
West Bengal,1438352,1527041,2965393,715446,859488,1574934,7964313,8020394,15984707,8519825,8561686,17081511
