India/State/ UT,Enrolment – All Types of Management,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,7532520,6514560,14047080,54299931,50081416,104381347,32873194,30821906,63695100,87173125,80903322,168076447
Andaman and Nicobar Islands,4965,4833,9798,11905,11333,23238,8526,8153,16679,20431,19486,39917
Andhra Pradesh,296586,252964,549550,1692830,1577070,3269900,1154056,1084320,2238376,2846886,2661390,5508276
Arunachal Pradesh,17423,15964,33387,71402,68780,140182,37205,38560,75765,108607,107340,215947
Assam,257339,238519,495858,1632235,1579996,3212231,834899,902564,1737463,2467134,2482560,4949694
Bihar,215596,139674,355270,5282727,4990195,10272922,2830299,2863510,5693809,8113026,7853705,15966731
Chandigarh,15534,15143,30677,41136,37529,78665,33442,29640,63082,74578,67169,141747
Chhattisgarh,255853,231085,486938,1247382,1199042,2446424,750364,732078,1482442,1997746,1931120,3928866
"Dadra and Nagar Haveli andDaman and Diu",7246,6461,13707,31642,28357,59999,19397,17517,36914,51039,45874,96913
Delhi,161077,151729,312806,876393,795028,1671421,631493,558822,1190315,1507886,1353850,2861736
Goa,14828,14398,29226,59643,55203,114846,37558,35137,72695,97201,90340,187541
Gujarat,495974,444555,940529,2418146,2148938,4567084,1698602,1494554,3193156,4116748,3643492,7760240
Haryana,214626,186603,401229,1205238,1038381,2243619,824045,691203,1515248,2029283,1729584,3758867
Himachal Pradesh,101552,92132,193684,252884,231618,484502,173865,157862,331727,426749,389480,816229
Jammu and Kashmir,236192,217273,453465,538288,502369,1040657,296805,272394,569199,835093,774763,1609856
Jharkhand,176237,138640,314877,1729795,1606432,3336227,963917,942127,1906044,2693712,2548559,5242271
Karnataka,140787,125458,266245,2622267,2460515,5082782,1610823,1508254,3119077,4233090,3968769,8201859
Kerala,309961,295202,605163,1127826,1082658,2210484,752133,723388,1475521,1879959,1806046,3686005
Ladakh,5655,5318,10973,11230,10806,22036,5522,5800,11322,16752,16606,33358
Lakshadweep,651,658,1309,2724,2530,5254,1362,1443,2805,4086,3973,8059
Madhya Pradesh,737435,606607,1344042,3305782,3045523,6351305,2046955,1905758,3952713,5352737,4951281,10304018
Maharashtra,167295,150041,317336,4734347,4385494,9119841,2864791,2579685,5444476,7599138,6965179,14564317
Manipur,43014,39117,82131,152807,143521,296328,72535,70259,142794,225342,213780,439122
Meghalaya,94675,87853,182528,254327,244178,498505,101727,115793,217520,356054,359971,716025
Mizoram,21238,20404,41642,59320,56570,115890,30473,29512,59985,89793,86082,175875
Nagaland,38778,35817,74595,83632,78619,162251,43546,43387,86933,127178,122006,249184
Odisha,49880,39529,89409,1676357,1584653,3261010,1089215,1026516,2115731,2765572,2611169,5376741
Puducherry,14101,13226,27327,42795,40420,83215,29487,27494,56981,72282,67914,140196
Punjab,491576,431459,923035,1144821,1003521,2148342,700594,599694,1300288,1845415,1603215,3448630
Rajasthan,567840,455960,1023800,3543192,3182406,6725598,2204135,1992018,4196153,5747327,5174424,10921751
Sikkim,10821,9949,20770,21416,19593,41009,12751,12415,25166,34167,32008,66175
Tamil Nadu,572358,517285,1089643,2352829,2214357,4567186,1586755,1485163,3071918,3939584,3699520,7639104
Telangana,315869,269541,585410,1582560,1466391,3048951,968256,906616,1874872,2550816,2373007,4923823
Tripura,24962,22390,47352,145351,139552,284903,89111,88433,177544,234462,227985,462447
Uttar Pradesh,785611,602819,1388430,10238442,9142434,19380876,5852739,5423757,11276496,16091181,14566191,30657372
Uttarakhand,113473,94662,208135,505351,448659,954010,306205,272960,579165,811556,721619,1533175
West Bengal,555512,541292,1096804,3600909,3458745,7059654,2209606,2175120,4384726,5810515,5633865,11444380
